Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,357377.6096581084,3.0,3258188.3250426734,1072132.8289743252,1310309.3572230733,9.116934684743336
Apartment Block_AB_1_Before1945,Apartment Block,1900,104647.23065650732,3.0,1052007.7143754163,313941.691969522,216193.40174881156,10.052895884349892
Apartment Block_AB_2_Before1945,Apartment Block,1900,400079.2873714835,4.0,4253930.621287457,1600317.149485934,984940.9632721776,10.632718952374999
Apartment Block_AB_3_Before1945,Apartment Block,1900,145587.18995722095,6.0,2729823.769644547,873523.1397433258,793105.5208797175,18.750439310262617
Apartment Block_AB_0_1945to1969,Apartment Block,1955,667794.9469277625,3.0,6013859.767369037,2003384.8407832875,1807070.5674243707,9.005548477172852
Apartment Block_AB_1_1945to1969,Apartment Block,1955,117016.43159589406,3.0,1167212.5288025977,351049.2947876822,223254.0935858147,9.974774592626986
Apartment Block_AB_2_1945to1969,Apartment Block,1955,230360.45475596408,5.0,3178716.7764596175,1151802.2737798204,845759.9245638937,13.798882190205088
Apartment Block_AB_3_1945to1969,Apartment Block,1955,77925.07495843306,7.0,1624206.1967985097,545475.5247090315,504689.5896231711,20.843177855971224
Apartment Block_AB_0_1970to1979,Apartment Block,1975,109115.10813170648,3.0,934331.1004852785,327345.32439511945,300066.47705129604,8.5628023147583
Apartment Block_AB_1_1970to1979,Apartment Block,1975,16527.07025550134,3.0,151549.8152708558,49581.210766504024,38185.963228839224,9.169793128967285
Apartment Block_AB_2_1970to1979,Apartment Block,1975,43924.23824003452,4.0,535958.7197088335,175696.9529601381,139857.52397125657,12.201889917360859
Apartment Block_AB_3_1970to1979,Apartment Block,1975,10486.428163395021,6.0,182691.78056611493,62918.568980370124,53408.954727348355,17.421735763549805
Apartment Block_AB_0_1980to1989,Apartment Block,1985,107569.40835448686,3.0,921095.578854981,322708.2250634606,295815.80365995027,8.5628023147583
Apartment Block_AB_1_1980to1989,Apartment Block,1985,16292.951541334036,3.0,149402.99509432178,48878.85462400211,37645.02956835575,9.169793128967285
Apartment Block_AB_2_1980to1989,Apartment Block,1985,43302.017482298455,4.0,528366.4505186412,173208.06992919382,137876.33413103825,12.201889917360859
Apartment Block_AB_3_1980to1989,Apartment Block,1985,10337.879809702108,6.0,180103.81039996666,62027.278858212645,52652.37563544159,17.421735763549805
Apartment Block_AB_0_1990to2000,Apartment Block,1995,806595.4889541203,3.0,6828825.80973112,2419786.466862361,2554062.043020885,8.46623357463328
Apartment Block_AB_1_1990to2000,Apartment Block,1995,50010.339677098214,3.0,474759.79331355495,150031.01903129465,114044.423636195,9.493232727050781
Apartment Block_AB_2_1990to2000,Apartment Block,1995,556224.101662779,3.0,5683705.16544141,1668672.304988337,1466958.8035177211,10.218372681892989
Apartment Block_AB_3_1990to2000,Apartment Block,1995,171810.53485762974,5.0,2744242.0052689607,859052.6742881486,752451.5227740773,15.972489740183676
Apartment Block_AB_0_2000to2010,Apartment Block,2005,210139.9977572168,3.0,1770143.3450569045,630419.9932716504,668939.3204601277,8.423638355140854
Apartment Block_AB_1_2000to2010,Apartment Block,2005,8588.52674148886,3.0,77253.8224930587,25765.580224466583,21660.892085482676,8.995002847213165
Apartment Block_AB_2_2000to2010,Apartment Block,2005,186788.28876943616,3.0,1828130.2378894954,560364.8663083084,514965.48827939027,9.787178039550781
Apartment Block_AB_3_2000to2010,Apartment Block,2005,35445.405927612825,5.0,524345.6589104197,177227.02963806412,132431.59636532934,14.793049908392833
Apartment Block_AB_0_Post2010,Apartment Block,2020,106283.69171458729,3.0,893404.0864068458,318851.0751437619,342298.34607707727,8.405843568230397
Apartment Block_AB_1_Post2010,Apartment Block,2020,5359.58237710903,3.0,46766.881781807555,16078.747131327089,10105.298855671455,8.725844383239746
Apartment Block_AB_2_Post2010,Apartment Block,2020,109555.63873032165,3.0,1049868.8128494644,328666.9161909649,304009.1010892507,9.58297377493992
Apartment Block_AB_3_Post2010,Apartment Block,2020,17169.203905333114,5.0,252108.49695069328,85846.01952666556,68460.90803783137,14.683761596679688
SFH_0_Before1945_1900,Single family- Terraced houses,1900,2938274.494783725,1.0,7644860.622165016,2938274.494783725,2804936.6570700365,2.6018197536468506
