Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,AL011,1400,4853.356072291732,1460.66,20.21497506424815,41.49093251738984
Apartment Block,AL011,1500,363828.5777459845,1536.55,20.428424960169327,41.68401695827215
Apartment Block,AL012,1400,7904.409060557373,1497.73,19.79642760211685,41.51186013092822
Apartment Block,AL012,1500,963915.7305337724,1537.19,19.786841549989465,41.50865964999167
Apartment Block,AL012,1600,10858603.93283803,1630.36,19.477623098907365,41.31557524121041
Apartment Block,AL013,1400,269872.1975953155,1461.87,20.42133359989941,42.07736779994672
Apartment Block,AL014,1500,1542466.9947952847,1578.165,19.71274554999444,41.63322254999393
Apartment Block,AL015,1300,207.25329601205885,1349.66,19.55849125720781,42.463032135893314
Apartment Block,AL015,1400,5188.645473665558,1488.28,19.395142899998486,42.07229384999483
Apartment Block,AL015,1500,2338323.8273914494,1564.705,19.50722320276231,42.06058325348861
Education,AL011,1300,81.87930424697697,1351.06,19.921314050015404,41.54448464998659
Education,AL011,1400,4948.380698353052,1480.94,20.22000380946961,41.49297085703412
Education,AL011,1500,28804.760564479977,1535.66,20.4271235931708,41.68133150771253
Education,AL012,1500,19274.75139492564,1584.18,19.73457828559976,41.48996672379605
Education,AL012,1600,152592.9456569911,1628.13,19.447751168193665,41.3266902209654
Education,AL013,1300,1160.3560338793322,1390.76,20.076847886892853,42.37486479422317
Education,AL013,1400,31352.257619644515,1446.695,20.49541169970225,42.11030419993589
Education,AL014,1400,647.8952122032642,1468.4,20.08852579737596,41.77989384414322
Education,AL014,1500,82491.9436359927,1578.75,19.64109003369489,41.78691745949074
Education,AL015,1200,1221.2196537954733,1288.75,19.59789873496192,42.50779530575758
Education,AL015,1300,605.497090253979,1333.12,19.650968399976847,42.39986959998672
Education,AL015,1400,3841.9459571689367,1454.74,19.886537448205488,42.21445594543725
Education,AL015,1500,37597.02657282306,1565.41,19.510836514485305,42.05967907098776
Health,AL011,1400,2926.0181031897664,1455.395,20.213964471695498,41.49067319093344
Health,AL011,1500,4797.670202698559,1554.47,20.01250293574541,41.61467648260247
Health,AL012,1500,5809.605392422527,1515.88,19.790075774264203,41.51596650227232
Health,AL012,1600,33364.12851810735,1627.19,19.44461932438456,41.32628375962469
Health,AL013,1400,4123.678425351158,1460.93,20.21078084997516,42.28925129995849
Health,AL014,1500,19681.62219766248,1565.01,19.650375159590112,41.78024037375892
Health,AL015,1500,8075.541844129562,1536.58,19.89861654996898,42.04321639998474
Hotels and Restaurants,AL011,1400,596.612677199766,1477.765,20.218363749978405,41.49327219996316
Hotels and Restaurants,AL011,1500,4569.816278896295,1521.21,20.44409719608665,41.687861465018784
Hotels and Restaurants,AL012,1500,11372.764504261317,1592.005,19.71218135405673,41.41967725720804
Hotels and Restaurants,AL012,1600,24073.97414222546,1631.265,19.48974368636453,41.30635211511579
Hotels and Restaurants,AL013,1200,371.81585584022105,1289.24,19.89347888698422,42.45315356283452
Hotels and Restaurants,AL013,1300,764.3386593805626,1393.23,20.069817837800876,42.35805686497643
Hotels and Restaurants,AL013,1400,5696.632924377918,1458.76,20.417358942056573,42.07722364630416
Hotels and Restaurants,AL014,1500,5858.668634245172,1581.145,19.593308819322893,41.753185876660126
Hotels and Restaurants,AL015,1200,279.1728254579939,1278.95,19.775263850031205,42.39615364998828
Hotels and Restaurants,AL015,1300,816.4202158143744,1370.51,19.64686776026448,42.39971920917999
Hotels and Restaurants,AL015,1400,1259.2305757596623,1492.36,19.42396059998645,42.06745839997448
Hotels and Restaurants,AL015,1500,13510.169749861116,1566.96,19.51625365992159,42.06757172731265
Industrial,AL011,1400,5877.211730030365,1498.63,20.42371421240884,41.52751922724373
Industrial,AL011,1500,74370.94955325779,1526.4751,19.96868439999089,41.584705899982
Industrial,AL012,1500,298256.6807013904,1579.37,19.74168075013036,41.503142700130326
Industrial,AL012,1600,715152.497901278,1631.3201,19.48236618252386,41.318260658122405
Industrial,AL013,1300,253.88356224820015,1363.72,19.94534916017867,42.2995148307243
Industrial,AL013,1400,12990.61294404976,1416.8201,20.416650819890467,41.894583299325
Industrial,AL014,1500,106705.0251189787,1558.015,19.88691025184267,41.762083963265866
Industrial,AL015,1300,6164.771683365107,1369.6,20.03827054262025,42.25165964134539
Industrial,AL015,1400,31917.81850493001,1490.0549,20.013242509204463,42.06097615836058
Industrial,AL015,1500,598487.8127582555,1566.58,19.526426926744776,42.08244918897524
Offices,AL011,1300,327.1251421030611,1369.0449,20.31674732216691,41.49618243794357
Offices,AL011,1500,782.194089282304,1515.395,20.492453539261412,41.56324846999624
Offices,AL012,1500,65930.53641825914,1591.7,19.71428666924421,41.42014250265321
Offices,AL012,1600,63851.15257183602,1627.8,19.45528952381314,41.31693482005458
Offices,AL013,1400,5628.322543242015,1446.02,20.41802011067381,42.03622690472969
Offices,AL013,1500,247.9002522043884,1500.01,20.38186149996464,42.2467368499431
Offices,AL014,1500,211.5739873778075,1585.685,19.673879570536627,41.66765495253608
Offices,AL015,1200,42.31872025318444,1294.72,19.599022499996227,42.50782159999667
Offices,AL015,1500,8462.517968966626,1565.34,19.51099284710296,42.06791064672642
Other non-residential buildings,AL011,1400,10838.040739252698,1481.96,19.930352049868542,41.56408179989624
Other non-residential buildings,AL011,1500,8182.5768476133235,1523.8999,20.49237264999011,41.56312419994887
Other non-residential buildings,AL012,1500,193518.91011639405,1591.26,19.71310283125052,41.4266766995466
Other non-residential buildings,AL012,1600,758487.4606848928,1630.79,19.502609849989973,41.294774749985606
Other non-residential buildings,AL013,1100,170.7863463498652,1187.3999,20.051382645075996,42.44542513639458
