Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,98770.41584798624,3.0,811575.6907237133,296311.2475439587,275191.8204704167,8.216789245605469
Apartment Block_AB_1_Before1945,Apartment Block,1900,74728.97148063027,3.0,630474.8223514158,224186.9144418908,106570.72140510201,8.436819212945206
Apartment Block_AB_2_Before1945,Apartment Block,1900,54244.596837518206,3.0,497787.14815738285,162733.7905125546,89559.70310847189,9.176713943481445
Apartment Block_AB_3_Before1945,Apartment Block,1900,43026.76426763626,4.0,488564.57653427764,172107.05707054504,99141.44786002445,11.354899324878229
Apartment Block_AB_0_1945to1969,Apartment Block,1955,135810.38202677693,3.0,1115925.286479191,407431.14608033083,378391.7071509778,8.216789245605469
Apartment Block_AB_1_1945to1969,Apartment Block,1955,102753.13795248578,3.0,866909.6484679412,308259.41385745734,146535.88589898814,8.436819212945206
Apartment Block_AB_2_1945to1969,Apartment Block,1955,74586.90293184631,3.0,684462.6721357711,223760.70879553896,123145.55313896936,9.176713943481445
Apartment Block_AB_3_1945to1969,Apartment Block,1955,59162.26273216501,4.0,671781.5371557288,236649.05092866003,136320.5550261154,11.354899324878229
Apartment Block_AB_0_1970to1979,Apartment Block,1975,8685.531926958169,3.0,71646.09977819528,26056.595780874504,26898.449583131343,8.248901780652028
Apartment Block_AB_1_1970to1979,Apartment Block,1975,11842.496418253018,3.0,104837.19521376981,35527.48925475906,24210.63394032829,8.852626296950588
Apartment Block_AB_2_1970to1979,Apartment Block,1975,5803.490498369072,3.0,51767.21340522214,17410.471495107216,8037.427272068644,8.920013467717409
Apartment Block_AB_3_1970to1979,Apartment Block,1975,3541.0885184618496,4.0,43742.66011546775,14164.354073847398,12370.902689024686,12.352885246276855
Apartment Block_AB_0_1980to1989,Apartment Block,1985,7204.98078109085,3.0,59433.17879470395,21614.94234327255,22313.29225629544,8.248901780652028
Apartment Block_AB_1_1980to1989,Apartment Block,1985,9823.803517297367,3.0,86966.46135330235,29471.4105518921,20083.646425462193,8.852626296950588
Apartment Block_AB_2_1980to1989,Apartment Block,1985,4814.217235700907,3.0,42942.882578969366,14442.65170710272,6667.353192834443,8.920013467717409
Apartment Block_AB_3_1980to1989,Apartment Block,1985,2937.4683017939674,4.0,36286.208846636626,11749.87320717587,10262.13671986163,12.352885246276855
Apartment Block_AB_0_1990to2000,Apartment Block,1995,30991.237039832016,3.0,251428.14994882562,92973.71111949605,72104.48890469043,8.112878799438477
Apartment Block_AB_1_1990to2000,Apartment Block,1995,14798.640786382433,3.0,129070.50415395455,44395.9223591473,30840.946002910478,8.72178100793716
Apartment Block_AB_2_1990to2000,Apartment Block,1995,23875.984207132384,3.0,233681.8430796162,71627.95262139715,51452.11208064908,9.787317710229063
Apartment Block_AB_3_1990to2000,Apartment Block,1995,6863.720892696954,4.0,81270.77454952581,27454.883570787817,23323.25030677182,11.840629276752566
Apartment Block_AB_0_2000to2010,Apartment Block,2005,12957.054452346034,3.0,105357.84139942854,38871.1633570381,32416.257567227152,8.131311154623743
Apartment Block_AB_1_2000to2010,Apartment Block,2005,6732.840307597351,3.0,57999.46883274647,20198.520922792053,13673.206494657188,8.614413261413574
Apartment Block_AB_2_2000to2010,Apartment Block,2005,16251.21718455421,3.0,150583.36988177712,48753.65155366263,18528.65396479313,9.265974860325995
Apartment Block_AB_3_2000to2010,Apartment Block,2005,4699.350286407947,4.0,61288.719225859764,18797.40114563179,17178.491180916975,13.04195590678284
Apartment Block_AB_0_Post2010,Apartment Block,2020,9533.577917227029,3.0,78470.45200691273,28600.733751681088,28509.732089973677,8.230955123901367
Apartment Block_AB_1_Post2010,Apartment Block,2020,5933.496099672678,3.0,52491.60812605422,17800.488299018034,10578.35627809227,8.846657559773222
Apartment Block_AB_2_Post2010,Apartment Block,2020,13586.440735002177,3.0,119386.83664887631,40759.32220500653,19670.602855998033,8.787204756379278
Apartment Block_AB_3_Post2010,Apartment Block,2020,6009.364880695261,4.0,73992.72356583102,24037.459522781042,16397.086192575527,12.312902450561523
SFH_0_Before1945_1900,Single family- Terraced houses,1900,4722417.263255831,1.0,12717307.927917102,4722417.263255831,3925789.5657363166,2.6929657459259033
SFH_1_Before1945_1900,Single family- Terraced houses,1900,1418223.7458070102,1.0,4554057.356253718,1418223.7458070102,1181685.6175840239,3.211099355597327
SFH_2_Before1945_1900,Single family- Terraced houses,1900,1889495.3338691273,2.0,10631637.437494025,3778990.6677382546,2927257.525527339,5.626707431832381
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,7764778.512167408,1.0,20895780.72769748,7764778.512167408,6452784.74146196,2.691098103436407
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,1061808.6679734136,2.0,5460032.0188521985,2123617.335946827,1214904.110111397,5.142199516296387
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,1967752.204631763,2.0,10913041.13870982,3935504.409263526,3318105.022932246,5.545942783355713
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,2701635.11842279,1.0,7006792.821603606,2701635.11842279,2203115.358538208,2.5935378074645996
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,584436.9751237546,1.0,1589643.3254906037,584436.9751237546,432742.4827495785,2.719956801422423
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,394818.1851229125,2.0,2090694.8878519444,789636.370245825,585890.9907469046,5.295335844778987
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,2241109.614178044,1.0,5812402.515043158,2241109.614178044,1827568.4149552162,2.5935378074645996
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,484812.81387681706,1.0,1318669.9105209918,484812.81387681706,358976.4331756014,2.719956801422423
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,327516.7784492854,2.0,1734311.3366890391,655033.5568985709,486018.97542320273,5.295335844778987
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,2914378.1070862557,1.0,7801878.254909632,2914378.1070862557,2485754.9562180573,2.6770302164772346
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,677551.4572644738,1.0,2014582.1501018116,677551.4572644738,492444.7239091582,2.973327159881592
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,648004.6561195267,2.0,3485828.5173980016,1296009.3122390534,985760.1939692831,5.379326343536378
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,3140127.4424392288,1.0,8224802.197884215,3140127.4424392288,2530598.0183871966,2.6192574501037598
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,615575.5879081032,1.0,1692603.180059081,615575.5879081032,448789.90472400485,2.749626874923706
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,414329.7429752195,2.0,2200878.918824333,828659.485950439,622329.8151983722,5.311901827322989
SFH_0_Post2010_2020,Single family- Terraced houses,2020,2920938.5152047845,1.0,7614534.656401228,2920938.5152047845,2348408.769203,2.606879472732544
SFH_1_Post2010_2020,Single family- Terraced houses,2020,593115.5412622306,1.0,1613248.6504855459,593115.5412622306,439168.4694980646,2.719956801422423
SFH_2_Post2010_2020,Single family- Terraced houses,2020,373939.17907429655,2.0,1966506.0595349788,747878.3581485931,530267.2710405781,5.25889280819184
0_Other non-residential buildings_1900,Other non-residential buildings,1900,785295.2578896928,1.0,3496362.4209773904,785295.2578896928,1144677.1360649373,4.452290251151001
0_Other non-residential buildings_1955,Other non-residential buildings,1955,1165032.9829973981,1.0,4985376.454286286,1165032.9829973981,1589129.8061902637,4.279171943664551
0_Other non-residential buildings_1975,Other non-residential buildings,1975,257503.58112259215,1.0,905818.0737952281,257503.58112259215,335393.3762114722,3.5176911709200147
0_Other non-residential buildings_1985,Other non-residential buildings,1985,213609.06489697375,1.0,751410.721616565,213609.06489697375,278221.62764821394,3.5176911709200147
