Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,AT130,1100,3930136.326919998,1198.24,16.314797594616167,48.24675586165527
Apartment Block,AT130,1200,132942397.21893597,1210.03,16.32398127109336,48.17497266726911
Education,AT130,1100,62798.542432228336,1196.99,16.24512069987813,48.20693009995412
Education,AT130,1200,5588809.999508925,1210.735,16.38241956486687,48.20512892778528
Health,AT130,1100,78465.18279732682,1198.575,16.27108493176179,48.20699435166653
Health,AT130,1200,1693916.5452354355,1202.92,16.275546357981128,48.169227201453225
Hotels and Restaurants,AT130,1000,61.587800635024905,1083.83,16.354018800001697,48.27767399999175
Hotels and Restaurants,AT130,1100,30861.23177552526,1194.33,16.210981629671032,48.207996207668884
Hotels and Restaurants,AT130,1200,2539526.2225601617,1211.5,16.321247059347538,48.164893386862346
Industrial,AT130,1000,370.9298216216266,1095.99,16.35381136592444,48.27797345899588
Industrial,AT130,1100,94683.20376204909,1196.79,16.24775463409484,48.13754886575677
Industrial,AT130,1200,14541593.898310069,1215.455,16.318693645419796,48.12996192601951
Offices,AT130,1000,358.155827999115,1080.18,16.351451245256413,48.280426753391446
Offices,AT130,1100,43189.614890469005,1196.23,16.215481413446305,48.20723675980134
Offices,AT130,1200,9424178.819681048,1210.895,16.29751494957342,48.13136859958693
Other non-residential buildings,AT130,1000,235.67955573648214,1093.66,16.353791700450312,48.27827793313595
Other non-residential buildings,AT130,1100,373546.1957017073,1196.56,16.242755472154375,48.20360061297469
Other non-residential buildings,AT130,1200,15693658.338534592,1213.97,16.31046853529978,48.128915052906486
Single family- Terraced houses,AT130,1000,265.9199349042028,1088.92,16.351234249996036,48.28075444999358
Single family- Terraced houses,AT130,1100,2634534.2025149623,1195.89,16.24013881854533,48.137683741813476
Single family- Terraced houses,AT130,1200,14907876.928858057,1216.24,16.328900582715608,48.14155402987271
Sport,AT130,1100,103522.53455389338,1197.07,16.25007800621954,48.203623766518334
Sport,AT130,1200,705632.1901993281,1212.45,16.428982799971905,48.231280399973365
Trade,AT130,1100,229016.05569197075,1197.045,16.24446202052522,48.13823943652738
Trade,AT130,1200,15823361.75553785,1213.26,16.412142218283705,48.193565460966724
