Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,256967.28066997544,3.0,2190595.976814773,770901.8420099263,726961.4548048397,8.524805068969727
Apartment Block_AB_1_Before1945,Apartment Block,1900,175266.9161639287,3.0,1623243.9671628687,525800.7484917861,468637.8756301952,9.261553764343262
Apartment Block_AB_2_Before1945,Apartment Block,1900,204099.79577896686,3.0,2119229.1796752457,612299.3873369006,454968.63050893217,10.383298873901367
Apartment Block_AB_3_Before1945,Apartment Block,1900,138461.69361902037,4.0,1756424.6712980834,553846.7744760815,436600.8786884564,12.685275077819824
Apartment Block_AB_0_1945to1969,Apartment Block,1955,229467.83727553234,3.0,1976874.3379485882,688403.511826597,534020.0673594415,8.615038871765137
Apartment Block_AB_1_1945to1969,Apartment Block,1955,125082.63493784597,3.0,1114513.479253419,375247.9048135379,389994.9845986925,8.910217471891482
Apartment Block_AB_2_1945to1969,Apartment Block,1955,79185.07756056332,4.0,937713.0651321664,316740.3102422533,148671.7352558188,11.842042642630146
Apartment Block_AB_3_1945to1969,Apartment Block,1955,94855.28733116332,4.0,1169469.7968419783,379421.14932465326,281885.95820416685,12.328989028930664
Apartment Block_AB_0_1970to1979,Apartment Block,1975,54421.78772914873,3.0,457382.9848220208,163265.3631874462,173652.23880551528,8.404409408569336
Apartment Block_AB_1_1970to1979,Apartment Block,1975,31655.583483588925,3.0,293179.8883749154,94966.75045076678,84642.35989471109,9.261553764343262
Apartment Block_AB_2_1970to1979,Apartment Block,1975,42180.999840791475,3.0,404312.89790788735,126542.99952237442,80830.66537286583,9.585190001041495
Apartment Block_AB_3_1970to1979,Apartment Block,1975,15245.274495683416,4.0,201025.5105742066,60981.09798273366,52107.20233543127,13.186086654663086
Apartment Block_AB_0_1980to1989,Apartment Block,1985,55655.77026693637,3.0,467753.87927261356,166967.31080080912,177589.702811663,8.404409408569336
Apartment Block_AB_1_1980to1989,Apartment Block,1985,32373.355517036947,3.0,299827.5726532362,97120.06655111084,86561.57641488555,9.261553764343262
Apartment Block_AB_2_1980to1989,Apartment Block,1985,43137.42959809768,3.0,413480.4588543173,129412.28879429305,82663.45392594104,9.585190001041495
Apartment Block_AB_3_1980to1989,Apartment Block,1985,15590.952271008986,4.0,205583.64767424072,62363.809084035944,53288.70298908309,13.186086654663086
Apartment Block_AB_0_1990to2000,Apartment Block,1995,58777.267023756496,3.0,485338.55670876516,176331.8010712695,173233.01663749292,8.257249465386028
Apartment Block_AB_1_1990to2000,Apartment Block,1995,63233.594286120606,3.0,546234.6278091674,189700.7828583618,110485.08625248857,8.63836120618977
Apartment Block_AB_2_1990to2000,Apartment Block,1995,38540.24223351776,3.0,363090.9852967739,115620.72670055328,92389.13118429553,9.421087265014648
Apartment Block_AB_3_1990to2000,Apartment Block,1995,22736.9372876496,4.0,269342.4649608226,90947.7491505984,62358.28794934014,11.846031044257037
