Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,BE331,1000,1414191.8107886468,1088.11,5.2386238932524725,50.527628954153194
Apartment Block,BE332,1000,25299727.41700783,1081.29,5.49888233784766,50.58130020644997
Apartment Block,BE332,1100,50144.98118493799,1100.11,5.4589984228388895,50.65805289122703
Apartment Block,BE334,1100,570381.9655602284,1104.83,5.24848210468999,50.69520933148691
Apartment Block,BE335,1000,6298305.4668665435,1077.72,5.866276943625472,50.58173325335467
Apartment Block,BE336,1000,1636256.0831409162,1078.21,6.031241299716891,50.62532549984838
Education,BE331,1000,157138.96478324407,1089.165,5.249057999160205,50.52864678962052
Education,BE331,1100,5524.853723878041,1103.98,5.237506528677362,50.61171672721985
Education,BE332,1000,1931437.8626495146,1080.915,5.50301888687614,50.58881231434378
Education,BE332,1100,7155.567716034129,1101.29,5.44821483082156,50.65316489766439
Education,BE334,1100,107929.60502696931,1107.37,5.039154133745473,50.69563340136615
Education,BE335,1000,271243.79923865333,1077.69,5.866213460150275,50.59505827280143
Education,BE336,1000,122528.71175485337,1077.43,6.038943864317835,50.631019988356684
Health,BE331,1000,28143.01406338159,1091.14,5.2432544377683445,50.53515169538835
Health,BE332,1000,447867.8792174326,1082.0,5.493273477531275,50.581070639312586
Health,BE334,1100,8225.972073592246,1105.08,5.243816904105646,50.69106916548273
Health,BE335,1000,24845.212352078408,1077.47,5.8601110951253546,50.58185324756129
Health,BE336,1000,27388.682480030227,1078.96,6.029450501749092,50.62902959268505
Hotels and Restaurants,BE331,1000,4331.0328980052145,1086.755,5.2847462910371,50.45204185342206
Hotels and Restaurants,BE331,1100,264.77047074213624,1107.73,5.052421615045705,50.57220578719435
Hotels and Restaurants,BE332,1000,100134.3891671524,1072.18,5.673883283343356,50.57796889985252
Hotels and Restaurants,BE334,1100,5519.730584468227,1110.33,4.994737806975746,50.6222251186773
Hotels and Restaurants,BE335,1000,24167.887799692922,1069.2151,5.774051856562236,50.510313677124145
Hotels and Restaurants,BE336,1000,20143.91079552693,1073.93,6.044148740542732,50.619293334134
Industrial,BE331,1000,2775584.6334163686,1087.35,5.271945154213968,50.5350611018663
Industrial,BE331,1100,110649.19573303685,1100.36,5.108800085204002,50.52227160194198
Industrial,BE332,1000,14807693.622745194,1083.31,5.500283818518849,50.59941453931078
Industrial,BE332,1100,47740.51984205068,1100.9451,5.60508182556155,50.762159375711605
Industrial,BE334,1000,29140.30340168276,1083.14,5.367015781833385,50.56819919385732
Industrial,BE334,1100,915686.7372537274,1105.22,5.267689671086231,50.68975797989735
Industrial,BE335,1000,4254878.958763444,1080.41,5.716617999922922,50.60538054996747
Industrial,BE336,1000,2053025.2075305718,1078.8,6.077949526527203,50.67631313387112
Offices,BE331,1000,43388.92241030908,1089.16,5.263506399753927,50.506840349954444
Offices,BE331,1100,3592.2379289176315,1102.7,5.2280386178181475,50.59515597817114
Offices,BE332,1000,1005478.6278247021,1080.69,5.565785312243744,50.63382183626154
Offices,BE332,1100,5657.103863026714,1100.765,5.606601110779944,50.761171139852635
Offices,BE334,1000,602.2267983406782,1098.36,5.357093774257932,50.60038626440285
Offices,BE334,1100,25654.344072220963,1106.68,5.322224264130635,50.680190595874066
Offices,BE335,1000,85817.65325603538,1076.92,5.802062330139924,50.28659217718763
Offices,BE336,1000,32063.311795621878,1077.32,6.094463528828088,50.28980003952067
Other non-residential buildings,BE331,1000,747482.1588004304,1090.575,5.242275556295877,50.404470216655405
Other non-residential buildings,BE331,1100,209780.89228101412,1103.265,5.265102202052661,50.608308093304835
Other non-residential buildings,BE332,1000,5816124.537472195,1081.28,5.514463654008225,50.60137840301145
Other non-residential buildings,BE332,1100,308957.8655643888,1100.48,5.453572249983187,50.67245239999483
Other non-residential buildings,BE334,1000,11946.480925682,1095.99,5.376461168317406,50.59765140329729
Other non-residential buildings,BE334,1100,538449.6736826757,1106.68,5.315016911693468,50.639571452475515
Other non-residential buildings,BE335,1000,1683733.3293588164,1075.47,5.831942574499857,50.544368477955544
Other non-residential buildings,BE336,1000,864069.0904562622,1078.94,6.098007082364975,50.68913547860242
Single family- Terraced houses,BE331,1000,6996286.596464394,1089.5,5.325827928385603,50.46262242459381
Single family- Terraced houses,BE331,1100,1107000.653735525,1104.08,5.093440349130849,50.547231082896324
Single family- Terraced houses,BE332,900,3161.070141083095,990.3,5.71308586568024,50.458082816662305
Single family- Terraced houses,BE332,1000,28708610.82690679,1081.93,5.50574616639947,50.54148586389135
Single family- Terraced houses,BE332,1100,1005274.7352746967,1100.74,5.402010443274042,50.62554819446746
Single family- Terraced houses,BE334,1000,448612.59193422575,1094.03,5.352280933484945,50.583690484373314
Single family- Terraced houses,BE334,1100,5525738.453444025,1105.95,5.325005850034273,50.632133899988546
Single family- Terraced houses,BE335,900,172.76430941699073,999.24,5.898594399989119,50.3775730499886
Single family- Terraced houses,BE335,1000,14005540.525111414,1076.47,5.795029706810889,50.28311182584597
Single family- Terraced houses,BE336,1000,7596448.200362152,1076.58,6.138464621641509,50.19610120801142
Sport,BE331,1000,18336.48051529471,1089.12,5.25071593933765,50.52991507345545
Sport,BE332,1000,128075.27568404656,1081.72,5.527709698383041,50.625292502503164
Sport,BE332,1100,375.45284558832645,1100.0,5.501767282218262,50.72774901402536
Sport,BE334,1100,15000.80865865387,1107.01,5.362099239964866,50.64854746013326
Sport,BE335,1000,57606.837231338024,1064.4,5.854167160882549,50.48782679810108
Sport,BE336,1000,33235.69030543417,1076.6599,6.045279869305953,50.626391534830205
Trade,BE331,1000,343958.22259001515,1091.04,5.394235399840748,50.50532776847239
Trade,BE331,1100,14563.278496138286,1102.295,5.270232680648769,50.60963865085906
Trade,BE332,1000,3731699.282905937,1082.26,5.572455627684816,50.64045865553494
Trade,BE332,1100,12060.360260468442,1100.135,5.6093084459282085,50.740122978016245
Trade,BE334,1000,22229.82953551691,1099.5549,5.345602556318006,50.60147501385503
Trade,BE334,1100,264968.61247424514,1106.68,5.324267623347282,50.67748137699544
Trade,BE335,1000,508321.9809531077,1062.07,6.09709237716729,50.41580067003399
Trade,BE336,1000,331243.0465880971,1081.115,6.02144325978856,50.63686343314565
