Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,BG311,1300,19001.48542270437,1365.02,22.683062899967766,43.629845899977525
Apartment Block,BG311,1400,1314562.4315082533,1407.75,22.871755049985257,43.989749399965326
Apartment Block,BG312,1200,10524.29509596387,1289.395,22.88305379707256,43.38387828564829
Apartment Block,BG312,1300,505791.0743244344,1382.33,23.22495202719697,43.40724631082303
Apartment Block,BG312,1400,261274.71223075315,1412.9,23.237126355095736,43.830101360073385
Apartment Block,BG313,1300,1178006.5885408737,1349.595,23.55172016598151,43.20660586966544
Apartment Block,BG313,1400,278952.15639016806,1420.3,23.945971187311365,43.46809720904789
Apartment Block,BG314,1400,476331.6753695386,1420.93,24.619563131199097,43.40741419049945
Apartment Block,BG315,1200,614.679222881794,1273.74,24.255767749997062,42.920063349976125
Apartment Block,BG315,1300,337231.1629175339,1362.11,24.70875886144752,42.88644604325114
Apartment Block,BG315,1400,190037.68171815947,1407.795,24.71323056014794,43.13466251290218
Education,BG311,1300,11289.765635813586,1395.14,22.645649950957324,43.84081193025822
Education,BG311,1400,41736.92890209565,1407.865,22.867742620012812,43.99366172603356
Education,BG312,1200,2139.0141200721264,1291.4199,23.35646990278527,43.17876515583608
Education,BG312,1300,17684.700252740644,1364.91,23.06699972447315,43.419451617157556
Education,BG312,1400,3166.991212978959,1402.5,23.134571526330774,43.72026641492883
Education,BG313,1300,76271.09790349938,1357.42,23.56373230051787,43.20457642205148
Education,BG313,1400,43267.92068552971,1420.22,23.947374065808294,43.467432200752384
Education,BG314,1400,176630.23127323668,1421.46,25.14545703930296,43.35411823003881
Education,BG315,1300,31687.831826168112,1350.52,24.716197534343003,42.88869260372595
Education,BG315,1400,30934.834249520674,1406.8049,24.166461104915896,43.2071284082029
Health,BG311,1300,1447.452316051349,1363.55,22.692228573221445,43.62621982830152
Health,BG312,1200,387.694874741137,1294.51,22.874624700008717,43.38499249997912
Health,BG312,1300,17409.142086226493,1382.5349,23.22360110230717,43.40665704637894
Health,BG313,1300,28572.78741457127,1332.88,23.561025502029427,43.196922908747474
Health,BG313,1400,8503.837176088244,1426.06,23.72624897108095,43.771908484943076
Health,BG314,1400,81052.05744984373,1421.52,24.627532196172165,43.41724331249033
Health,BG315,1200,8614.609347373247,1249.15,24.255514995076073,42.91960140362741
Health,BG315,1400,15301.654748762026,1407.05,24.162340680162956,43.21210249520307
Hotels and Restaurants,BG311,1300,518.0027321651578,1370.62,22.74832544994604,43.88782959987564
Hotels and Restaurants,BG311,1400,8734.591536495835,1407.3201,22.88077471408976,43.98703235852011
Hotels and Restaurants,BG312,1300,618.3431251719594,1305.78,23.078202094654312,43.1900474100882
Hotels and Restaurants,BG313,1100,867.724335424602,1196.01,23.537321831081204,43.19112041005337
Hotels and Restaurants,BG313,1300,714.0125700570643,1368.09,23.56657294622714,43.234750741703046
Hotels and Restaurants,BG314,1400,5071.194716613041,1424.45,25.03814982055395,43.58692863218304
Hotels and Restaurants,BG315,1200,2700.2349357679486,1286.4299,24.330718860756825,42.883573025634746
Hotels and Restaurants,BG315,1300,28053.09694485087,1344.02,24.95374076159782,42.820852664705846
Hotels and Restaurants,BG315,1400,6398.068399015814,1406.3201,24.16257338953052,43.20610469187449
Industrial,BG311,1200,1218.3860817160457,1274.69,22.733790141658993,43.466252149313775
Industrial,BG311,1300,96082.55157823162,1391.48,22.52050437771179,43.89563081174907
Industrial,BG311,1400,1732258.3519426272,1407.63,22.86402851962891,43.98671703101658
Industrial,BG312,1200,8140.3133006524295,1287.415,22.95607296390676,43.2854959774383
Industrial,BG312,1300,1340944.5887885338,1384.85,23.224902671588953,43.41904804688148
Industrial,BG312,1400,749910.618432777,1414.06,23.248406950138857,43.82474232428542
Industrial,BG313,1300,2031102.8445130778,1360.13,23.56390103050481,43.21053901590896
Industrial,BG313,1400,1702887.8907693876,1424.065,23.7764647998303,43.74070589983919
Industrial,BG314,1400,2508626.4747139215,1421.68,25.149603882592693,43.34687500040069
Industrial,BG315,1100,15142.68916523084,1167.355,24.25027896803669,42.920788975984834
Industrial,BG315,1200,33421.942227405496,1276.25,24.288479677831738,42.91115681985991
Industrial,BG315,1300,834409.9304488779,1367.56,24.766775079436727,42.89939841386925
Industrial,BG315,1400,1208280.8903155571,1411.25,24.844828657100926,43.22812080300037
Offices,BG311,1300,2935.8606708319858,1398.77,22.63904974113944,44.15026964432687
Offices,BG311,1400,4039.858967210166,1410.0,22.782559900013133,44.15557194998908
Offices,BG312,1300,480.0140489656478,1390.61,23.226904612510683,43.405927740169844
Offices,BG313,1300,13970.156425389927,1326.9,23.547565592708487,43.20300841156261
