Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,905201.2197842216,3.0,8965866.968687352,2715603.659352665,2754167.5121091953,9.904833061122698
Apartment Block_AB_1_Before1945,Apartment Block,1900,675126.096332317,5.0,9537588.677874934,3375630.4816615847,1993799.5624219896,14.127121925354002
Apartment Block_AB_2_Before1945,Apartment Block,1900,328126.9575172911,5.0,4655790.194749697,1640634.7875864557,1007872.627932889,14.188990231027738
Apartment Block_AB_3_Before1945,Apartment Block,1900,261937.81485635907,7.0,5568822.984135654,1833564.7039945135,1314282.575202271,21.260095596313477
Apartment Block_AB_0_1945to1969,Apartment Block,1955,991743.8199475342,3.0,9823056.975980453,2975231.4598426027,3017482.2454234846,9.904833061122698
Apartment Block_AB_1_1945to1969,Apartment Block,1955,739672.1514388637,5.0,10449438.668165738,3698360.757194319,2184418.6143689207,14.127121925354002
Apartment Block_AB_2_1945to1969,Apartment Block,1955,359497.838893249,5.0,5100911.324131894,1797489.194466245,1104231.2230699295,14.188990231027738
Apartment Block_AB_3_1945to1969,Apartment Block,1955,286980.6220060991,7.0,6101235.45813917,2008864.3540426935,1439935.7768566527,21.260095596313477
Apartment Block_AB_0_1970to1979,Apartment Block,1975,85458.98222584394,3.0,780859.102778653,256376.9466775318,220539.84395601222,9.137238502502441
Apartment Block_AB_1_1970to1979,Apartment Block,1975,18927.60629695072,4.0,238162.9820864784,75710.42518780287,47447.733348697984,12.582836854803295
Apartment Block_AB_2_1970to1979,Apartment Block,1975,69686.71262145488,4.0,893337.1197376789,278746.8504858195,182324.87952849182,12.81933221029344
Apartment Block_AB_3_1970to1979,Apartment Block,1975,16863.97710301574,7.0,344584.54632526607,118047.83972111017,89827.13564768291,20.433172093411166
Apartment Block_AB_0_1980to1989,Apartment Block,1985,82285.2247728275,3.0,751859.723981347,246855.6743184825,212349.48227357687,9.137238502502441
Apartment Block_AB_1_1980to1989,Apartment Block,1985,18224.67689166063,4.0,229318.13605926934,72898.70756664252,45685.629548465404,12.582836854803295
Apartment Block_AB_2_1980to1989,Apartment Block,1985,67098.70235269143,4.0,860160.5563387495,268394.8094107657,175553.73704349645,12.81933221029344
Apartment Block_AB_3_1980to1989,Apartment Block,1985,16237.686318546168,7.0,331787.43894568185,113663.80422982317,86491.15464463818,20.433172093411166
Apartment Block_AB_0_1990to2000,Apartment Block,1995,116367.84065751878,3.0,998283.5815366457,349103.52197255637,385652.7398785787,8.578689575195312
Apartment Block_AB_1_1990to2000,Apartment Block,1995,183719.17644173975,4.0,2053261.762752337,734876.705766959,422520.90449675045,11.17608843300829
Apartment Block_AB_2_1990to2000,Apartment Block,1995,37168.00386620462,4.0,486960.48528483143,148672.01546481848,100980.65285187002,13.101604461669924
Apartment Block_AB_3_1990to2000,Apartment Block,1995,40091.99149558637,7.0,806321.1636758203,280643.9404691046,165754.10686407043,20.111776282417555
Apartment Block_AB_0_2000to2010,Apartment Block,2005,81290.38659322624,3.0,705716.4869774866,243871.1597796787,295131.5894886246,8.681426138478871
Apartment Block_AB_1_2000to2010,Apartment Block,2005,195798.31913178592,3.0,1955632.2879614318,587394.9573953578,366490.98728666594,9.987993240356445
Apartment Block_AB_2_2000to2010,Apartment Block,2005,56340.16328255648,5.0,881218.4165827514,281700.8164127824,145011.53659736057,15.64103412628174
Apartment Block_AB_3_2000to2010,Apartment Block,2005,7044.913015171807,9.0,183028.9478549664,63404.217136546264,38317.707614399566,25.980299183367954
Apartment Block_AB_0_Post2010,Apartment Block,2020,121701.73264671177,3.0,1074567.119748605,365105.1979401353,312742.20887442183,8.829513733119711
Apartment Block_AB_1_Post2010,Apartment Block,2020,13938.638175098638,4.0,160958.3868938424,55754.55270039455,37983.23758100421,11.547640800476074
Apartment Block_AB_2_Post2010,Apartment Block,2020,84607.2643406097,4.0,1076254.451425622,338429.0573624388,187993.65688158694,12.72059154510498
Apartment Block_AB_3_Post2010,Apartment Block,2020,10086.440636086201,8.0,249268.89249289766,80691.52508868961,49654.421111622396,24.713266204243524
SFH_0_Before1945_1900,Single family- Terraced houses,1900,1632713.3367553332,1.0,4638080.550675213,1632713.3367553332,1600581.4282823761,2.84071946144104
SFH_1_Before1945_1900,Single family- Terraced houses,1900,1229308.4507114787,2.0,8537738.851515505,2458616.9014229574,2898335.310873245,6.9451559098728834
SFH_2_Before1945_1900,Single family- Terraced houses,1900,273357.8449860489,2.0,1974564.8773004466,546715.6899720978,603760.572092825,7.22337007522583
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,1904263.3515819144,1.0,5459623.561717947,1904263.3515819144,2010515.6701828933,2.8670527935028076
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,1350028.257438502,2.0,9402335.462601248,2700056.514877004,3249479.006492476,6.964547157287598
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,299958.3458599396,2.0,2161493.417734619,599916.6917198792,682736.3620816463,7.205978588586735
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,377054.7664094627,1.0,1052463.477443476,377054.7664094627,353334.9972131168,2.7912748258446705
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,33307.74032366795,2.0,185306.95969950876,66615.4806473359,54669.618627042306,5.563480377197266
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,200502.34994572078,2.0,1262435.3617139214,401004.69989144156,399693.7121806785,6.296361923217773
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,363051.7869224742,1.0,1013377.3133146256,363051.7869224742,340212.91745498055,2.7912748258446705
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,32070.76456825802,2.0,178425.06935721682,64141.52913651604,52639.30999181179,5.563480377197266
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,193056.1364417282,2.0,1215551.3065352326,386112.2728834564,384849.9723546545,6.296361923217773
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,725534.3429664489,1.0,2111994.5020418963,725534.3429664489,767516.8006453499,2.9109504222869873
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,68681.87499123302,2.0,353950.18710869004,137363.74998246605,120240.41412383842,5.1534729818292
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,460313.31553713884,2.0,3091865.0315421466,920626.6310742777,1014712.273300417,6.716870720835556
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,947272.4340292839,1.0,2618034.6862387448,947272.4340292839,916288.1621725913,2.763761080962492
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,105659.65200654083,1.0,401616.11529389373,105659.65200654083,120498.01635727668,3.8010357564780906
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,419123.04593913123,2.0,2635344.4319372517,838246.0918782625,791476.2903132086,6.2877583503723145
SFH_0_Post2010_2020,Single family- Terraced houses,2020,796712.1151969403,1.0,2192983.5740386117,796712.1151969403,777206.457396322,2.752542018890381
SFH_1_Post2010_2020,Single family- Terraced houses,2020,86610.80228506913,1.0,339048.1449949186,86610.80228506913,97026.99016908943,3.9146173000335693
SFH_2_Post2010_2020,Single family- Terraced houses,2020,351041.36405250564,2.0,2164592.8220373765,702082.7281050113,611244.0176736836,6.166204452514649
0_Other non-residential buildings_1900,Other non-residential buildings,1900,252939.6560989144,4.0,2957307.5985711096,1011758.6243956576,784779.8906806007,11.691751480102539
0_Other non-residential buildings_1955,Other non-residential buildings,1955,427151.92232732597,3.0,4479607.5864510145,1281455.766981978,1199501.2887547472,10.487153053283691
0_Other non-residential buildings_1975,Other non-residential buildings,1975,51468.097605890514,3.0,393682.65313148656,154404.29281767155,133963.23316445574,7.649061679840089
0_Other non-residential buildings_1985,Other non-residential buildings,1985,49556.68637544089,3.0,379062.1507342383,148670.05912632268,128988.1351863137,7.649061679840089
0_Other non-residential buildings_1995,Other non-residential buildings,1995,96241.12765354273,3.0,739824.3360977866,288723.3829606282,186259.56934372504,7.687195216176926
0_Other non-residential buildings_2005,Other non-residential buildings,2005,152777.10083072598,2.0,1089284.3577949002,305554.20166145195,264476.08562848705,7.129892843049861
0_Other non-residential buildings_2020,Other non-residential buildings,2020,130117.33743303198,2.0,825584.3654135135,260234.67486606396,225557.06768479696,6.344922065734863
0_Hotels and Restaurants_1900,Hotels and Restaurants,1900,19984.093531516784,4.0,227007.1173926413,79936.37412606714,28104.648038933625,11.359390258789062
0_Hotels and Restaurants_1955,Hotels and Restaurants,1955,22369.600816673264,4.0,254105.02560991814,89478.40326669306,31459.50837012155,11.359390258789062
0_Hotels and Restaurants_1975,Hotels and Restaurants,1975,11890.306015953163,2.0,85395.76740692955,23780.612031906327,13418.854218293649,7.181965484517764
0_Hotels and Restaurants_1985,Hotels and Restaurants,1985,11448.726367402593,2.0,82224.35761237386,22897.452734805185,12920.507672652582,7.181965484517764
0_Hotels and Restaurants_1995,Hotels and Restaurants,1995,13592.2852631601,3.0,108591.2248847972,40776.8557894803,19385.52951290621,7.989180831800066
0_Hotels and Restaurants_2005,Hotels and Restaurants,2005,27176.86551985938,3.0,222446.03897316175,81530.59655957815,29337.686270159636,8.185124911134812
0_Hotels and Restaurants_2020,Hotels and Restaurants,2020,16780.83111671317,3.0,131945.0731021701,50342.493350139506,20087.07995203716,7.862844944000244
0_Trade_1900,Trade,1900,195708.01490134155,5.0,2719542.9958950505,978540.0745067077,476475.0431024138,13.895920395830496
0_Trade_1955,Trade,1955,214721.96625501072,5.0,2983759.3503158307,1073609.8312750536,522766.8278070606,13.895920395830496
0_Trade_1975,Trade,1975,30847.389755611122,3.0,295797.26002845407,92542.16926683337,83166.30960375945,9.5890531539917
0_Trade_1985,Trade,1985,29701.78597479091,3.0,284812.0044807552,89105.35792437273,80077.69693754186,9.5890531539917
0_Trade_1995,Trade,1995,51107.13393782903,3.0,502039.84998141904,153321.4018134871,159510.08525318737,9.823283195495605
0_Trade_2005,Trade,2005,92355.44206326878,3.0,747262.7288829588,277066.32618980634,167419.4677646133,8.091160760954843
0_Trade_2020,Trade,2020,61346.21356021129,3.0,480848.69414414425,184038.64068063386,91303.06258757692,7.838278293609619
0_Education_1900,Education,1900,106455.52647161108,4.0,1422491.470621927,425822.10588644433,276637.61512178474,13.362307413897092
0_Education_1955,Education,1955,116633.30557889478,4.0,1558490.083844191,466533.2223155791,303085.81027702754,13.362307413897092
0_Education_1975,Education,1975,10545.929502304069,3.0,107574.02052956712,31637.788506912206,28167.519105838102,10.200525283813477
