Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,4084754.511645512,3.0,39938633.32354154,12254263.534936536,10496190.990563532,9.777486801147461
Apartment Block_AB_1_Before1945,Apartment Block,1900,1077567.715765166,4.0,12501577.105540555,4310270.863060664,2911343.9004740696,11.601662635803223
Apartment Block_AB_2_Before1945,Apartment Block,1900,1230852.7603229736,5.0,18915141.9082164,6154263.8016148675,4360875.338262822,15.367509841918945
Apartment Block_AB_3_Before1945,Apartment Block,1900,531269.7923233518,7.0,10943272.285718065,3718888.546263463,2073718.6104956511,20.59833335876465
Apartment Block_AB_0_1945to1969,Apartment Block,1955,3049831.105057463,3.0,28347010.811384503,9149493.31517239,8005884.106760305,9.29461659840026
Apartment Block_AB_1_1945to1969,Apartment Block,1955,2396136.1782147,4.0,28448781.8385962,9584544.7128588,5794709.4065811075,11.872773382935465
Apartment Block_AB_2_1945to1969,Apartment Block,1955,806831.3208812473,5.0,12110187.503352486,4034156.6044062367,2323823.7238853453,15.009565431998038
Apartment Block_AB_3_1945to1969,Apartment Block,1955,693699.216881273,7.0,13799453.958925765,4855894.51816891,3051848.860410545,19.892560958862305
Apartment Block_AB_0_1970to1979,Apartment Block,1975,201879.1124009604,3.0,1768838.2310840013,605637.3372028812,516293.1672162785,8.761868476867676
Apartment Block_AB_1_1970to1979,Apartment Block,1975,57370.859382001305,3.0,568527.0976804356,172112.5781460039,154186.25621568825,9.90968418121338
Apartment Block_AB_2_1970to1979,Apartment Block,1975,95594.36226408643,4.0,1124446.8099098678,382377.44905634574,248072.66587903726,11.762689590454102
Apartment Block_AB_3_1970to1979,Apartment Block,1975,17214.933288860422,7.0,343113.4251328908,120504.53302202297,74372.64526669365,19.931150436401367
Apartment Block_AB_0_1980to1989,Apartment Block,1985,199019.33886083055,3.0,1743781.2714517573,597058.0165824917,508979.475765018,8.761868476867676
Apartment Block_AB_1_1980to1989,Apartment Block,1985,56558.15685084843,3.0,560473.4722634378,169674.47055254527,152002.08881702472,9.90968418121338
Apartment Block_AB_2_1980to1989,Apartment Block,1985,94240.19429426966,4.0,1108518.1524275779,376960.77717707865,244558.52497821287,11.762689590454102
Apartment Block_AB_3_1980to1989,Apartment Block,1985,16971.070463583066,7.0,338252.95847644197,118797.49324508147,73319.09930785903,19.931150436401367
Apartment Block_AB_0_1990to2000,Apartment Block,1995,678470.0811234891,3.0,5936165.930035042,2035410.2433704673,1606087.170965949,8.749340752366344
Apartment Block_AB_1_1990to2000,Apartment Block,1995,227456.92394998705,3.0,2285680.740690451,682370.7718499611,609016.5054716836,10.048851013183594
Apartment Block_AB_2_1990to2000,Apartment Block,1995,419292.2217028467,4.0,4713736.995049437,1677168.8868113868,910746.5464507291,11.242128403684227
Apartment Block_AB_3_1990to2000,Apartment Block,1995,69135.71831990074,6.0,1229599.3595584298,414814.30991940445,238968.71196494182,17.785298098284013
Apartment Block_AB_0_2000to2010,Apartment Block,2005,443805.5954862498,3.0,3803374.4560006373,1331416.7864587493,1026336.7718949231,8.569911003112793
Apartment Block_AB_1_2000to2010,Apartment Block,2005,91037.12126426562,3.0,883902.2106139997,273111.36379279685,211304.8107856891,9.709250450134277
Apartment Block_AB_2_2000to2010,Apartment Block,2005,231487.18185827858,4.0,2582758.2457581526,925948.7274331143,570910.8813883418,11.157240867614746
Apartment Block_AB_3_2000to2010,Apartment Block,2005,29428.099779876477,6.0,508867.12897926534,176568.59867925887,95130.20176045384,17.291878605333494
Apartment Block_AB_0_Post2010,Apartment Block,2020,366688.1784875355,3.0,3186876.841434159,1100064.5354626065,854257.5167290939,8.690972407616046
Apartment Block_AB_1_Post2010,Apartment Block,2020,77298.77264287701,3.0,751601.8083479046,231896.31792863103,178697.38768853917,9.723334312438967
Apartment Block_AB_2_Post2010,Apartment Block,2020,167806.4140999941,4.0,1924761.2892685132,671225.6563999763,428472.6748442627,11.470129432129859
