Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,CH070,900,6297.637083473615,989.395,8.620233304775844,46.29942302896813
Apartment Block,CH070,1000,12667.6070182533,1051.09,8.902270355823745,46.38151083735852
Apartment Block,CH070,1100,157909.56633691455,1157.02,8.979336300744059,45.901109968094566
Apartment Block,CH070,1200,499610.7364235836,1264.86,8.978399357264163,46.15407450152843
Apartment Block,CH070,1300,20458675.456717554,1383.11,8.96546646370247,46.00915165471603
Education,CH070,1000,5240.875968920067,1093.0,8.603276400157107,46.320889972809105
Education,CH070,1100,11487.116584656294,1170.06,9.001352452852277,46.26021038336833
Education,CH070,1200,38401.70421914826,1264.92,9.004824950043922,46.27927659995026
Education,CH070,1300,822078.990767097,1388.7,8.793639694926792,46.162377657714245
Health,CH070,1000,1019.274354133755,1052.52,8.603665440662917,46.32487330804935
Health,CH070,1200,37359.57916178368,1266.05,9.026881224660308,46.183809651259416
Health,CH070,1300,175706.67981216533,1388.095,8.799889279511488,46.177637118599
Hotels and Restaurants,CH070,900,204.81628544069827,984.57,8.583456937267206,46.30479807995884
Hotels and Restaurants,CH070,1000,366.581006991677,1075.645,8.840272316645878,46.25771565850645
Hotels and Restaurants,CH070,1100,13370.665246657678,1162.7749,8.494257807676181,46.31651317205025
Hotels and Restaurants,CH070,1200,8000.00680753286,1267.49,8.717225122293941,46.263097522364504
Hotels and Restaurants,CH070,1300,151257.2852100159,1367.355,8.928126648469773,45.91225609833372
Industrial,CH070,800,126.90718143619597,890.6,8.89826463271288,46.38137970097792
Industrial,CH070,900,134087.14611478534,959.79,8.546078089555362,46.298990753574046
Industrial,CH070,1000,307604.38826049236,1073.17,8.900154311045226,46.38370688916354
Industrial,CH070,1100,235197.92599184945,1158.9451,8.975684339560516,46.342471172247045
Industrial,CH070,1200,700378.9119173756,1259.875,8.725324180166965,46.17966860601602
Industrial,CH070,1300,5667300.495509159,1362.79,8.920735234533256,46.027887968545436
Offices,CH070,1000,479.9899077466689,1053.93,8.655418198250782,46.395235573399546
Offices,CH070,1100,9467.07510260609,1145.95,8.974079011943303,46.352071713773306
Offices,CH070,1200,16069.374469112488,1263.8601,8.74817560000639,46.204262899995186
Offices,CH070,1300,263852.57595356065,1373.17,8.790111732115971,46.14836917966723
Other non-residential buildings,CH070,900,8634.862698249053,950.95,8.578339129710217,46.3046214263527
Other non-residential buildings,CH070,1000,20153.727304531378,1076.61,8.981003216833939,46.279800846031875
Other non-residential buildings,CH070,1100,73351.32574255235,1163.34,8.938191735924551,46.45011998283335
Other non-residential buildings,CH070,1200,258066.34867879492,1263.605,8.952441926972103,46.15033816881209
Other non-residential buildings,CH070,1300,2944556.3405484697,1372.395,8.878443890951022,45.977273711734554
Other non-residential buildings,CH070,1400,1696.1969535874669,1401.07,8.783882549999046,46.17513149999543
Single family- Terraced houses,CH070,800,2642.527605596697,879.255,8.571381287344023,46.30279012730568
Single family- Terraced houses,CH070,900,34128.463948943594,975.765,8.614051551766753,46.409392129506536
Single family- Terraced houses,CH070,1000,317025.2855443582,1065.57,8.874473716476583,46.40071069904625
Single family- Terraced houses,CH070,1100,1564612.1308117465,1164.21,8.609040300001617,46.34557809999618
Single family- Terraced houses,CH070,1200,4862077.973936757,1257.08,8.707429449420902,46.24891957631428
Single family- Terraced houses,CH070,1300,13922603.130073078,1367.26,8.925568700004185,45.942688549986855
Single family- Terraced houses,CH070,1400,40086.17590582385,1405.76,8.788843898378389,46.20069312288337
Sport,CH070,1100,7322.940373182297,1181.335,8.969097777214097,46.34992670097982
Sport,CH070,1200,111.95007004123181,1261.18,9.000594350970069,46.275814010632224
Sport,CH070,1300,90920.16771998117,1375.23,8.961779515553486,46.02430921489067
Trade,CH070,1000,75.0301078222692,1055.76,8.993685333664821,45.99000940034145
Trade,CH070,1100,51924.88070728979,1168.7649,8.974111563472619,46.34530056474136
Trade,CH070,1200,154898.95014845196,1252.4451,8.84036284999281,46.142899349992376
Trade,CH070,1300,2151222.8217092524,1364.34,8.923078999789114,46.03095816853708
