Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,2439227.287304682,3.0,22433850.127527524,7317681.861914047,6405447.596910991,9.19711346469753
Apartment Block_AB_1_Before1945,Apartment Block,1900,253233.85853043172,4.0,2789105.627266661,1012935.4341217269,660005.692844999,11.013952255249023
Apartment Block_AB_2_Before1945,Apartment Block,1900,1398899.2016287618,4.0,16939225.361482877,5595596.806515047,4019058.21773922,12.108967781066895
Apartment Block_AB_3_Before1945,Apartment Block,1900,259416.61315153015,6.0,4644397.007895264,1556499.678909181,1038660.3604053376,17.903236618012524
Apartment Block_AB_0_1945to1969,Apartment Block,1955,4397713.065656948,3.0,40322029.79213916,13193139.196970843,11691165.274245614,9.168863268280486
Apartment Block_AB_1_1945to1969,Apartment Block,1955,464850.0978525921,4.0,5119836.783596287,1859400.3914103685,1211543.008832669,11.013952255249023
Apartment Block_AB_2_1945to1969,Apartment Block,1955,2613928.4790576436,4.0,31450068.446217064,10455713.916230574,7535197.918927363,12.03172492980957
Apartment Block_AB_3_1945to1969,Apartment Block,1955,488447.3980394413,6.0,8688452.059965642,2930684.388236648,2033554.8716452376,17.78789710998535
Apartment Block_AB_0_1970to1979,Apartment Block,1975,751478.658524529,3.0,6980932.84268635,2254435.9755735868,2009920.9519647954,9.289595603942871
Apartment Block_AB_1_1970to1979,Apartment Block,1975,81876.39716157033,4.0,906325.1538753028,327505.58864628134,220213.04827115714,11.06943130493164
Apartment Block_AB_2_1970to1979,Apartment Block,1975,467453.2978444431,4.0,5718796.102632664,1869813.1913777725,1340997.4267461242,12.233941078186035
Apartment Block_AB_3_1970to1979,Apartment Block,1975,92182.89543730824,6.0,1648649.0388019814,553097.3726238494,401131.5034632125,17.88454388399196
Apartment Block_AB_0_1980to1989,Apartment Block,1985,392444.74407502054,3.0,3645652.969349796,1177334.2322250616,1049641.1370531279,9.289595603942871
Apartment Block_AB_1_1980to1989,Apartment Block,1985,42758.31570911922,4.0,473310.2384566746,171033.26283647688,115001.873160891,11.06943130493164
Apartment Block_AB_2_1980to1989,Apartment Block,1985,244118.1632486758,4.0,2986527.225299299,976472.6529947032,700309.1651038098,12.233941078186035
Apartment Block_AB_3_1980to1989,Apartment Block,1985,48140.678910321934,6.0,860974.0845768189,288844.0734619316,209482.9286651129,17.88454388399196
Apartment Block_AB_0_1990to2000,Apartment Block,1995,1594093.3913134066,3.0,13957157.404047629,4782280.17394022,3502770.5979820155,8.755545616149902
Apartment Block_AB_1_1990to2000,Apartment Block,1995,327141.11987731274,3.0,2989668.1099176076,981423.3596319382,1220964.092483684,9.138772010803223
Apartment Block_AB_2_1990to2000,Apartment Block,1995,796914.6506411183,4.0,8861208.225812567,3187658.602564473,2014243.104176587,11.119394302368164
Apartment Block_AB_3_1990to2000,Apartment Block,1995,146409.14288337194,5.0,2224433.8730171556,732045.7144168597,530920.2786933945,15.193271603188863
Apartment Block_AB_0_2000to2010,Apartment Block,2005,543971.7912225298,3.0,4670866.791372578,1631915.3736675896,1291792.2443117772,8.586597442626953
Apartment Block_AB_1_2000to2010,Apartment Block,2005,339321.30961504055,4.0,3606242.56980682,1357285.2384601622,771474.1032334146,10.62781047821045
Apartment Block_AB_2_2000to2010,Apartment Block,2005,16825.102388605726,4.0,178832.48407214542,67300.4095544229,42767.314414266264,10.628909111022951
