Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,CY000,1800,854683.347686657,1899.29,33.33056525663763,35.33630172100783
Apartment Block,CY000,1900,65760661.76963161,1931.4,32.37354316451905,34.878483111525995
Education,CY000,1700,1457.5197430104017,1792.64,32.97715979252728,34.93877378876391
Education,CY000,1800,66176.59530914109,1886.79,33.89710339594672,35.284924915568716
Education,CY000,1900,3115256.97021034,1931.155,33.35049228286668,35.15107154612255
Health,CY000,1800,2741.9074750114232,1890.6,33.89085615382418,35.18323662956372
Health,CY000,1900,408634.3258899967,1931.1799,33.34577164995057,35.15981209998511
Hotels and Restaurants,CY000,1700,2437.0453161671758,1796.11,32.74233258311992,34.98307348534057
Hotels and Restaurants,CY000,1800,91584.943542453,1869.675,33.89998363051213,35.424439620774955
Hotels and Restaurants,CY000,1900,1262553.5363388713,1933.94,33.317111756222516,35.16839419525211
Industrial,CY000,1600,221.8137674871832,1657.79,32.87998808447894,34.959419093368844
Industrial,CY000,1800,82015.16016110429,1890.8049,33.423666050023314,35.00372069993344
Industrial,CY000,1900,9042391.92524479,1937.66,33.56649694988066,34.90181814990432
Offices,CY000,1700,730.9425965417176,1787.875,33.1977234222146,34.92004594244766
Offices,CY000,1800,3070.1364479046315,1857.9451,32.64144734999512,35.028088549994216
Offices,CY000,1900,1555488.8122863658,1960.65,32.531126096299325,34.71166243049984
Other non-residential buildings,CY000,1700,7768.380814124364,1786.22,33.01714140546385,34.909988753750056
Other non-residential buildings,CY000,1800,705342.6908253864,1886.71,33.437442474145925,34.887451811461275
Other non-residential buildings,CY000,1900,9036688.080034103,1927.8,33.70219424234622,35.00860118501237
Single family- Terraced houses,CY000,1600,451.79693966079503,1672.2649,32.87982165638069,34.9592505820926
Single family- Terraced houses,CY000,1700,794336.1205551238,1783.16,32.82928131226574,34.96749807423923
Single family- Terraced houses,CY000,1800,3891498.0728407074,1858.33,32.85577124442246,34.88838849619793
Single family- Terraced houses,CY000,1900,28719605.15615045,1944.5,32.401642850002446,34.8192032499989
Sport,CY000,1800,5007.183536142111,1878.27,33.50701289057252,35.23020035296358
Sport,CY000,1900,242282.815760809,1933.3,33.59822038728463,34.926142201438125
Trade,CY000,1700,1484.056161209941,1778.385,33.092040999990566,34.92234949999456
Trade,CY000,1800,200334.63430482429,1876.27,34.07730613699235,35.3635348760253
Trade,CY000,1900,4833753.850391368,1937.65,34.053081081693854,35.01671512851207
