Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1822752.2968997688,3.0,17878266.830488175,5468256.8906993065,5684596.318892305,9.808390784033824
Apartment Block_AB_1_Before1945,Apartment Block,1900,1542166.4781262907,4.0,20467469.25893886,6168665.912505163,3435007.6356307813,13.271893501281737
Apartment Block_AB_2_Before1945,Apartment Block,1900,1279650.253312561,5.0,17976928.689696956,6398251.266562805,3630957.70100805,14.048314094543457
Apartment Block_AB_3_Before1945,Apartment Block,1900,1163061.5741502866,6.0,22162245.131839298,6978369.44490172,3403239.175585995,19.055091857910156
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1765537.537231053,3.0,17455806.029375367,5296612.611693159,4618795.871667637,9.88696397628104
Apartment Block_AB_1_1945to1969,Apartment Block,1955,1404277.3187984165,4.0,18545624.644734513,5617109.275193666,3218137.9872270143,13.206525802612305
Apartment Block_AB_2_1945to1969,Apartment Block,1955,1180234.2257753417,5.0,16996391.031898253,5901171.128876708,3664558.825153545,14.40086269378662
Apartment Block_AB_3_1945to1969,Apartment Block,1955,1042433.2371479071,6.0,19863661.089592014,6254599.422887443,3050268.1108577913,19.055091857910156
Apartment Block_AB_0_1970to1979,Apartment Block,1975,157690.7975446066,3.0,1467791.2227803264,473072.39263381984,386456.8693764907,9.308033478397029
Apartment Block_AB_1_1970to1979,Apartment Block,1975,168781.367025906,4.0,2035387.303631787,675125.468103624,384787.8042391806,12.059312822838901
Apartment Block_AB_2_1970to1979,Apartment Block,1975,101766.66546181662,4.0,1249128.7224561728,407066.6618472665,209761.0472498628,12.274438950982946
Apartment Block_AB_3_1970to1979,Apartment Block,1975,58969.872168814465,6.0,1099421.0839223636,353819.2330128868,206720.3818268732,18.643775939941406
Apartment Block_AB_0_1980to1989,Apartment Block,1985,128247.08491665486,3.0,1193728.15991105,384741.2547499646,314298.4100231443,9.308033478397029
