Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,CZ020,1000,6915.597390482202,1098.97,14.415147884199087,49.84852090411381
Apartment Block,CZ020,1100,11561683.815748952,1132.0,14.901681250263845,50.41037479363268
Education,CZ020,1100,1314801.0535457614,1130.4,14.686770782413532,49.78008430342441
Health,CZ020,1100,287264.7751614611,1131.88,14.911233753988315,50.41751951554064
Hotels and Restaurants,CZ020,1000,10078.608723166748,1094.79,14.403436028913159,49.9438161062817
Hotels and Restaurants,CZ020,1100,987955.7785806104,1123.615,14.911530999992276,49.83461089999466
Industrial,CZ020,1000,47799.37644999963,1091.915,13.856346885870952,50.01760100986688
Industrial,CZ020,1100,24917786.981499694,1132.89,14.905404221109546,49.698415135809235
Offices,CZ020,1000,41752.62121864734,1095.44,14.133930812046415,49.972979545506554
Offices,CZ020,1100,8092965.343708879,1132.21,15.117816480174206,49.67906761621479
Other non-residential buildings,CZ020,1000,49142.29092182772,1095.785,14.186971044549802,49.93801438474356
Other non-residential buildings,CZ020,1100,34755437.6552648,1133.06,15.178078620021857,49.64181190949917
Single family- Terraced houses,CZ020,1000,537349.8044624001,1094.585,13.916937532548879,50.024608541446675
Single family- Terraced houses,CZ020,1100,86681468.90570596,1132.57,14.885927562743584,49.584386589623286
Sport,CZ020,1100,144675.7135202086,1132.91,14.097317865487218,50.22301346394636
Trade,CZ020,1000,1442.743942695437,1092.81,14.183902019335504,49.93347843802437
Trade,CZ020,1100,4148578.9850890334,1132.96,14.513397051933564,49.96605033805424
