Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,5022385.253969448,3.0,47010465.90941905,15067155.761908343,11870153.531997435,9.360187148579309
Apartment Block_AB_1_Before1945,Apartment Block,1900,3206187.7335601556,4.0,38633899.28895143,12824750.934240622,7155140.311339531,12.049793243408203
Apartment Block_AB_2_Before1945,Apartment Block,1900,2251030.2100857617,5.0,31956913.13545753,11255151.050428808,6797557.770819148,14.196572303771973
Apartment Block_AB_3_Before1945,Apartment Block,1900,1522402.8975291324,6.0,28318584.81805094,9134417.385174794,5234593.375717464,18.601242065429688
Apartment Block_AB_0_1945to1969,Apartment Block,1955,10820166.070948076,3.0,108875485.82509747,32460498.212844227,27142536.950770926,10.062274932861328
Apartment Block_AB_1_1945to1969,Apartment Block,1955,5814314.494433476,4.0,70713312.0421353,23257257.977733903,13050704.971059619,12.161934499730794
Apartment Block_AB_2_1945to1969,Apartment Block,1955,4324692.588705496,6.0,74060479.36507665,25948155.532232974,13890575.530361403,17.12502746634416
Apartment Block_AB_3_1945to1969,Apartment Block,1955,3442.4242264297495,22.0,225338.3311276471,75733.33298145448,54926.41205265425,65.45919860706792
Apartment Block_AB_0_1970to1979,Apartment Block,1975,761102.4208543627,3.0,7217432.225433201,2283307.262563088,1774849.2450498177,9.482865942446214
Apartment Block_AB_1_1970to1979,Apartment Block,1975,308990.25638486654,3.0,3222624.084024467,926970.7691545996,666962.8768763515,10.429533027120728
Apartment Block_AB_2_1970to1979,Apartment Block,1975,172401.90493259672,5.0,2785550.777515671,862009.5246629836,544273.5883799379,16.15730857849121
Apartment Block_AB_3_1970to1979,Apartment Block,1975,750.7490529004109,24.0,54848.68596321468,18017.977269609863,13818.204759506549,73.05861492773741
Apartment Block_AB_0_1980to1989,Apartment Block,1985,587937.6840336286,3.0,5575334.240203199,1763813.0521008857,1371038.543632616,9.482865942446214
Apartment Block_AB_1_1980to1989,Apartment Block,1985,238689.3153275591,3.0,2489418.0974296113,716067.9459826773,515216.6100416636,10.429533027120728
Apartment Block_AB_2_1980to1989,Apartment Block,1985,133177.31481562625,5.0,2151786.9711309425,665886.5740781312,420441.38116597204,16.15730857849121
