Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,5272153.556936563,3.0,48371027.692630194,15816460.670809688,17873004.135843728,9.174813891562115
Apartment Block_AB_1_Before1945,Apartment Block,1900,5652667.521901747,4.0,60442086.124698155,22610670.08760699,15864721.635365952,10.692666053771973
Apartment Block_AB_2_Before1945,Apartment Block,1900,3532218.456871979,4.0,44591323.97958335,14128873.827487916,8699010.029843945,12.62416934967041
Apartment Block_AB_3_Before1945,Apartment Block,1900,1241620.2724979585,6.0,21657985.99281819,7449721.634987751,4175842.236737946,17.44332504272461
Apartment Block_AB_0_1945to1969,Apartment Block,1955,8907368.538482847,3.0,81723448.60413575,26722105.615448542,30196661.195182223,9.174813891562115
Apartment Block_AB_1_1945to1969,Apartment Block,1955,9572779.295078956,4.0,102358532.20874195,38291117.18031582,26866869.173676133,10.692666053771973
Apartment Block_AB_2_1945to1969,Apartment Block,1955,5975754.288240207,4.0,75438934.12676354,23903017.15296083,14716854.89558286,12.62416934967041
Apartment Block_AB_3_1945to1969,Apartment Block,1955,2109877.7202884983,6.0,36803282.875395074,12659266.32173099,7095983.122929855,17.44332504272461
Apartment Block_AB_0_1970to1979,Apartment Block,1975,1059711.4409162395,3.0,9113084.229706371,3179134.322748719,3193331.9199137674,8.599590301513672
Apartment Block_AB_1_1970to1979,Apartment Block,1975,775587.1898042933,3.0,7406395.558770686,2326761.56941288,2232649.7332655797,9.549404188379604
Apartment Block_AB_2_1970to1979,Apartment Block,1975,688417.6634175506,4.0,7543759.842683932,2753670.6536702025,1920194.1763585815,10.958114882227193
Apartment Block_AB_3_1970to1979,Apartment Block,1975,206998.5060643671,5.0,3131771.7024410586,1034992.5303218355,728630.0426293738,15.129441086242528
Apartment Block_AB_0_1980to1989,Apartment Block,1985,818607.6843860849,3.0,7039690.70339114,2455823.053158255,2466790.437004822,8.599590301513672
Apartment Block_AB_1_1980to1989,Apartment Block,1985,599126.9028257917,3.0,5721304.955215516,1797380.7084773753,1724681.0382772933,9.549404188379604
Apartment Block_AB_2_1980to1989,Apartment Block,1985,531790.0397993941,4.0,5827416.349345932,2127160.1591975763,1483314.8417473647,10.958114882227193
Apartment Block_AB_3_1980to1989,Apartment Block,1985,159902.55571292265,5.0,2419236.296198277,799512.7785646132,562853.3664364872,15.129441086242528
Apartment Block_AB_0_1990to2000,Apartment Block,1995,1385540.5805685723,3.0,11962382.851311903,4156621.741705717,4488137.292126615,8.633729693000406
Apartment Block_AB_1_1990to2000,Apartment Block,1995,1330288.4320017414,3.0,12735404.778878398,3990865.296005224,3649531.8037476125,9.573416164880044
Apartment Block_AB_2_1990to2000,Apartment Block,1995,1700560.0845394535,3.0,17283371.714116063,5101680.2536183605,4013758.1144758873,10.163340814151095
Apartment Block_AB_3_1990to2000,Apartment Block,1995,436952.3218450903,5.0,6258038.098640094,2184761.6092254515,1518113.6147985256,14.322015894582458
Apartment Block_AB_0_2000to2010,Apartment Block,2005,781398.2693119141,3.0,6681088.742360156,2344194.807935742,2524938.3715990484,8.5501708984375
Apartment Block_AB_1_2000to2010,Apartment Block,2005,680204.2585477057,3.0,6413500.579076002,2040612.7756431173,1926029.8256445783,9.428786277770996
Apartment Block_AB_2_2000to2010,Apartment Block,2005,830600.1989263057,3.0,8396323.173837416,2491800.596778917,2133759.1936762542,10.108742069519263
Apartment Block_AB_3_2000to2010,Apartment Block,2005,231850.64471150353,5.0,3181979.269075443,1159253.2235575176,863157.7834548439,13.724263191223145
Apartment Block_AB_0_Post2010,Apartment Block,2020,603381.2436157115,3.0,5159012.749826084,1810143.7308471343,1949710.5567562,8.5501708984375
Apartment Block_AB_1_Post2010,Apartment Block,2020,509711.7003014733,3.0,4843518.204767702,1529135.10090442,1442488.9692200583,9.502466201782227
Apartment Block_AB_2_Post2010,Apartment Block,2020,713368.8494306233,3.0,7186508.815027223,2140106.54829187,1691481.3375272977,10.07404349203522
Apartment Block_AB_3_Post2010,Apartment Block,2020,165748.53351621056,5.0,2309704.777608411,828742.6675810529,612512.4543570846,13.934993743896484
SFH_0_Before1945_1900,Single family- Terraced houses,1900,7863039.600413484,1.0,25318335.34059092,7863039.600413484,9749123.79581083,3.219917058443854
SFH_1_Before1945_1900,Single family- Terraced houses,1900,6299976.195507695,2.0,42573966.58264603,12599952.39101539,14395446.183561485,6.757798007713762
SFH_2_Before1945_1900,Single family- Terraced houses,1900,4195328.264440172,2.0,29848131.588825405,8390656.528880345,8682976.208961055,7.114611707937081
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,13915711.635540541,1.0,44807437.27566261,13915711.635540541,17253632.480059728,3.219917058443854
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,10707997.94835132,2.0,72362487.2019716,21415995.89670264,24467776.29240805,6.757798007713762
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,7117894.16402137,2.0,50581472.95207063,14235788.32804274,14625193.551219106,7.106241226196289
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,6484077.452442248,1.0,19032280.412013914,6484077.452442248,7211021.595091546,2.9352333545684814
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,3346148.3145735096,2.0,20531406.53725282,6692296.629147019,6937668.369187535,6.135832786560059
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,1718293.3078663417,2.0,10593464.718545467,3436586.6157326833,3123835.7708478463,6.165108523701173
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,5008831.106074013,1.0,14702088.129948583,5008831.106074013,5570382.145645363,2.9352333545684814
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,2584838.3037528503,2.0,15860135.612123026,5169676.607505701,5359221.783836611,6.135832786560059
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,1327350.1177192174,2.0,8183257.524686503,2654700.235438435,2413105.934352462,6.165108523701173
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,7966693.730878285,1.0,24154311.228368286,7966693.730878285,8978226.7109628,3.031911611557007
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,4679320.527255121,2.0,29125117.24052989,9358641.054510241,9493230.502883378,6.22421932220459
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,2810770.010036915,2.0,18101785.23437898,5621540.02007383,5455048.187266859,6.440151691436768
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,7645529.004136868,1.0,22206382.54292528,7645529.004136868,8003268.77829423,2.9044926166534424
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,3573719.174152188,2.0,21515458.307130974,7147438.348304376,7576550.4610005,6.020466986535168
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,1895591.9193158897,2.0,11880423.354184091,3791183.8386317794,3615522.244504874,6.26739501953125
SFH_0_Post2010_2020,Single family- Terraced houses,2020,6213003.517803879,1.0,18011327.74656095,6213003.517803879,6682215.009434126,2.8989727263066873
SFH_1_Post2010_2020,Single family- Terraced houses,2020,2887947.66740378,2.0,17289273.71373771,5775895.33480756,5674720.729021269,5.986699104309082
SFH_2_Post2010_2020,Single family- Terraced houses,2020,1481787.6975676662,2.0,9275406.991351325,2963575.3951353324,2845930.3479230353,6.259605884552002
