Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,DEA41,1000,12348347.518250586,1047.03,8.58778704799166,52.005955298844206
Apartment Block,DEA42,1000,6550241.789737986,1052.435,8.382030513318439,51.90341110804963
Apartment Block,DEA43,1000,6448845.5573188085,1052.29,8.661528214505609,52.10766791037515
Apartment Block,DEA44,1000,3917865.749122224,1051.1,9.170128998072995,51.709305506822176
Apartment Block,DEA45,1000,7467782.659381278,1047.54,8.886130558017138,51.933947414646035
Apartment Block,DEA46,1000,7043865.200520351,1051.05,8.891903613405564,52.27425598077384
Apartment Block,DEA47,1000,8438214.190696973,1049.86,8.803332968898033,51.72382607290704
Education,DEA41,1000,1448038.494567052,1045.93,8.554760613034194,52.011770358510844
Education,DEA42,1000,905214.9692924023,1052.29,8.394996832765989,51.89974965689934
Education,DEA43,1000,494079.8049357906,1052.66,8.593402247090753,52.19032554608416
Education,DEA44,1000,332934.1748891929,1051.29,9.193525227075943,51.71727554067541
Education,DEA45,1000,967185.1028050538,1046.54,9.286708869627658,51.880261754195544
Education,DEA46,1000,459284.228139598,1050.53,8.612413809922462,52.30183802670779
Education,DEA47,1000,1208457.847791573,1050.565,8.771240705428196,51.70698776940475
Health,DEA41,1000,217535.68500122847,1042.9751,8.529126545098704,52.01288426923228
Health,DEA42,1000,55753.60038779024,1053.03,8.38120780029579,51.88273334130467
Health,DEA43,1000,119015.95653775986,1050.47,8.786763462771155,52.197923277449604
Health,DEA44,1000,157075.25074171613,1043.01,9.043905926046724,51.73645778906374
Health,DEA45,1000,129438.61514273193,1046.6,8.760726443363012,52.09435410791519
Health,DEA46,1000,215611.9451631545,1051.29,8.808784970937806,52.24075989909534
Health,DEA47,1000,176142.07415916235,1050.0701,8.759290873813478,51.7100495200169
Hotels and Restaurants,DEA41,1000,289962.165334495,1041.48,8.47725417933521,51.986656001020414
Hotels and Restaurants,DEA42,1000,60924.83719341669,1048.46,8.439936945431171,51.93591165166917
Hotels and Restaurants,DEA43,1000,73299.5627267943,1051.84,8.67443586117657,52.10147120448112
Hotels and Restaurants,DEA44,1000,50060.38271570095,1041.41,9.020886005869025,51.73132287853786
Hotels and Restaurants,DEA45,1000,145898.7492720577,1048.64,9.089784860144094,51.94187856967308
Hotels and Restaurants,DEA46,1000,105062.40949842456,1050.14,8.945727135852511,52.29410187654997
Hotels and Restaurants,DEA47,1000,329385.5666327454,1050.65,8.780516925230817,51.70655336818693
Industrial,DEA41,1000,9941693.053237861,1047.89,8.602261382398003,52.0076357699039
Industrial,DEA42,1000,11258444.836567536,1053.08,8.477797553979128,51.87725734875441
Industrial,DEA43,1000,9947479.239210889,1052.32,8.67342915515264,52.096088890901136
Industrial,DEA44,1000,3436530.768433499,1053.005,9.035595452257905,51.52427437139334
Industrial,DEA45,1000,9535153.549097817,1049.73,8.910454433550562,51.93072912160123
