Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,633835.1231861544,3.0,5833171.988286349,1901505.3695584633,1585034.637280542,9.202980041503906
Apartment Block_AB_1_Before1945,Apartment Block,1900,355050.52081990725,3.0,3528123.2401998844,1065151.5624597217,1038795.6182751206,9.93696117401123
Apartment Block_AB_2_Before1945,Apartment Block,1900,274197.8004481143,4.0,3701264.529697417,1096791.2017924571,851421.3692987451,13.498520132723666
Apartment Block_AB_3_Before1945,Apartment Block,1900,160603.2804762501,5.0,2626997.5980224796,803016.4023812505,448948.4463682731,16.357060641802757
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1048746.84091583,3.0,9618314.663282907,3146240.5227474906,2563154.3455509013,9.171245421710738
Apartment Block_AB_1_1945to1969,Apartment Block,1955,593541.0139345728,3.0,5990173.892375545,1780623.0418037183,1592196.609169701,10.092266164838026
Apartment Block_AB_2_1945to1969,Apartment Block,1955,481336.9847995527,4.0,6318728.114043094,1925347.9391982108,1134366.6083815305,13.12745189666748
Apartment Block_AB_3_1945to1969,Apartment Block,1955,277706.36035849055,5.0,4579428.138620009,1388531.8017924528,743074.9028517846,16.49018096923828
Apartment Block_AB_0_1970to1979,Apartment Block,1975,86087.17896322072,3.0,730719.9542883001,258261.53688966215,243259.49785656124,8.488139152526855
Apartment Block_AB_1_1970to1979,Apartment Block,1975,41954.96453896969,3.0,397709.75574937614,125864.89361690906,92450.44447557272,9.479444450011753
Apartment Block_AB_2_1970to1979,Apartment Block,1975,74209.07963173871,3.0,746154.7968540796,222627.23889521614,181286.61033290488,10.054764195390375
Apartment Block_AB_3_1970to1979,Apartment Block,1975,13455.752737489009,5.0,194275.88670291557,67278.76368744504,45169.23303673083,14.43812847137451
Apartment Block_AB_0_1980to1989,Apartment Block,1985,66500.769459922,3.0,564467.7849259261,199502.308379766,187913.50791976694,8.488139152526855
Apartment Block_AB_1_1980to1989,Apartment Block,1985,32409.441894910065,3.0,307223.5040986836,97228.3256847302,71416.27555438913,9.479444450011753
Apartment Block_AB_2_1980to1989,Apartment Block,1985,57325.15521889302,3.0,576390.9181901212,171975.46565667907,140040.58705501098,10.054764195390375
Apartment Block_AB_3_1980to1989,Apartment Block,1985,10394.322609732242,5.0,150074.56521222688,51971.61304866121,34892.40545494524,14.43812847137451
Apartment Block_AB_0_1990to2000,Apartment Block,1995,137389.00777432523,3.0,1177876.395117403,412167.02332297567,378665.17982193513,8.573294284592107
Apartment Block_AB_1_1990to2000,Apartment Block,1995,52209.94914687778,3.0,493360.5302395097,156629.84744063334,123799.67878289339,9.449550101103926
Apartment Block_AB_2_1990to2000,Apartment Block,1995,104880.20208680186,3.0,1092714.8842589192,314640.60626040556,241409.80453750622,10.418695449829102
Apartment Block_AB_3_1990to2000,Apartment Block,1995,21660.862988783112,5.0,336476.7366750892,108304.31494391557,70105.59277856705,15.533856469584373
Apartment Block_AB_0_2000to2010,Apartment Block,2005,131997.2579585287,3.0,1131535.6014244033,395991.7738755861,338642.9176702769,8.572417479913957
Apartment Block_AB_1_2000to2010,Apartment Block,2005,44243.26654514642,3.0,407376.1416301086,132729.79963543927,109301.19996711459,9.2076416015625
Apartment Block_AB_2_2000to2010,Apartment Block,2005,51148.86072461428,4.0,598722.5237921835,204595.4428984571,135748.06751403524,11.70549090068122
Apartment Block_AB_3_2000to2010,Apartment Block,2005,6503.209935612395,6.0,113324.1508302948,39019.259613674374,24869.44276022826,17.425879212312907
