Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,DEB21,1000,317469.4147270444,1095.46,6.620101648975081,49.75287271881998
Apartment Block,DEB21,1100,6995896.496535681,1116.96,6.6332144817776335,49.72326891916212
Apartment Block,DEB22,1000,849103.6788256823,1095.78,7.086605583908814,49.97665278873073
Apartment Block,DEB22,1100,1596940.870611024,1105.25,6.9887638959002825,49.90938044742152
Apartment Block,DEB23,1000,352753.5245836163,1075.44,6.421807370222098,50.20763304559228
Apartment Block,DEB23,1100,1770033.1442174378,1114.82,6.516551484581593,49.96738666246778
Apartment Block,DEB24,1000,615286.8343426511,1085.04,6.831570350027973,50.196489199991404
Apartment Block,DEB25,1000,76064.9210448222,1094.85,6.741839321260935,49.74470595795172
Apartment Block,DEB25,1100,4147482.415524119,1116.32,6.795083650007758,49.71654889998684
Education,DEB21,1000,14648.758085791022,1087.79,6.662431254757582,49.780130966400876
Education,DEB21,1100,526705.8117249205,1117.43,6.634512122035901,49.75957746907252
Education,DEB22,1000,71440.15416005766,1096.3,7.065858125590827,49.92328748302878
Education,DEB22,1100,165885.15682090365,1107.725,6.898821118875191,49.8578047227242
Education,DEB23,1000,96081.07327819674,1079.67,6.283961757259369,50.237992320126075
Education,DEB23,1100,155499.8597543951,1114.26,6.537681382336532,49.97652879065525
Education,DEB24,1000,146713.11327461444,1085.86,6.8196905003316415,50.197748299306326
Education,DEB24,1100,655.4703102316707,1102.29,6.921762906356084,50.112468798233174
Education,DEB25,1000,9272.59589004144,1098.3,6.777746649565104,49.77543680351572
Education,DEB25,1100,326732.60491946945,1117.21,6.79284895466043,49.71442717027437
Health,DEB21,1100,138770.69061261578,1117.27,6.640775126346321,49.762425462510876
Health,DEB22,1000,19847.370545015205,1098.6699,7.062899868279463,49.91588435999905
Health,DEB22,1100,21598.732929840684,1109.96,7.047642808094211,49.92035477795742
Health,DEB23,1000,8475.177660749294,1074.35,6.298391335128951,50.00751423905
Health,DEB23,1100,35879.431838359684,1112.5901,6.527024815745665,49.971369862098356
Health,DEB24,1000,21047.432919128216,1081.75,6.832857534410434,50.19320822970068
Health,DEB25,1100,31018.534535638988,1123.3,6.537938249282604,49.60259113369771
Hotels and Restaurants,DEB21,1000,2273.674295032921,1095.565,6.679384464699233,49.81156468286537
Hotels and Restaurants,DEB21,1100,229006.7890112101,1118.16,6.647726050326726,49.736562120317835
Hotels and Restaurants,DEB22,1000,34597.82802226965,1094.235,6.893741183237225,49.853131193481275
Hotels and Restaurants,DEB22,1100,25382.11733690754,1103.905,7.046760246987029,49.988319477442936
Hotels and Restaurants,DEB23,1000,18691.171730803093,1076.02,6.418256480167332,50.20654674496143
Hotels and Restaurants,DEB23,1100,20233.837345225445,1114.32,6.5209215631670014,49.97613827336376
Hotels and Restaurants,DEB24,1000,19004.722505053738,1085.07,6.643607817296951,50.22882854926681
Hotels and Restaurants,DEB25,1000,6376.292751393863,1095.25,6.8921113028761285,49.76835553817408
Hotels and Restaurants,DEB25,1100,69652.80429387203,1114.26,6.810361183327998,49.64612496199409
Industrial,DEB21,1000,22889.569019001443,1097.09,6.686937418799013,49.79797003000357
