Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1030974.621405078,3.0,8949296.575448245,3092923.864215234,2650339.637174677,8.680423736572266
Apartment Block_AB_1_Before1945,Apartment Block,1900,873771.8039541463,3.0,8474943.862232316,2621315.411862439,1768106.7177934772,9.699264526367188
Apartment Block_AB_2_Before1945,Apartment Block,1900,532914.6942130161,4.0,6313992.381978248,2131658.7768520643,1273575.9837216395,11.84803581237793
Apartment Block_AB_3_Before1945,Apartment Block,1900,125765.94230937447,6.0,2159954.4915319476,754595.6538562468,350467.0789052245,17.174399140735787
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1730633.3808674177,3.0,14991493.488784583,5191900.142602253,4610771.966372306,8.662431716918945
Apartment Block_AB_1_1945to1969,Apartment Block,1955,1485731.3882647054,3.0,14426753.637249917,4457194.164794116,3019995.5543619343,9.710203170776367
Apartment Block_AB_2_1945to1969,Apartment Block,1955,896647.7837526468,4.0,10565043.803884001,3586591.135010587,2221338.1539786477,11.78282486760545
Apartment Block_AB_3_1945to1969,Apartment Block,1955,220419.7151652481,6.0,3776437.772299087,1322518.2909914886,612236.3779928857,17.132940079647145
Apartment Block_AB_0_1970to1979,Apartment Block,1975,132000.17683037216,3.0,1103349.0961740117,396000.53049111646,395515.25808497786,8.358694076538086
Apartment Block_AB_1_1970to1979,Apartment Block,1975,137811.11889191376,3.0,1303575.5575086626,413433.35667574126,260739.32599087234,9.459146460679026
Apartment Block_AB_2_1970to1979,Apartment Block,1975,187432.12525623338,3.0,1782478.4320537336,562296.3757687001,432356.96828517405,9.509994242539562
Apartment Block_AB_3_1970to1979,Apartment Block,1975,42451.6455629545,5.0,695284.0690604759,212258.22781477252,148947.42370149665,16.37825954306979
Apartment Block_AB_0_1980to1989,Apartment Block,1985,101967.7196277487,3.0,852316.9740505593,305903.15888324607,305528.2948350273,8.358694076538086
Apartment Block_AB_1_1980to1989,Apartment Block,1985,106456.56596971837,3.0,1006988.2492085048,319369.6979091551,201416.3550911849,9.459146460679026
Apartment Block_AB_2_1980to1989,Apartment Block,1985,144787.88480655398,3.0,1376931.9508998098,434363.65441966197,333987.8413788771,9.509994242539562
Apartment Block_AB_3_1980to1989,Apartment Block,1985,32793.11889151886,5.0,537094.2124320411,163965.5944575943,115059.15752512166,16.37825954306979
Apartment Block_AB_0_1990to2000,Apartment Block,1995,176976.05771214457,3.0,1473236.7009446067,530928.1731364337,518909.3719185904,8.32449722290039
Apartment Block_AB_1_1990to2000,Apartment Block,1995,270425.41014894046,3.0,2547390.6263667345,811276.2304468214,497988.12879669736,9.419938107752984
Apartment Block_AB_2_1990to2000,Apartment Block,1995,172680.06939488937,3.0,1631456.7911221827,518040.20818466815,304977.1082302055,9.447858092941368
Apartment Block_AB_3_1990to2000,Apartment Block,1995,40867.81846374351,5.0,624707.1592333948,204339.09231871756,123160.63000906304,15.286041259765625
Apartment Block_AB_0_2000to2010,Apartment Block,2005,74357.13139019682,3.0,621528.5136996023,223071.39417059047,222798.03496055203,8.358694076538086
Apartment Block_AB_1_2000to2010,Apartment Block,2005,132615.712625835,3.0,1210516.7718087817,397847.13787750504,296967.48954717006,9.128004124399355
Apartment Block_AB_2_2000to2010,Apartment Block,2005,81473.6999572669,3.0,746624.0179633825,244421.09987180072,154196.42678551583,9.16398811340332
Apartment Block_AB_3_2000to2010,Apartment Block,2005,18088.71207807982,5.0,263370.2926386979,90443.5603903991,61020.80683499142,14.559925079345703
Apartment Block_AB_0_Post2010,Apartment Block,2020,78535.09051918007,3.0,653449.7605942248,235605.27155754023,234236.12602726993,8.320481408684916
Apartment Block_AB_1_Post2010,Apartment Block,2020,83144.03486531867,3.0,750782.274897222,249432.104595956,162255.42215327578,9.02989945235856
Apartment Block_AB_2_Post2010,Apartment Block,2020,129576.86240345624,3.0,1192448.668280337,388730.5872103687,295186.7077491297,9.202635765075684
Apartment Block_AB_3_Post2010,Apartment Block,2020,22627.554549186993,5.0,320812.01119021315,113137.77274593497,64873.83491535222,14.17793560028076
SFH_0_Before1945_1900,Single family- Terraced houses,1900,6661394.905489456,1.0,18219198.655560695,6661394.905489456,6217363.093631026,2.7350425720214844
SFH_1_Before1945_1900,Single family- Terraced houses,1900,2166788.3208801346,2.0,12887497.869402066,4333576.641760269,3932881.1760853315,5.947741985321045
