Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,DED51,1000,16771647.527308239,1096.87,12.404747139746089,51.30079570254214
Apartment Block,DED51,1100,1554072.8955917226,1101.2,12.398352382781804,51.3748869037825
Apartment Block,DED52,1000,1090369.5478004906,1096.5,12.501275667346977,51.123719161378965
Apartment Block,DED52,1100,2006160.966264678,1104.53,12.763897392183935,51.2826731041265
Apartment Block,DED53,1000,813546.4433370787,1098.0,12.33891380346126,51.53087368548712
Apartment Block,DED53,1100,2618329.211487041,1106.02,12.222267781023769,51.39582530062666
Education,DED51,1000,1701720.9463948156,1096.57,12.39939721122377,51.299581862527916
Education,DED51,1100,269954.4555398136,1101.52,12.465751959669022,51.352735594161274
Education,DED52,1000,89620.6504146069,1097.3,12.4435191531591,51.08915671983294
Education,DED52,1100,283611.498791478,1104.5,12.761782774752563,51.28270374586255
Education,DED53,1000,101420.71595152514,1098.25,12.339152964948868,51.529917235944815
Education,DED53,1100,210851.83185051742,1105.61,12.357672174390391,51.48234151017658
Health,DED51,1000,443275.33093428385,1096.46,12.388025940869404,51.32893848146152
Health,DED51,1100,103353.85847512586,1101.42,12.377073306262272,51.383876197493926
Health,DED52,1000,25862.253453169018,1096.73,12.50525322702358,51.134353724466024
Health,DED52,1100,39776.824393769726,1104.38,12.646926025953734,51.151762270284536
Health,DED53,1000,38386.39384797774,1088.94,12.580933120199795,51.59671294842902
Health,DED53,1100,65357.019448437146,1105.895,12.234332944983777,51.39377529443937
Hotels and Restaurants,DED51,1000,735016.2763612263,1096.31,12.321840250001477,51.29611229999387
Hotels and Restaurants,DED51,1100,116752.8810638109,1102.67,12.466513273415053,51.31698939377335
Hotels and Restaurants,DED52,1000,24433.047560473206,1098.6,12.43665190805607,51.15578418215353
Hotels and Restaurants,DED52,1100,65756.5180298165,1105.27,12.708061995441367,51.066155384205956
Hotels and Restaurants,DED53,1000,19145.39682452008,1099.18,12.344528230037033,51.523649225884434
Hotels and Restaurants,DED53,1100,109553.53181187692,1105.39,12.220325599994203,51.38821814999449
Industrial,DED51,1000,3287549.8261316908,1097.23,12.30999678413165,51.3568815213389
Industrial,DED51,1100,7032276.953925867,1102.95,12.468173324516961,51.309552245010465
Industrial,DED52,1000,834241.9293635116,1098.4,12.422168390203156,51.08662835123565
Industrial,DED52,1100,4646918.036808542,1104.05,12.299408015375821,51.20460850415601
Industrial,DED53,1000,1107390.2767152418,1096.24,12.860079331710669,51.50378094507822
Industrial,DED53,1100,4158764.097975881,1106.575,12.214495612453344,51.401921018203964
Offices,DED51,1000,2479068.9312352724,1096.46,12.396587699997422,51.29586699999163
Offices,DED51,1100,326273.6873238978,1101.94,12.256909735072657,51.30515426718644
Offices,DED52,1000,42066.924372474896,1097.48,12.448077475664508,51.176808604478474
Offices,DED52,1100,176715.72630732798,1104.62,12.734158050003133,51.35561789998128
Offices,DED53,1000,71033.86276370334,1098.495,12.345699456437547,51.52651262443472
Offices,DED53,1100,207595.5744735112,1106.5,12.201047917935188,51.40640540589303
Other non-residential buildings,DED51,1000,3063713.994600683,1097.9,12.419589499894917,51.29290119999065
Other non-residential buildings,DED51,1100,3062191.382950674,1101.74,12.42183701962552,51.37091682868439
Other non-residential buildings,DED52,1000,651162.1413476446,1097.155,12.510980325427026,51.14654439172037
Other non-residential buildings,DED52,1100,2509718.7939775507,1104.42,12.614896899992424,51.33663484998995
Other non-residential buildings,DED53,1000,697084.4147654996,1096.055,12.342100063401181,51.538695961144164
Other non-residential buildings,DED53,1100,3597542.031913885,1107.04,12.51617004999855,51.37208454999422
Single family- Terraced houses,DED51,1000,5319460.154224483,1097.64,12.416879327959327,51.30800139298515
Single family- Terraced houses,DED51,1100,6517716.816957657,1102.22,12.299732696883142,51.26213672524747
Single family- Terraced houses,DED52,1000,3923164.2557023717,1097.95,12.46911086111339,51.068846274533456
Single family- Terraced houses,DED52,1100,14632653.3648731,1104.43,12.305303899996304,51.18673479999154
Single family- Terraced houses,DED53,1000,5028365.529173401,1095.89,12.34395789670425,51.53887990415623
Single family- Terraced houses,DED53,1100,10557160.662380759,1106.19,12.505339689978157,51.37061580880174
Sport,DED51,1000,526037.1236424238,1096.51,12.320488030825025,51.28700217081567
Sport,DED51,1100,61667.292503595585,1101.2,12.265990865464296,51.32118297741002
Sport,DED52,1000,15680.262029796373,1097.78,12.805037440243067,51.12723924139295
Sport,DED52,1100,56821.29827816505,1104.11,12.640627157500061,51.14225825857191
Sport,DED53,1000,20536.1607065273,1097.95,12.339944078068058,51.530614533442886
Sport,DED53,1100,19421.998118109535,1105.82,12.359091309042649,51.47828677126223
Trade,DED51,1000,3837312.7518820725,1096.83,12.40104440409585,51.293608916592504
Trade,DED51,1100,3309716.42221475,1101.97,12.43410154990211,51.367707749663175
Trade,DED52,1000,763415.7328442556,1097.85,12.443779638686731,51.09459188862164
Trade,DED52,1100,1821356.8575231505,1104.1,12.654335124601564,51.13954035990195
Trade,DED53,1000,498867.5955966492,1094.89,12.621411568994983,51.55812740001912
Trade,DED53,1100,2631685.5759444614,1106.29,12.275566684045915,51.49517224075639
