Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,3045439.0362339425,3.0,25817395.642943937,9136317.108701827,8405432.131295344,8.477396965026855
Apartment Block_AB_1_Before1945,Apartment Block,1900,2319309.683267811,3.0,23084370.34381062,6957929.049803433,5072207.296596472,9.953121185302734
Apartment Block_AB_2_Before1945,Apartment Block,1900,1967704.337792383,4.0,20751717.52755484,7870817.351169532,4672674.24746701,10.546156314742241
Apartment Block_AB_3_Before1945,Apartment Block,1900,623334.0944511372,5.0,9015724.064516338,3116670.4722556863,1742116.2990207926,14.46371078491211
Apartment Block_AB_0_1945to1969,Apartment Block,1955,5141350.213260941,3.0,43585266.69403848,15424050.639782824,14190161.01344345,8.477396965026855
Apartment Block_AB_1_1945to1969,Apartment Block,1955,3924372.0931611694,3.0,39059751.01945327,11773116.279483508,8582393.679073513,9.953121185302734
Apartment Block_AB_2_1945to1969,Apartment Block,1955,3337993.494844626,4.0,35203001.174224176,13351973.979378505,7926676.758293858,10.546156314742241
Apartment Block_AB_3_1945to1969,Apartment Block,1955,1057582.378498193,5.0,15296565.653817317,5287911.892490965,2955768.849385963,14.46371078491211
Apartment Block_AB_0_1970to1979,Apartment Block,1975,287856.7910836111,3.0,2411180.9362307545,863570.3732508332,916144.0695635651,8.376321180938897
Apartment Block_AB_1_1970to1979,Apartment Block,1975,422877.3033329088,3.0,3899248.2531306,1268631.9099987263,799147.5659952704,9.220755577087402
Apartment Block_AB_2_1970to1979,Apartment Block,1975,238371.48964073404,3.0,2292876.4526196,715114.4689222021,504162.47885459324,9.618920685839363
Apartment Block_AB_3_1970to1979,Apartment Block,1975,109034.22713137206,4.0,1468931.0616666537,436136.9085254882,321465.5707909958,13.472201347351074
Apartment Block_AB_0_1980to1989,Apartment Block,1985,222364.1003441702,3.0,1862593.123593295,667092.3010325106,707704.5187896126,8.376321180938897
Apartment Block_AB_1_1980to1989,Apartment Block,1985,326664.97377954243,3.0,3012097.878816826,979994.9213386273,617326.8620338242,9.220755577087402
Apartment Block_AB_2_1980to1989,Apartment Block,1985,184137.61107433998,3.0,1771205.0762040121,552412.83322302,389456.28350739693,9.618920685839363
Apartment Block_AB_3_1980to1989,Apartment Block,1985,84226.94400059215,4.0,1134722.3484480411,336907.7760023686,248326.2672785167,13.472201347351074
Apartment Block_AB_0_1990to2000,Apartment Block,1995,435687.12703306886,3.0,3610603.4951474825,1307061.3810992066,1338856.019046907,8.287147521972656
Apartment Block_AB_1_1990to2000,Apartment Block,1995,570501.0644727544,3.0,5297022.232723405,1711503.193418263,1073880.1715000246,9.284859507876302
Apartment Block_AB_2_1990to2000,Apartment Block,1995,283430.5506580567,3.0,2755179.91915988,850291.6519741701,612753.1754585376,9.720829010009766
Apartment Block_AB_3_1990to2000,Apartment Block,1995,143880.24156885326,4.0,1940096.9042661528,575520.966275413,422999.8692393846,13.484109305847445
Apartment Block_AB_0_2000to2010,Apartment Block,2005,158291.53136320377,3.0,1303090.426978107,474874.5940896113,478912.6448949363,8.232218210007296
Apartment Block_AB_1_2000to2010,Apartment Block,2005,164404.25511652164,3.0,1509709.3158944838,493212.7653495649,334666.1975609315,9.18290901184082
Apartment Block_AB_2_2000to2010,Apartment Block,2005,91678.4065420109,3.0,852774.5309941018,275035.2196260327,209954.83093755413,9.301803588867186
Apartment Block_AB_3_2000to2010,Apartment Block,2005,37849.28386634972,4.0,488645.65524044645,151397.13546539887,100406.32910823122,12.910301208496094
Apartment Block_AB_0_Post2010,Apartment Block,2020,143211.48750247908,3.0,1178948.2153001407,429634.4625074373,433287.81816999806,8.232218210007296
Apartment Block_AB_1_Post2010,Apartment Block,2020,170376.17014718885,3.0,1555940.6893093386,511128.5104415666,334712.5493585921,9.132384464125197
Apartment Block_AB_2_Post2010,Apartment Block,2020,90767.77731524257,3.0,846105.8486487317,272303.3319457277,200868.32131704275,9.321654376422037
Apartment Block_AB_3_Post2010,Apartment Block,2020,40377.569398081345,4.0,517324.9173417288,161510.27759232538,101505.95666572187,12.812185702448721
SFH_0_Before1945_1900,Single family- Terraced houses,1900,18190217.03095016,1.0,49158295.22138881,18190217.03095016,16972540.889840443,2.7024578726986768
