Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,DEE01,1000,3761758.5324539533,1083.69,12.223066899872187,51.811184749900164
Apartment Block,DEE02,1000,11618192.379761606,1095.36,11.97963439475768,51.46297332157384
Apartment Block,DEE02,1100,1315.2855148762465,1100.02,12.047976518358784,51.477817775913785
Apartment Block,DEE03,1000,12238828.326814458,1087.805,11.627919517247017,52.09680932156495
Apartment Block,DEE04,1000,2474881.333394062,1058.14,11.15360325391305,52.845340072685296
Apartment Block,DEE05,1000,7045490.59355613,1091.72,12.320946678490802,51.6174572704354
Apartment Block,DEE05,1100,504306.7790980572,1103.76,12.216629498686341,51.55757389121903
Apartment Block,DEE06,1000,2432005.8036821783,1077.83,11.85880101792556,52.266353600805296
Apartment Block,DEE07,1000,4192446.712290944,1085.36,11.620000735588736,52.1973134727686
Apartment Block,DEE08,1000,224814.67747193872,1098.15,11.574640005392272,51.287478183939925
Apartment Block,DEE08,1100,4883231.417123461,1105.22,11.824884175550192,51.1519622963115
Apartment Block,DEE09,1000,11382368.951684035,1082.01,11.239725137295007,51.720175703425305
Apartment Block,DEE0A,1000,3621381.3337471485,1095.78,11.470561136816242,51.54365607702903
Apartment Block,DEE0A,1100,1049197.36902575,1100.46,11.542134124210751,51.52329989346351
Apartment Block,DEE0B,1000,158651.03194042336,1098.86,12.029210592707857,51.40670397787612
Apartment Block,DEE0B,1100,2818131.544912022,1101.79,11.996319599987594,51.34353774997546
Apartment Block,DEE0C,1000,10657541.818426635,1094.64,11.744348172427818,51.77642235125272
Apartment Block,DEE0D,1000,3676021.5356770186,1071.88,11.864698461331534,52.5997145995913
Apartment Block,DEE0E,1000,3169003.971060021,1086.13,12.655316404462287,51.87579514878853
Apartment Block,DEE0E,1100,42552.35751005099,1100.42,12.809467810387886,51.7145559914609
Education,DEE01,1000,240388.74215546134,1084.06,12.232177829661705,51.840418906129536
Education,DEE02,1000,1182809.0263334613,1094.45,11.970704667015445,51.48910408194452
Education,DEE02,1100,4182.454872451723,1100.17,12.048983382585535,51.4797680608294
Education,DEE03,1000,896406.3623538681,1086.24,11.62838769531525,52.1184075791215
Education,DEE04,1000,91111.79252848215,1059.375,11.10853260956193,52.78367136267213
Education,DEE05,1000,184285.5878201283,1092.46,12.273487012679443,51.66127598288345
Education,DEE05,1100,9272.264961799607,1103.3,12.118894696173117,51.626580177411164
Education,DEE06,1000,138182.21777445977,1077.89,11.845981500696434,52.269891767638136
Education,DEE07,1000,180951.98377918277,1085.88,11.223202262949112,52.024860326492885
Education,DEE08,1000,4761.117362197489,1097.16,11.773326078433389,51.181013966194115
Education,DEE08,1100,210165.0207184197,1106.1,11.925749281448933,51.18222053633925
Education,DEE09,1000,247439.41676044394,1078.58,10.95358495147851,51.80057468165034
Education,DEE0A,1000,52741.47930540051,1088.02,11.28681347794446,51.465169389164885
Education,DEE0A,1100,9299.181333505549,1106.35,11.669614857213064,51.463626014909536
Education,DEE0B,1000,16859.670587269356,1098.65,12.032089410107025,51.40858413834439
