Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1792184.712423187,3.0,15421381.160490412,5376554.137269561,5209951.941122082,8.6047945022583
Apartment Block_AB_1_Before1945,Apartment Block,1900,2220026.0327482317,3.0,22785313.879905332,6660078.098244695,4992724.070927379,10.263534545898438
Apartment Block_AB_2_Before1945,Apartment Block,1900,781642.0919637788,4.0,8450172.80045346,3126568.3678551153,1762998.0867385545,10.810795487258687
Apartment Block_AB_3_Before1945,Apartment Block,1900,476175.9832885852,6.0,8458813.752148831,2857055.8997315113,1533077.917289088,17.764049530029297
Apartment Block_AB_0_1945to1969,Apartment Block,1955,3103790.46081382,3.0,26707479.093372516,9311371.38244146,9022841.79976579,8.6047945022583
Apartment Block_AB_1_1945to1969,Apartment Block,1955,3686168.3464365774,3.0,38143354.32257889,11058505.039309733,7688888.840089307,10.347697320837804
Apartment Block_AB_2_1945to1969,Apartment Block,1955,1331543.979247071,4.0,14305753.531484002,5326175.916988284,2948764.872876626,10.743733406066895
Apartment Block_AB_3_1945to1969,Apartment Block,1955,807941.7331960133,6.0,14324447.347190876,4847650.39917608,2610667.945231866,17.72955494021454
Apartment Block_AB_0_1970to1979,Apartment Block,1975,306360.75779655227,3.0,2573273.062031874,919082.2733896568,866736.7806206375,8.399486541748047
Apartment Block_AB_1_1970to1979,Apartment Block,1975,344775.38867142383,3.0,3355720.819377872,1034326.1660142716,713413.260186605,9.733063697814941
Apartment Block_AB_2_1970to1979,Apartment Block,1975,141912.07198223288,3.0,1402513.9476812044,425736.2159466986,307398.15342279273,9.882978439331056
Apartment Block_AB_3_1970to1979,Apartment Block,1975,44778.704435159714,6.0,755105.1981598829,268672.2266109583,139241.21589242938,16.86304254856876
Apartment Block_AB_0_1980to1989,Apartment Block,1985,236658.07581521096,3.0,1987806.3228058533,709974.2274456329,669538.2927475546,8.399486541748047
Apartment Block_AB_1_1980to1989,Apartment Block,1985,266332.6747794684,3.0,2592232.8884379966,798998.0243384052,551098.6806245536,9.733063697814941
Apartment Block_AB_2_1980to1989,Apartment Block,1985,109624.47714197064,3.0,1083416.344017036,328873.4314259119,237459.44494137116,9.882978439331056
Apartment Block_AB_3_1980to1989,Apartment Block,1985,34590.72926095958,6.0,583304.9393135839,207544.37556575748,107561.28971699375,16.86304254856876
Apartment Block_AB_0_1990to2000,Apartment Block,1995,536324.6004849705,3.0,4469154.516279612,1608973.8014549115,1491762.0126882538,8.332928439676992
Apartment Block_AB_1_1990to2000,Apartment Block,1995,238483.07720908304,3.0,2270758.380385329,715449.2316272492,546154.880483424,9.521675109863281
Apartment Block_AB_2_1990to2000,Apartment Block,1995,609487.682922237,3.0,5911715.227235996,1828463.0487667108,1222507.318668655,9.69948268501803
Apartment Block_AB_3_1990to2000,Apartment Block,1995,58249.00725555235,5.0,904840.2617318878,291245.03627776174,223385.52562908086,15.53400314209883
Apartment Block_AB_0_2000to2010,Apartment Block,2005,320398.55281392595,3.0,2655807.1517674876,961195.6584417779,956111.087581741,8.289073494379574
Apartment Block_AB_1_2000to2010,Apartment Block,2005,156484.17281745726,3.0,1428689.1738764,469452.5184523718,355241.65003238426,9.129927635192871
Apartment Block_AB_2_2000to2010,Apartment Block,2005,404191.2408358369,3.0,3739541.5467523057,1212573.7225075108,740774.2289281491,9.25191139476258
Apartment Block_AB_3_2000to2010,Apartment Block,2005,53837.903972195214,5.0,752576.9277687313,269189.5198609761,191418.5669952691,13.978570342511894
Apartment Block_AB_0_Post2010,Apartment Block,2020,241506.48575618098,3.0,2006166.3170091182,724519.457268543,722045.5134604215,8.306883811950684
Apartment Block_AB_1_Post2010,Apartment Block,2020,346412.7540447843,3.0,3133664.4756506938,1039238.2621343528,676693.1003329427,9.046042442321777
Apartment Block_AB_2_Post2010,Apartment Block,2020,110973.01836811687,3.0,1013175.6271598364,332919.0551043506,251924.76302476256,9.129927635192871
Apartment Block_AB_3_Post2010,Apartment Block,2020,58963.528506003335,4.0,785130.6057534724,235854.11402401334,212142.11987757002,13.31552954252958
SFH_0_Before1945_1900,Single family- Terraced houses,1900,15277083.404609382,1.0,42661811.320812784,15277083.404609382,13717960.773107525,2.792536388715461
SFH_1_Before1945_1900,Single family- Terraced houses,1900,7360009.173171085,2.0,46086005.620593555,14720018.34634217,14663019.457404291,6.2616777420043945
SFH_2_Before1945_1900,Single family- Terraced houses,1900,1940894.1739938078,2.0,12733587.270720689,3881788.3479876155,3533028.2472272157,6.560680866241455
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,27004723.287794016,1.0,75411672.44835661,27004723.287794016,24248721.103323296,2.792536388715461
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,12498906.487690032,2.0,78264124.553363,24997812.975380063,24901016.386411976,6.2616777420043945
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,3298730.4454345875,2.0,21641917.71625085,6597460.890869175,6004710.612185081,6.560680866241455
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,9962105.273302192,1.0,26909445.25840987,9962105.273302192,8367507.071884929,2.7011805758091585
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,686618.6637512016,2.0,3996205.8662739205,1373237.3275024032,1122824.9209746404,5.82012414932251
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,2921655.858784588,2.0,17120136.09466443,5843311.717569176,5487136.178076995,5.859737396240234
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,7695543.913668944,1.0,20787053.739888944,7695543.913668944,6463746.00077694,2.7011805758091585
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,530400.3454975113,2.0,3086995.8596390686,1060800.6909950227,867361.6920992455,5.82012414932251
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,2256925.6542750974,2.0,13224991.656889746,4513851.308550195,4238712.226002812,5.859737396240234
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,11350372.149648378,1.0,31193064.99615558,11350372.149648378,10288302.99408407,2.748197555541992
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,4323099.269027637,2.0,25580948.78923645,8646198.538055275,8510742.645994686,5.9172707350276
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,1163524.3099176139,2.0,7059918.014085849,2327048.6198352277,2100197.9223228083,6.06770133972168
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,16556112.770684835,1.0,44502850.264037944,16556112.770684835,13163316.716931712,2.6880011558532715
