Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,DEG01,1000,6834693.069240913,1096.86,11.01748311468822,50.96711711632256
Apartment Block,DEG01,1100,643367.1578559291,1102.6,10.996580226177672,51.0136872547724
Apartment Block,DEG02,1000,4868681.817086051,1096.81,12.089055964343027,50.86617677622619
Apartment Block,DEG02,1100,41926.20543286894,1100.38,12.09703536743861,50.90156802099052
Apartment Block,DEG03,1000,2543560.1464067074,1087.66,11.57846663902463,50.91875229134517
Apartment Block,DEG05,1000,966547.3895659652,1098.97,11.327603564698485,50.98161038812152
Apartment Block,DEG05,1100,80392.81573765376,1102.28,11.335758754879768,51.011833522771255
Apartment Block,DEG06,1000,2642195.333432786,1076.59,10.396136550070517,51.4106418653465
Apartment Block,DEG07,1000,2881010.068100529,1083.04,10.805864971623848,51.49804352399851
Apartment Block,DEG09,1000,3509488.4683011137,1092.08,10.446720300869023,51.20151112795178
Apartment Block,DEG09,1100,1980377.2471047563,1103.8,10.65055243007424,51.10891814375088
Apartment Block,DEG0A,1000,1402408.8177263835,1089.51,11.10109154999715,51.35193449998937
Apartment Block,DEG0A,1100,224387.34720667516,1105.58,10.833511756535222,51.24790232077501
Apartment Block,DEG0C,1000,1168121.7397165718,1088.86,10.780270823325727,50.809510627791234
Apartment Block,DEG0C,1100,3422122.0898674377,1101.57,10.713696569522183,50.92975979089812
Apartment Block,DEG0D,1000,723659.4128158404,1098.3,11.280698708052554,51.15935850403361
Apartment Block,DEG0D,1100,1186674.7372897172,1102.53,11.068852030410724,51.20088879493261
Apartment Block,DEG0E,1000,844316.3325580882,1087.81,10.906417096580302,50.42725542685185
Apartment Block,DEG0E,1100,165673.69415628863,1108.525,10.683921633999729,50.3523026405212
Apartment Block,DEG0G,1000,131068.6509708642,1082.96,11.341976034493197,50.85931514121296
Apartment Block,DEG0G,1100,611542.2217035319,1102.85,11.512789340125247,51.02400745190606
Apartment Block,DEG0J,1000,940737.8069972511,1084.79,11.859347000003615,50.89446189999462
Apartment Block,DEG0J,1100,177969.25831055827,1100.19,11.904324541068695,50.96880147152952
Apartment Block,DEG0K,1000,1243350.2774015693,1080.37,11.743482165875108,50.73532904251212
Apartment Block,DEG0L,1000,2108815.453376405,1096.1,11.997516750016155,50.654364199984634
Apartment Block,DEG0L,1100,301414.1999777181,1106.61,12.185484193360873,50.862747298858615
Apartment Block,DEG0M,1000,10724.454000238096,1098.65,12.464092281139983,51.04830840932956
Apartment Block,DEG0M,1100,2624054.5447232444,1104.65,12.449062309812518,50.98159346049799
Apartment Block,DEG0Q,1000,3713086.9978705705,1061.29,10.453055014579512,50.72307612996388
Apartment Block,DEG0Q,1100,39857.73818473786,1111.26,10.413969641261616,50.41115272702846
Apartment Block,DEG0R,1000,3653056.4260716424,1074.22,10.322242336237599,50.97863492517356
Apartment Block,DEG0S,1000,1813550.9447327992,1054.51,10.701035199999367,50.61036354998476
Apartment Block,DEG0T,1000,1568933.909219307,1090.18,10.957449595473474,50.83090004981899
Apartment Block,DEG0U,1000,433811.64878685056,1077.08,11.097113785969396,50.66014681752575
Apartment Block,DEG0V,1000,315714.57463703596,1076.815,11.169410364688959,50.370240337946804
Education,DEG01,1000,394042.0814252766,1096.8,11.029147475131648,50.97611170210157
Education,DEG01,1100,175024.45770141738,1100.695,10.99487642288761,50.97380031096141
Education,DEG02,1000,303251.0555150579,1097.115,12.059572935709829,50.84785385809788
Education,DEG02,1100,4607.179765354842,1100.37,12.110643002481979,50.87775313107587
Education,DEG03,1000,654598.0846262766,1087.84,11.593345120035732,50.94448113800323
