Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,DK011,1000,52213265.73162744,1028.31,12.62236088099512,55.6569432976225
Apartment Block,DK012,1000,16038191.303201504,1019.46,12.511579455749173,55.729772075955786
Apartment Block,DK013,1000,3707218.58738246,1018.34,12.49857247470139,55.87967469762626
Apartment Block,DK014,1000,5849.489023458911,1099.91,14.704310928906928,55.18475298580814
Apartment Block,DK014,1100,181721.80092122743,1106.09,14.699471726606852,55.10171596740352
Education,DK011,1000,2943830.5882715657,1027.9751,12.570450517534452,55.68603549833509
Education,DK012,1000,2057930.0310366903,1016.54,12.526997771336644,55.789881242654886
Education,DK013,1000,1000862.4275633504,1019.36,12.33886625476634,55.76033487936071
Education,DK014,1000,8398.83745180606,1093.71,14.79240057576528,55.28415133474776
Education,DK014,1100,46237.70834017242,1105.81,14.922836356090176,55.06862642108924
Health,DK011,1000,692331.4702082612,1025.67,12.565233650757293,55.6957600497966
Health,DK012,1000,670952.2253369405,1023.795,12.390775762221551,55.672277973531024
Health,DK013,1000,105010.74330582935,1017.84,12.5686568213895,56.01916261634721
Health,DK014,1100,40843.07058100775,1107.17,14.707010672126682,55.09196076571907
Hotels and Restaurants,DK011,1000,2126926.7388383634,1031.385,12.492176009023376,55.6507291351018
Hotels and Restaurants,DK012,1000,3136583.845594711,1022.255,12.442649899995995,55.69068914998689
Hotels and Restaurants,DK013,1000,2897188.6020156736,1035.26,11.942563602496204,55.81373972659972
Hotels and Restaurants,DK014,1000,18628.704831514275,1095.3,14.744473365883907,55.24689641537503
Hotels and Restaurants,DK014,1100,55621.52996072197,1106.69,15.11502882768596,55.021108371249866
Industrial,DK011,1000,3401728.313642573,1030.32,12.591722299640406,55.66535064971529
Industrial,DK012,1000,18685591.35880015,1025.25,12.461143249971776,55.68306629999204
Industrial,DK013,1000,6763014.257132847,1027.225,12.272938886986228,55.93093046956192
Industrial,DK014,1000,95611.40873361564,1098.19,15.134204486621744,55.06973269779215
Industrial,DK014,1100,395335.8448700472,1106.15,14.695213633754989,55.09130055413258
Offices,DK011,1000,4184603.090247853,1029.55,12.58729045300362,55.67329776184468
Offices,DK012,1000,1648557.46600477,1017.49,12.382295868028365,55.72254660109635
Offices,DK013,1000,414761.0500342292,1017.59,12.496690362479814,55.86925455451476
Offices,DK014,1000,5372.454096578993,1098.25,15.13552317423243,55.06639897573472
Offices,DK014,1100,27378.30107290065,1105.59,14.695357074731604,55.10067698411076
Other non-residential buildings,DK011,1000,4227100.043424243,1033.36,12.50202569596348,55.64247695854572
Other non-residential buildings,DK012,1000,2448903.041062069,1021.405,12.336647473586204,55.73607886070838
Other non-residential buildings,DK013,1000,1864262.3654251928,1028.84,12.233141063628011,55.755810129197286
Other non-residential buildings,DK014,1000,232733.88845950735,1095.67,15.08179922046392,55.123721546003935
Other non-residential buildings,DK014,1100,577359.7874233394,1108.14,14.96967709453339,55.0497692796942
Single family- Terraced houses,DK011,1000,10345377.018088393,1035.475,12.526893101468293,55.640570169579306
Single family- Terraced houses,DK012,1000,32514972.57200039,1020.41,12.40163962101058,55.69690008788943
Single family- Terraced houses,DK013,1000,45125734.41552141,1028.05,12.052648350030188,55.747936499990345
Single family- Terraced houses,DK014,1000,2089540.694619436,1094.46,15.14481828853094,55.10163926128493
Single family- Terraced houses,DK014,1100,4728820.07888093,1107.33,14.9930191322806,55.00960415139888
Sport,DK011,1000,587834.9766223647,1025.285,12.57620315875804,55.698127387879474
Sport,DK012,1000,242172.56395109487,1017.89,12.527687200847044,55.7564871123751
Sport,DK013,1000,237033.7884681672,1016.06,12.3543966719868,55.86709492997628
Sport,DK014,1000,2567.958783213049,1090.285,15.148720392561566,55.12991029858822
Trade,DK011,1000,3697360.4108216576,1030.24,12.516353588196218,55.66636510763578
Trade,DK012,1000,3388918.9041668405,1029.16,12.37166863552832,55.62625734306934
Trade,DK013,1000,1887117.319046263,1023.46,12.29084818162276,55.92306109936114
Trade,DK014,1000,37692.12272173446,1093.88,14.800809000725062,55.27883596711255
Trade,DK014,1100,97643.77972775162,1106.62,15.11399865821088,55.02431691815159
