Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,309062.0654625615,3.0,2646919.532731942,927186.1963876846,1158937.3353282404,8.564362400058375
Apartment Block_AB_1_Before1945,Apartment Block,1900,507954.12804688653,3.0,4542986.34554292,1523862.3841406596,933529.8094008015,8.943694114685059
Apartment Block_AB_2_Before1945,Apartment Block,1900,148361.98488517012,5.0,2079615.580666311,741809.9244258506,435794.5273390104,14.017172810648908
Apartment Block_AB_3_Before1945,Apartment Block,1900,102484.3942780839,5.0,1567409.0830111587,512421.9713904195,334081.35380147456,15.29412447672871
Apartment Block_AB_0_1945to1969,Apartment Block,1955,305278.9612153004,3.0,2614519.656961198,915836.8836459013,1144751.2502484433,8.564362400058375
Apartment Block_AB_1_1945to1969,Apartment Block,1955,501736.4661790287,3.0,4487377.479688258,1505209.398537086,922102.8470474527,8.943694114685059
Apartment Block_AB_2_1945to1969,Apartment Block,1955,146545.9455912143,5.0,2054159.8440520032,732729.7279560714,430460.1420761608,14.017172810648908
Apartment Block_AB_3_1945to1969,Apartment Block,1955,101229.92409038512,5.0,1548223.0598081483,506149.62045192556,329991.99852390116,15.29412447672871
Apartment Block_AB_0_1970to1979,Apartment Block,1975,61940.401530943585,3.0,532818.4319794226,185821.20459283076,234976.1893740105,8.602114594191681
Apartment Block_AB_1_1970to1979,Apartment Block,1975,102911.77234027434,3.0,925811.3127753251,308735.317020823,219782.49863191886,8.99616527557373
Apartment Block_AB_2_1970to1979,Apartment Block,1975,28778.001924396423,5.0,407113.1668410208,143890.0096219821,87510.16383015386,14.146679394579248
Apartment Block_AB_3_1970to1979,Apartment Block,1975,22934.464298451287,5.0,347633.08537188685,114672.32149225644,78633.53764837787,15.157671914550093
Apartment Block_AB_0_1980to1989,Apartment Block,1985,94104.34839177482,3.0,808338.9565339058,282313.0451753245,257537.69179029122,8.589815139770508
Apartment Block_AB_1_1980to1989,Apartment Block,1985,29628.391517542404,4.0,372994.49765922315,118513.56607016962,90157.47015665333,12.589090347290039
Apartment Block_AB_2_1980to1989,Apartment Block,1985,12088.325564432134,5.0,165388.60905195525,60441.62782216067,42646.10496193966,13.681680574403408
Apartment Block_AB_3_1980to1989,Apartment Block,1985,5971.665493756326,6.0,110433.21285491544,35829.99296253796,25766.746616260927,18.49286651611328
Apartment Block_AB_0_1990to2000,Apartment Block,1995,36562.63874002078,3.0,301270.2768825303,109687.91622006235,133474.28024806228,8.239839553833008
Apartment Block_AB_1_1990to2000,Apartment Block,1995,74686.56575223485,3.0,654710.8888294225,224059.69725670453,135971.12966548087,8.76611318562109
Apartment Block_AB_2_1990to2000,Apartment Block,1995,2355.8833576953034,4.0,31659.58775873399,9423.533430781214,9129.012620163858,13.438520907803222
Apartment Block_AB_3_1990to2000,Apartment Block,1995,8984.513668651583,5.0,122686.44480571127,44922.56834325792,23401.418031518075,13.65532396414333
Apartment Block_AB_0_2000to2010,Apartment Block,2005,25052.656963495134,3.0,210811.34593476096,75157.9708904854,76906.87391036299,8.414730072021484
Apartment Block_AB_1_2000to2010,Apartment Block,2005,4737.803754264952,3.0,40577.33073389712,14213.411262794856,26012.990064752776,8.564586639404297
Apartment Block_AB_2_2000to2010,Apartment Block,2005,32293.696714962774,3.0,282377.56454859854,96881.09014488832,49345.05954135188,8.744045844022661
Apartment Block_AB_3_2000to2010,Apartment Block,2005,3267.9821538000906,5.0,44616.34809360063,16339.910769000453,10127.124458286708,13.652567851914258
Apartment Block_AB_0_Post2010,Apartment Block,2020,18578.157619808644,3.0,152690.43428399166,55734.47285942593,66614.94937553379,8.21881466444165
Apartment Block_AB_1_Post2010,Apartment Block,2020,27329.488053575576,3.0,226387.27301331912,81988.46416072673,43688.33971615925,8.283626556396484
Apartment Block_AB_2_Post2010,Apartment Block,2020,11923.880147425283,4.0,132073.29036662896,47695.52058970113,38381.78293589598,11.076368491941565
Apartment Block_AB_3_Post2010,Apartment Block,2020,750.2757105573356,4.0,8562.306652092897,3001.1028422293425,1583.4270589544374,11.412213579102092
SFH_0_Before1945_1900,Single family- Terraced houses,1900,7681430.465772016,1.0,19532714.606304675,7681430.465772016,7478384.530463019,2.542848587036133
SFH_1_Before1945_1900,Single family- Terraced houses,1900,7847133.839087645,1.0,22769865.793142777,7847133.839087645,5800629.356770419,2.9016792959134925
SFH_2_Before1945_1900,Single family- Terraced houses,1900,3850533.928287208,2.0,23474396.045111828,7701067.856574416,8045994.31301857,6.096400260925293
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,7587405.1696664905,1.0,19293622.514957085,7587405.1696664905,7386844.637860854,2.542848587036133
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,7751080.2347378265,1.0,22491149.038103044,7751080.2347378265,5729626.189417796,2.9016792959134925
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,3803401.093539196,2.0,23187055.419055898,7606802.187078392,7947506.537712137,6.096400260925293
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,5405649.451277999,1.0,13812762.408471731,5405649.451277999,5180993.012426453,2.5552456800923578
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,3869718.999967554,1.0,12036985.520761177,3869718.999967554,3396523.78796432,3.110558032989502
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,1003046.3861315295,2.0,5950132.388602838,2006092.772263059,2000053.7107783745,5.932061040118834
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,4512532.136150935,1.0,11876564.854752688,4512532.136150935,3862894.0803953544,2.6319069862365723
