Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,EE001,900,507111.42791400733,999.29,24.704668837562373,59.380721451385185
Apartment Block,EE001,1000,13500327.284397423,1001.92,24.633468843301056,59.38175591514544
Apartment Block,EE004,900,7510.778412267566,980.415,25.026848324757662,58.65727475250483
Apartment Block,EE004,1000,764747.3361006287,1021.42,24.498800093138545,58.37911215100376
Apartment Block,EE008,900,1313612.038221741,993.52,26.7240683091311,58.37514702003904
Apartment Block,EE009,900,414807.3929030837,987.86,26.367415886041233,59.346086842617666
Apartment Block,EE00A,900,1743286.241417836,989.76,28.185209331018964,59.37677894068694
Education,EE001,900,158027.5783072611,997.08,24.74248804829412,59.3754742480325
Education,EE001,1000,1489350.9878061293,1001.92,24.800109485038735,59.422689412905385
Education,EE004,900,13799.543061266653,991.62,24.952216485867787,58.15079399768314
Education,EE004,1000,214470.62461730605,1022.735,24.543500187418392,58.3698602124018
Education,EE008,900,633248.3994231897,992.8,26.696716518433497,58.38798890325199
Education,EE008,1000,2456.910169955343,1002.05505,26.216353587733483,58.240169405653795
Education,EE009,900,148381.77588626556,980.02,24.813779027493972,58.9973124745291
Education,EE00A,900,267596.4744095908,989.905,28.196776352921116,59.38123927235243
Health,EE001,900,41955.61757935723,999.375,24.68069598879555,59.371297148768086
Health,EE001,1000,264201.01113028545,1001.56,24.650499973952638,59.419223955698655
Health,EE004,1000,18044.56231007725,1036.91,23.542216218970697,58.94558700508767
Health,EE008,900,118035.25873639341,991.27,25.584565114628305,58.38829403428884
Health,EE009,900,18444.58450936526,976.44,25.559907603757207,58.88722805456755
Health,EE00A,900,18177.013325616717,989.43506,28.19576132540189,59.38378117748735
Hotels and Restaurants,EE001,900,57218.494794521015,995.7,24.686957883923878,59.34019564965645
Hotels and Restaurants,EE001,1000,502384.5638750066,1001.92,24.948126508509798,59.40183035956264
Hotels and Restaurants,EE004,1000,54309.71368606342,1021.96,24.501579704097978,58.37552723453811
Hotels and Restaurants,EE008,900,124679.69622452324,993.9,26.76649573288967,58.382388429559086
Hotels and Restaurants,EE009,900,21718.814834348857,980.69,24.784677920336676,58.99661082808796
Hotels and Restaurants,EE00A,900,3197.1239593420178,991.025,28.026681490944128,59.45204635891108
Industrial,EE001,900,3234196.553352515,997.17,24.713853791478314,59.36309529834417
Industrial,EE001,1000,11693718.088525433,1002.54,24.829772615569507,59.42325142620389
Industrial,EE004,900,213620.40991327446,995.09,24.82017797710277,58.519593809108535
Industrial,EE004,1000,2368009.0917215776,1021.72,24.538978931410117,58.37861105596374
Industrial,EE008,900,5626977.959468307,990.98,25.649873915772385,58.33453226889974
Industrial,EE008,1000,60679.28581035696,1001.92,26.213418033204896,58.23672824418766
Industrial,EE009,900,2767524.036156882,980.39,26.008033500125347,58.95766049993034
Industrial,EE00A,900,4398620.297611801,988.06,27.041277562424888,59.35633202160689
Offices,EE001,900,108702.68323555775,997.4,25.00409323444505,59.48971891437483
Offices,EE001,1000,1845731.754165677,1001.92,24.69639061833686,59.420817796586284
Offices,EE004,900,487.708722345531,990.98,24.071964022898328,58.9981620941089
Offices,EE004,1000,46761.27136575623,1030.03,24.578815729495474,58.27716553860829
Offices,EE008,900,245478.24378124642,991.34,26.467672349597827,58.26508868313884
Offices,EE008,1000,1412.5334670320153,1002.08496,26.219797368661045,58.23629776173996
Offices,EE009,900,46574.67648348061,981.48,25.768451345201537,58.73173459395466
Offices,EE00A,900,54570.669826734345,990.27,27.40838111131646,59.360181234097055
Other non-residential buildings,EE001,900,942005.2224487893,993.025,24.109479044231335,59.12972427854211
Other non-residential buildings,EE001,1000,5070495.004174404,1002.69,24.83750709862974,59.41822671054064
Other non-residential buildings,EE004,900,164926.85227592895,987.83997,24.626807772640042,58.62741990219589
Other non-residential buildings,EE004,1000,665126.8388681621,1032.04,23.74267039997909,58.65987594994979
Other non-residential buildings,EE008,900,2284872.3660407793,988.26,25.981501640566176,58.22139309379754
Other non-residential buildings,EE008,1000,32214.435561752878,1001.92,26.260230549989192,58.22070549999618
Other non-residential buildings,EE009,900,1629701.0895594172,979.85,25.83550950002539,58.733756999962836
Other non-residential buildings,EE009,1000,283.29794880747795,1001.2,24.165527298175174,58.73262568402789
Other non-residential buildings,EE00A,900,1076130.4362946742,989.55,27.40756459831594,59.348274048429474
Single family- Terraced houses,EE001,900,9232388.537419613,991.33,25.6914087149516,59.516956844771464
Single family- Terraced houses,EE001,1000,14117085.996552179,1003.58,25.684831822727027,59.63573953891273
Single family- Terraced houses,EE004,900,2427479.0207127994,991.66,24.973380441254182,58.14457496786468
Single family- Terraced houses,EE004,1000,16683756.122412145,1031.05,24.28861742352213,58.32576695060221
Single family- Terraced houses,EE008,900,35950045.55757259,988.24,26.520435498072164,57.820710897784586
Single family- Terraced houses,EE008,1000,288062.3294908961,1001.8,26.297257717594263,58.23330358098346
Single family- Terraced houses,EE009,900,17876592.082332585,980.3,26.913089251128127,59.413463059343044
Single family- Terraced houses,EE009,1000,25887.88700944651,1000.49,24.240942633681648,58.725719299577584
Single family- Terraced houses,EE00A,900,6810344.547768204,989.15,27.426513758397693,59.00809621464942
Sport,EE001,900,5110.6216352696065,992.29,24.674672916635338,59.30434845594707
Sport,EE001,1000,288972.03031065874,1001.63,24.7635670350372,59.42579799283149
Sport,EE004,1000,3703.8337063901126,1021.64,24.51724747703547,58.39085755441622
Sport,EE008,900,58203.33981473185,989.505,25.606348843279285,58.361525409744495
Sport,EE009,900,23442.254812504398,983.495,26.359133680553335,59.250787918024464
Sport,EE00A,900,20863.31540261209,989.24,28.18329874616192,59.3644489798686
Trade,EE001,900,537285.9400545964,996.86,25.021580899989694,59.482581749980106
Trade,EE001,1000,6257197.942310726,1001.92,24.687641233101886,59.42034695194282
Trade,EE004,900,10232.6766290362,991.7,24.057073390945686,58.99825603843079
Trade,EE004,1000,1087936.1871874402,1032.22,24.25551096415983,58.32444026767409
Trade,EE008,900,1782897.169607291,993.16,26.537141499715005,58.27726409987607
Trade,EE008,1000,451.95063864067197,1001.98,26.221724850008105,58.240020627828166
Trade,EE009,900,507864.8401100221,978.2,25.747914500014225,58.89936999998008
Trade,EE00A,900,708786.7195814394,990.235,27.418212149374767,59.35742039531387
