Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,EL411,1600,95706.76243598456,1676.845,25.06384909995227,39.876322499929
Apartment Block,EL411,1700,1181419.9906287063,1737.12,26.549812093211862,39.10197119462029
Apartment Block,EL412,1700,33741.60786760226,1789.12,26.70468678238497,37.79130042231808
Apartment Block,EL412,1800,32513.855353686027,1809.76,26.98071647004647,37.75426735831904
Apartment Block,EL413,1700,608419.6205099632,1754.33,26.138461661853817,38.36596154154092
Education,EL411,1600,11138.065368691923,1677.36,25.066760800018432,39.88449809998856
Education,EL411,1700,64449.34472749429,1733.26,26.553418499937987,39.11314079996226
Education,EL412,1700,22154.874142521992,1790.86,26.7066478779929,37.79489893062148
Education,EL412,1800,13501.797898892311,1810.52,26.97892161939035,37.75246278552697
Education,EL413,1700,13483.760631199926,1754.46,26.14025919619303,38.36561276433283
Health,EL411,1600,6035.950528283138,1677.64,25.0656972196816,39.8751759831818
Health,EL411,1700,36452.55428221077,1736.685,26.54895021180233,39.09152794114552
Health,EL412,1800,3699.83194565028,1806.37,26.969648246331573,37.76186515911152
Hotels and Restaurants,EL411,1600,23442.04609733121,1677.01,25.064700403744197,39.877470189463104
Hotels and Restaurants,EL411,1700,68588.09656337742,1732.3401,26.568821610061136,39.08662079833966
Hotels and Restaurants,EL412,1700,6632.267750656698,1777.37,26.88838981558254,37.77843289087651
Hotels and Restaurants,EL412,1800,6820.237757753581,1803.715,26.92825669999693,37.689805849994784
Hotels and Restaurants,EL413,1600,151.90270775184035,1687.2,26.01153744054227,38.566657766170366
Hotels and Restaurants,EL413,1700,2263.699002187699,1763.285,26.15146695598496,38.32141413836061
Industrial,EL411,1600,2942.40387588786,1677.64,24.986763371192005,39.5348942179002
Industrial,EL411,1700,61496.26916408446,1725.44,26.528534795636915,39.14152908262241
Industrial,EL412,1700,16876.311681644525,1795.04,26.71658166016392,37.80139653245981
Industrial,EL412,1800,110.01775149814785,1816.66,26.47796421558504,37.57975334947317
Industrial,EL413,1700,1061.5702257789671,1763.44,26.14404534999563,38.3312199999622
Offices,EL411,1600,5142.722893123981,1673.66,25.23369170011014,39.92370845254803
Offices,EL411,1700,4818.4491614436265,1725.55,26.53920167840517,39.136050366273146
Offices,EL412,1700,1624.3705513905734,1752.655,26.290916336118634,37.61138037098142
Offices,EL412,1800,8003.053866060451,1804.18,26.94032794653762,37.69119282880487
Offices,EL413,1700,1614.136004447937,1759.61,26.142436246491584,38.34522084709073
Other non-residential buildings,EL411,1600,93289.43034919236,1676.56,25.062701149995505,39.88249304999236
Other non-residential buildings,EL411,1700,215078.6649571797,1726.64,26.53938185014588,39.13347019994817
Other non-residential buildings,EL412,1600,980.7554269921966,1670.0701,26.245394943607067,37.59158317609372
Other non-residential buildings,EL412,1700,63879.83073636424,1791.05,26.863185579117552,37.70474721660328
Other non-residential buildings,EL412,1800,13504.39154089801,1804.17,26.82536672649676,37.70397737531705
Other non-residential buildings,EL413,1700,74292.08496428747,1763.3,26.12532263861368,38.3391894567142
Other non-residential buildings,EL413,1800,3315.969249211252,1808.62,25.998205920987445,38.225674484480685
Single family- Terraced houses,EL411,1500,513.2686653286219,1590.78,26.285919336278035,39.0137035809606
Single family- Terraced houses,EL411,1600,1335062.3046386614,1677.13,25.171791799181115,39.86887306687995
Single family- Terraced houses,EL411,1700,1511208.2755222912,1724.025,26.36889324999327,39.01709984999663
Single family- Terraced houses,EL412,1600,8595.589720760006,1685.43,26.834529449998893,37.77313204996963
Single family- Terraced houses,EL412,1700,817300.9152692326,1781.18,26.745242250001127,37.80183784999556
Single family- Terraced houses,EL412,1800,600169.5014903513,1806.85,26.95172469278076,37.688986022217165
Single family- Terraced houses,EL413,1600,16745.606620164122,1676.35,26.07105259998752,38.57848109998393
Single family- Terraced houses,EL413,1700,854408.6029800591,1766.74,26.112508700006604,38.3251041499862
Single family- Terraced houses,EL413,1800,29733.4009216649,1807.77,25.923584437869987,38.25963517147376
Trade,EL411,1600,27851.26639499166,1674.405,25.068522708594077,39.92680771898458
Trade,EL411,1700,319069.9992406571,1734.31,26.39236353425877,38.968641069491774
Trade,EL412,1700,61808.19564927928,1791.69,26.706724959703077,37.79562305001855
Trade,EL412,1800,42783.839417194016,1810.72,26.978634212717957,37.75458530857184
Trade,EL413,1700,8468.149937275331,1753.98,26.13800449989181,38.3673989999793
