Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,251265.50286950034,3.0,2134306.3215014352,753796.508608501,630478.9962740511,8.494227409362793
Apartment Block_AB_1_Before1945,Apartment Block,1900,179870.27729382485,3.0,1710307.0132857389,539610.8318814746,261348.7394908618,9.50855827331543
Apartment Block_AB_2_Before1945,Apartment Block,1900,168581.46960123393,3.0,1729906.0454950656,505744.40880370175,352637.01481041947,10.261543273925781
Apartment Block_AB_3_Before1945,Apartment Block,1900,49826.077722719725,4.0,657737.3658636868,199304.3108908789,148274.05230434844,13.200665112031713
Apartment Block_AB_0_1945to1969,Apartment Block,1955,236677.80086191962,3.0,2010395.0632690266,710033.4025857588,593875.3255964204,8.494227409362793
Apartment Block_AB_1_1945to1969,Apartment Block,1955,169427.56241566665,3.0,1611011.8503351535,508282.68724699994,246175.63578895954,9.50855827331543
Apartment Block_AB_2_1945to1969,Apartment Block,1955,158794.14816451413,3.0,1629473.023036344,476382.4444935424,332163.99471753003,10.261543273925781
Apartment Block_AB_3_1945to1969,Apartment Block,1955,46933.32895408715,4.0,619551.1581157261,187733.3158163486,139665.7170344023,13.200665112031713
Apartment Block_AB_0_1970to1979,Apartment Block,1975,9655.454648038074,3.0,79468.09327460628,28966.363944114222,27696.95277113359,8.230383360637884
Apartment Block_AB_1_1970to1979,Apartment Block,1975,8416.81816432495,3.0,79922.13010636487,25250.45449297485,18592.854508305147,9.495527709641905
Apartment Block_AB_2_1970to1979,Apartment Block,1975,4970.267840618053,3.0,48847.00905359968,14910.803521854159,6867.126235895737,9.82784240607958
Apartment Block_AB_3_1970to1979,Apartment Block,1975,568.2494738062562,5.0,7858.318447803783,2841.247369031281,1660.4307783578008,13.82899379592398
Apartment Block_AB_0_1980to1989,Apartment Block,1985,17478.728940625962,3.0,145193.0203846904,52436.18682187789,44635.558722271504,8.306840896606445
Apartment Block_AB_1_1980to1989,Apartment Block,1985,5741.137123632071,3.0,55195.5937854922,17223.411370896214,8949.778218140551,9.6140525120524
Apartment Block_AB_2_1980to1989,Apartment Block,1985,11533.03183975259,3.0,120675.30246265895,34599.09551925777,25847.672907450404,10.463450039798703
Apartment Block_AB_3_1980to1989,Apartment Block,1985,470.51886320309603,5.0,6606.52322257745,2352.59431601548,1565.433800984335,14.040931701660156
Apartment Block_AB_0_1990to2000,Apartment Block,1995,39727.527397674414,3.0,337675.79926176526,119182.58219302325,86983.46200889967,8.499794006347656
Apartment Block_AB_1_1990to2000,Apartment Block,1995,13607.6313400812,3.0,137515.46413270352,40822.8940202436,21019.164446378592,10.105760561549939
Apartment Block_AB_2_1990to2000,Apartment Block,1995,11863.467465078154,4.0,127431.23986604257,47453.86986031262,32289.025307957014,10.74148348627035
Apartment Block_AB_3_1990to2000,Apartment Block,1995,1087.3074950590697,6.0,18047.34569675711,6523.844970354418,2435.485966981279,16.598198558151815
Apartment Block_AB_0_2000to2010,Apartment Block,2005,16124.255756491077,3.0,133667.91140852883,48372.76726947323,28247.661491651546,8.289865493774414
Apartment Block_AB_1_2000to2010,Apartment Block,2005,11352.463597844502,3.0,96981.16316820118,34057.39079353351,43067.17430752903,8.542741611311138
Apartment Block_AB_2_2000to2010,Apartment Block,2005,4322.2475824334015,3.0,42729.6104324273,12966.742747300204,9052.608321158159,9.885970115661621
Apartment Block_AB_3_2000to2010,Apartment Block,2005,7010.173706230763,4.0,75698.68596691561,28040.69482492305,20669.04410938724,10.7984037399292
Apartment Block_AB_0_Post2010,Apartment Block,2020,11882.997040224109,3.0,98513.25211022691,35648.991120672326,24418.1487191988,8.29026985168457
Apartment Block_AB_1_Post2010,Apartment Block,2020,11235.29041998215,3.0,93681.94425237385,33705.87125994645,42281.42904830954,8.338186264038086
Apartment Block_AB_2_Post2010,Apartment Block,2020,2250.985712656429,3.0,22426.992079591775,6752.957137969286,3557.6083538524344,9.963187217712402
Apartment Block_AB_3_Post2010,Apartment Block,2020,4635.615746062535,4.0,48923.67804443423,18542.46298425014,13649.078786692658,10.553868293762207
SFH_0_Before1945_1900,Single family- Terraced houses,1900,1504578.3594344729,1.0,3881516.2126143635,1504578.3594344729,1246335.1685691525,2.5798032972329286
SFH_1_Before1945_1900,Single family- Terraced houses,1900,78680.38613700478,2.0,477876.71459095203,157360.77227400956,99450.39468598708,6.073644755108772
SFH_2_Before1945_1900,Single family- Terraced houses,1900,208390.67915567834,2.0,1296489.7156348268,416781.3583113567,402786.5503095161,6.221438122317763
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,1417227.169144399,1.0,3656167.32388681,1417227.169144399,1173976.7833828763,2.5798032972329286
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,74112.44500023789,2.0,450132.66286398214,148224.89000047577,93676.61075764197,6.073644755108772
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,196292.15749646252,2.0,1221219.5117604944,392584.31499292504,379402.0024847065,6.221438122317763
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,306313.21122851665,1.0,782377.0897351294,306313.21122851665,246482.10551649454,2.5541735095175446
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,15487.001392640892,1.0,52870.50197451486,15487.001392640892,12950.277638571106,3.4138630606463205
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,25003.75971569018,2.0,149683.92915164446,50007.51943138036,44431.80458649108,5.986456871032715
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,572119.8023034915,1.0,1556814.4920161318,572119.8023034915,540845.2737871074,2.7211337306417698
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,26650.186390721472,1.0,89359.32470388812,26650.186390721472,19483.21978221938,3.3530468940734863
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,34512.80361784999,2.0,209551.0678070698,69025.60723569998,57769.60050681373,6.071690672463659
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,502016.0405551565,1.0,1301319.1791003847,502016.0405551565,375702.49976374075,2.5921864521725553
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,39295.87501158614,1.0,153923.31244849597,39295.87501158614,44177.69683358444,3.917034864425659
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,73742.55749577163,2.0,440248.74921498424,147485.11499154326,133862.08001466317,5.970077037811279
