Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,ES120,1100,10615.347188095096,1193.49,-7.050840638810542,43.461435653990854
Apartment Block,ES120,1200,43194334.05308547,1269.16,-5.843907246442424,43.355587923845356
Apartment Block,ES120,1300,193726.5791671488,1316.835,-6.551751569313607,43.177788924121835
Education,ES120,1100,5358.148587912321,1172.39,-6.217449920219924,43.28405170463574
Education,ES120,1200,2462405.5833007153,1267.6,-5.8554673426370245,43.35863722088449
Education,ES120,1300,6599.3769723866135,1343.615,-6.871685356482539,43.03910069659618
Health,ES120,1100,8812.742127075791,1197.18,-5.781325100116341,43.22508379978266
Health,ES120,1200,483177.06446402334,1269.12,-5.840482950331932,43.36531066712763
Health,ES120,1300,4686.249471545219,1304.88,-6.541507811383078,43.16575694467065
Hotels and Restaurants,ES120,1000,192.56744393333793,1095.93,-5.198753479576823,43.30620850732087
Hotels and Restaurants,ES120,1100,13222.644742827397,1185.45,-5.502927912818211,43.312969030390455
Hotels and Restaurants,ES120,1200,470481.77274469414,1267.4299,-5.8592004369778286,43.3723212230266
Hotels and Restaurants,ES120,1300,2755.6858339542523,1367.65,-5.415235949998603,43.06603629999634
Industrial,ES120,1000,23190.64253355749,1073.22,-4.831269999578269,43.25991484975352
Industrial,ES120,1100,300016.0543432459,1181.37,-7.054260566374424,43.45638464019437
Industrial,ES120,1200,29013438.959063854,1270.56,-5.825518419567627,43.37739290321585
Industrial,ES120,1300,36090.086930339225,1342.78,-6.768376200262408,42.92329779998439
Industrial,ES120,1400,116.60492611303926,1466.41,-6.2272032074835675,43.028114610576125
Offices,ES120,1100,3144.7836769605055,1159.9199,-5.686284294072457,43.13371061368085
Offices,ES120,1200,1217409.7289494807,1269.035,-5.851247785585655,43.35936478360914
Offices,ES120,1300,5174.385805770755,1316.405,-6.548836789071763,43.176205124543394
Other non-residential buildings,ES120,900,604.3111921902746,983.74,-4.8502869929412125,43.252794616328465
Other non-residential buildings,ES120,1000,4637.3258524634875,1058.51,-4.769909523155202,43.29051180838669
Other non-residential buildings,ES120,1100,80361.12255444005,1181.61,-5.672929025815145,43.26214491828015
Other non-residential buildings,ES120,1200,4626088.0337762125,1256.8,-6.7465663500716975,43.5453662499509
Other non-residential buildings,ES120,1300,59802.2197265079,1318.185,-5.220501150004865,43.144391649988414
Other non-residential buildings,ES120,1400,597.8253147667274,1411.79,-6.834575599999402,42.94252219999585
Single family- Terraced houses,ES120,900,3986.465779046528,991.03,-4.830410533015965,43.26660848351838
Single family- Terraced houses,ES120,1000,56334.02646865335,1078.46,-5.127751931464996,43.2647444779233
Single family- Terraced houses,ES120,1100,1418405.3587715123,1182.75,-4.934840917653518,43.38432790414796
Single family- Terraced houses,ES120,1200,16119580.666856006,1249.89,-5.911401812632263,43.345620052885806
Single family- Terraced houses,ES120,1300,374002.08023065835,1322.415,-6.043287792416116,43.10059451815442
Single family- Terraced houses,ES120,1400,16191.382299040677,1413.5149,-5.217397089930657,43.08513591016926
Sport,ES120,1000,50.71214579977095,1013.89,-5.138282380076817,43.269497015805115
Sport,ES120,1100,1782.0146475732327,1147.8,-5.145785999935465,43.27454179965539
Sport,ES120,1200,391014.84434289485,1268.095,-5.838928379849042,43.353829155440366
Trade,ES120,1100,4507.602251471952,1192.75,-4.582715689540796,43.324886999173515
Trade,ES120,1200,3059540.480638394,1271.085,-5.818918259172247,43.37561320033071
Trade,ES120,1300,1653.3985808454454,1350.91,-6.872382950003228,43.04021909999185
