Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,8963062.805077516,4.0,115459294.15845615,35852251.22031006,23513592.967692133,12.881678581237791
Apartment Block_AB_1_Before1945,Apartment Block,1900,9500378.661365315,5.0,138865342.77237716,47501893.30682658,25022568.224768043,14.616821889120429
Apartment Block_AB_2_Before1945,Apartment Block,1900,5407526.482461696,7.0,105819215.16834667,37852685.377231866,10503107.863915076,19.568875993774896
Apartment Block_AB_3_Before1945,Apartment Block,1900,2272802.383171204,9.0,61147313.39492757,20455221.448540837,6579520.549978385,26.903928756713867
Apartment Block_AB_0_1945to1969,Apartment Block,1955,7440409.503994387,4.0,95844963.74324259,29761638.015977547,19519082.304183308,12.881678581237791
Apartment Block_AB_1_1945to1969,Apartment Block,1955,7886445.651538268,5.0,115274771.42676318,39432228.25769134,20771711.465465065,14.616821889120429
Apartment Block_AB_2_1945to1969,Apartment Block,1955,4488890.941433203,7.0,87842550.1824858,31422236.59003242,8718830.300718402,19.568875993774896
Apartment Block_AB_3_1945to1969,Apartment Block,1955,1886696.6370991382,9.0,50759551.91004685,16980269.733892243,5461785.585620714,26.903928756713867
Apartment Block_AB_0_1970to1979,Apartment Block,1975,435988.54001155123,4.0,4785223.320688967,1743954.160046205,1107005.4541511398,10.975571331673502
Apartment Block_AB_1_1970to1979,Apartment Block,1975,608529.3638759599,4.0,6978713.072897323,2434117.4555038395,1180008.3429066413,11.468161582946777
Apartment Block_AB_2_1970to1979,Apartment Block,1975,295432.0319503177,5.0,4706722.987136522,1477160.1597515885,574509.1097242101,15.931661018829686
Apartment Block_AB_3_1970to1979,Apartment Block,1975,118245.0709679951,8.0,2663550.919824827,945960.5677439608,487444.83224365575,22.52568244934082
Apartment Block_AB_0_1980to1989,Apartment Block,1985,561664.6798172876,4.0,6164590.757816198,2246658.7192691504,1426105.9796326705,10.975571331673502
Apartment Block_AB_1_1980to1989,Apartment Block,1985,783941.3630270035,4.0,8990366.222749215,3135765.452108014,1520152.3601579692,11.468161582946777
Apartment Block_AB_2_1980to1989,Apartment Block,1985,380591.970671407,5.0,6063462.263225227,1902959.853357035,740114.5799768365,15.931661018829686
Apartment Block_AB_3_1980to1989,Apartment Block,1985,152329.87528399672,8.0,3431334.398195001,1218639.0022719738,627953.536630735,22.52568244934082
Apartment Block_AB_0_1990to2000,Apartment Block,1995,3893693.3125050575,3.0,38140508.68440015,11681079.937515173,10897097.48099788,9.79545783996582
Apartment Block_AB_1_1990to2000,Apartment Block,1995,1507378.0256304601,4.0,19380864.383793946,6029512.1025218405,3300284.518694797,12.857335090637207
Apartment Block_AB_2_1990to2000,Apartment Block,1995,2170221.0822893423,5.0,35181169.30891918,10851105.411446711,5511023.443815776,16.21086883544922
Apartment Block_AB_3_1990to2000,Apartment Block,1995,403105.7380274931,9.0,10784134.141379254,3627951.642247438,1424268.5288709537,26.75261878967285
Apartment Block_AB_0_2000to2010,Apartment Block,2005,1991823.1879712017,3.0,18522772.60800779,5975469.563913605,5147254.446280904,9.299406051635742
Apartment Block_AB_1_2000to2010,Apartment Block,2005,499410.9251887011,4.0,5775538.542329886,1997643.7007548043,1196509.4776602716,11.564702033996582
Apartment Block_AB_2_2000to2010,Apartment Block,2005,788482.1787016976,5.0,11492162.946080733,3942410.8935084883,1446324.5533080616,14.575044631958008
Apartment Block_AB_3_2000to2010,Apartment Block,2005,133066.48392296297,8.0,3235370.5901860283,1064531.8713837038,426390.43693188805,24.31394063180554
Apartment Block_AB_0_Post2010,Apartment Block,2020,901363.1314401696,3.0,8204337.814192186,2704089.394320509,2801681.8714154353,9.102144882588611
Apartment Block_AB_1_Post2010,Apartment Block,2020,687180.0277903399,4.0,8282590.029670114,2748720.1111613596,1459490.1330679995,12.053013322146711
