Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,154905.9024828948,3.0,1324107.436803863,464717.7074486844,276381.37997507624,8.547817840253538
Apartment Block_AB_1_Before1945,Apartment Block,1900,53179.321774873126,3.0,459534.27455685096,159537.96532461938,79728.72035003873,8.641221046447754
Apartment Block_AB_2_Before1945,Apartment Block,1900,9668.06291295053,4.0,102477.4153903102,38672.25165180212,6797.9632625766835,10.599580941187298
Apartment Block_AB_3_Before1945,Apartment Block,1900,50153.47153417443,4.0,607984.1660432911,200613.88613669772,123408.7759235282,12.122474226515157
Apartment Block_AB_0_1945to1969,Apartment Block,1955,302048.59119010315,3.0,2581856.3363982113,906145.7735703095,538911.7206935775,8.547817840253538
Apartment Block_AB_1_1945to1969,Apartment Block,1955,57301.61926395114,3.0,497889.4046360955,171904.85779185343,66670.46989909325,8.688923821552828
Apartment Block_AB_2_1945to1969,Apartment Block,1955,31264.069105922797,4.0,373229.4048486827,125056.27642369119,53847.85653142235,11.937966346740723
Apartment Block_AB_3_1945to1969,Apartment Block,1955,65740.21981387635,4.0,793805.2892711825,262960.8792555054,172687.29031895977,12.0748803627156
Apartment Block_AB_0_1970to1979,Apartment Block,1975,15303.935724908168,3.0,123596.79463143411,45911.807174724505,32452.173513669914,8.07614438881053
Apartment Block_AB_1_1970to1979,Apartment Block,1975,17815.588468980266,3.0,163815.8518421539,53446.765406940794,29581.47541585046,9.195085086713975
Apartment Block_AB_2_1970to1979,Apartment Block,1975,6926.492368821447,3.0,65391.59777998095,20779.47710646434,9161.081566135872,9.440795470205279
Apartment Block_AB_3_1970to1979,Apartment Block,1975,10906.291894582524,4.0,134055.72487199,43625.167578330096,21471.740203900907,12.291595178979156
Apartment Block_AB_0_1980to1989,Apartment Block,1985,19212.898010401907,3.0,155166.13845949635,57638.69403120572,40741.17345639515,8.07614438881053
Apartment Block_AB_1_1980to1989,Apartment Block,1985,22366.08218974103,3.0,205658.0287911068,67098.24656922309,37137.23583123298,9.195085086713975
Apartment Block_AB_2_1980to1989,Apartment Block,1985,8695.67109037189,3.0,82094.05224037795,26087.013271115673,11501.023590204448,9.440795470205279
Apartment Block_AB_3_1980to1989,Apartment Block,1985,13691.999078462177,4.0,168296.50986341274,54767.99631384871,26956.095612187357,12.291595178979156
Apartment Block_AB_0_1990to2000,Apartment Block,1995,72310.95131583922,3.0,600362.6627543811,216932.85394751767,137486.62856796864,8.302513683330227
