Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1070605.5891943753,3.0,9568320.74336027,3211816.7675831257,2071143.4158560126,8.937297581792356
Apartment Block_AB_1_Before1945,Apartment Block,1900,489098.6408239992,4.0,6254705.883334351,1956394.5632959967,1181922.5664838683,12.788229942321777
Apartment Block_AB_2_Before1945,Apartment Block,1900,59037.03444834929,4.0,774248.8690709814,236148.13779339715,49437.241087319635,13.114630101353775
Apartment Block_AB_3_Before1945,Apartment Block,1900,337553.6988959733,6.0,5604628.2400203645,2025322.19337584,855570.8716751075,16.603664123223215
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1901640.7297927877,3.0,17138840.478532635,5704922.189378363,4008312.7730280687,9.012659547106024
Apartment Block_AB_1_1945to1969,Apartment Block,1955,53102.5192689724,4.0,697205.1887410543,212410.0770758896,0.0,13.129418308943182
Apartment Block_AB_2_1945to1969,Apartment Block,1955,808476.614100757,4.0,10681471.282489609,3233906.456403028,2189913.3257014733,13.211849416782787
Apartment Block_AB_3_1945to1969,Apartment Block,1955,683850.9890090765,5.0,11225593.305556374,3419254.9450453823,1721638.3368489323,16.41526222229004
Apartment Block_AB_0_1970to1979,Apartment Block,1975,159750.94961460002,3.0,1360347.1867325178,479252.8488438001,369289.36322518485,8.515424728393555
Apartment Block_AB_1_1970to1979,Apartment Block,1975,65985.95791454343,4.0,753545.2852841585,263943.8316581737,155561.16573342917,11.419782467355464
Apartment Block_AB_2_1970to1979,Apartment Block,1975,3571.436825369914,4.0,42832.00013255462,14285.747301479656,3495.918106411995,11.992932320206522
Apartment Block_AB_3_1970to1979,Apartment Block,1975,11608.293579438672,6.0,192574.51232411308,69649.76147663203,30605.15173194298,16.589390249848
Apartment Block_AB_0_1980to1989,Apartment Block,1985,200554.86099661994,3.0,1707809.8227301496,601664.5829898599,463614.0009673437,8.515424728393555
Apartment Block_AB_1_1980to1989,Apartment Block,1985,82840.22504533897,4.0,946017.349564543,331360.9001813559,195294.91402340145,11.419782467355464
Apartment Block_AB_2_1980to1989,Apartment Block,1985,4483.660458972391,4.0,53772.236431241996,17934.641835889564,4388.852595734099,11.992932320206522
Apartment Block_AB_3_1980to1989,Apartment Block,1985,14573.307456693256,6.0,241762.28463010426,87439.84474015953,38422.3816270781,16.589390249848
Apartment Block_AB_0_1990to2000,Apartment Block,1995,263061.0316637209,3.0,2230551.1112808245,789183.0949911627,795839.568089309,8.479215249684747
Apartment Block_AB_1_1990to2000,Apartment Block,1995,673677.4507192002,3.0,6010574.582876472,2021032.3521576005,1286340.378475025,8.922036170959473
Apartment Block_AB_2_1990to2000,Apartment Block,1995,258270.75481851152,4.0,3243588.669759165,1033083.0192740461,699088.2376928127,12.558869361877441
Apartment Block_AB_3_1990to2000,Apartment Block,1995,79019.71168907141,5.0,1256071.218981736,395098.5584453571,178146.58537645097,15.895669474524967
Apartment Block_AB_0_2000to2010,Apartment Block,2005,119418.52493004873,3.0,1012399.5815659658,358255.5747901462,371747.4339606759,8.477743148803711
