Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FI1B1,900,28855381.676766835,974.13,24.647000905539926,60.14476708748641
Apartment Block,FI1B1,1000,7626.765429222956,1028.91,22.967465880536402,59.82272260317841
Education,FI1B1,900,6160409.372426145,966.93,24.229712767966987,60.1367910770263
Education,FI1B1,1000,21189.213706040755,1027.01,22.96533721427976,59.829981008958804
Health,FI1B1,900,885898.6487843053,977.5,24.899156408481407,60.19980393245319
Health,FI1B1,1000,3016.2715486064553,1027.23,22.97452389999201,59.82977414441791
Hotels and Restaurants,FI1B1,900,7077587.153197856,965.36,24.680866352737368,60.19326095972586
Hotels and Restaurants,FI1B1,1000,7406.608996993862,1027.88,22.933285871046827,59.8298094108513
Industrial,FI1B1,900,24830201.995261133,955.635,24.09814585457246,60.254903367507715
Industrial,FI1B1,1000,545177.8559902092,1024.19,22.99245111710325,59.841584633854026
Offices,FI1B1,900,7865042.202344943,973.36,26.084818701456726,60.338229347965765
Offices,FI1B1,1000,1223.5633700676262,1002.74,24.432653483768835,59.98834164597967
Other non-residential buildings,FI1B1,900,19627767.337751597,954.54,25.0650735740714,60.35165956470984
Other non-residential buildings,FI1B1,1000,58918.645348105,1014.17004,24.34841834113086,59.918292387303794
Single family- Terraced houses,FI1B1,900,64934053.83953989,955.94,24.254371550017172,60.21629174998328
Single family- Terraced houses,FI1B1,1000,755216.9617290238,1026.41,23.025077258171162,59.83008867733251
Sport,FI1B1,900,701059.5161484024,967.76,24.891550762284098,60.246072537442416
Sport,FI1B1,1000,4575.666240744293,1027.8201,22.97692390115176,59.823450324789995
Trade,FI1B1,900,15778048.90816887,960.81,23.643823961783426,60.08493860585815
Trade,FI1B1,1000,106141.71766162431,1028.39,22.96879815571446,59.82451776626307
