Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FI1C1,900,3524880.3177923555,970.68,22.27813412885163,60.44645064332422
Apartment Block,FI1C2,900,806934.0488272612,916.88,24.441328758397,60.98452951748313
Apartment Block,FI1C5,900,204861.58931958722,922.36,28.195391375540307,61.05364380940622
Apartment Block,FI1C6,900,2058821.0871807758,915.94,25.65525934853361,60.9758490219273
Apartment Block,FI1C7,900,526152.316300879,963.435,26.933408586379166,60.515660356700586
Education,FI1C1,900,1516233.8251502072,968.92,22.32133362662749,60.44055508423596
Education,FI1C1,1000,6316.582322170958,1010.04504,21.562348499633334,60.17190774061092
Education,FI1C2,900,398973.16510564357,917.005,24.445326483471597,60.99158056681054
Education,FI1C5,900,196980.63254579622,920.03,28.77445554568679,61.207250232638096
Education,FI1C6,900,450317.8876771992,916.22,25.69006799084122,60.9779552194611
Education,FI1C7,900,338544.35762910824,930.75,26.784116940551435,60.771122863953416
Health,FI1C1,900,452448.71305610647,963.92004,22.26771118983505,60.48533319445756
Health,FI1C1,1000,1075.0587367936969,1011.42,21.564951998232026,60.16155075030349
Health,FI1C2,900,90479.16776923835,916.88,24.47440750015075,60.99827709984628
Health,FI1C5,900,102007.63556300988,922.22,28.21191366472571,61.06451100021545
Health,FI1C6,900,113547.1616748888,912.56,25.926827493881824,60.94575863066849
Health,FI1C7,900,76691.90076088207,923.23,26.70061456408429,60.877492022074705
Hotels and Restaurants,FI1C1,900,1485934.2301490572,970.0,22.362147743418834,60.4003883081634
Hotels and Restaurants,FI1C1,1000,7942.079061904922,1005.94,21.526067151995548,60.28508464150717
Hotels and Restaurants,FI1C2,800,174.11115232668817,899.58496,24.826421243894696,61.132700517130296
Hotels and Restaurants,FI1C2,900,319356.0611274389,917.24,23.766607450103894,60.81887319995055
Hotels and Restaurants,FI1C5,800,1364.2011328972876,898.32495,29.864666129104975,61.77371269193814
Hotels and Restaurants,FI1C5,900,420944.6687227752,911.545,27.364873667930357,61.032663798719256
Hotels and Restaurants,FI1C6,800,953.2936348055955,897.36,26.23043224999473,61.08598214999219
Hotels and Restaurants,FI1C6,900,357493.01448141155,915.78,26.014731599919966,60.924218899966114
Hotels and Restaurants,FI1C7,900,764585.5788848575,919.38,27.309042312476958,60.83965653113869
Industrial,FI1C1,900,11983297.740881486,962.53,22.312427283273134,60.482145781560604
Industrial,FI1C1,1000,23894.262238393538,1000.79,22.486594649857494,60.03481234995054
