Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FI1D5,800,8637.040788235143,898.545,23.147643315507406,63.814773481673534
Apartment Block,FI1D5,900,6848.367275968194,900.09,23.108964511481954,63.845963199644984
Apartment Block,FI1D8,800,103372.99215871654,838.04,27.707658568473963,64.22477335206113
Apartment Block,FI1D9,800,52462.40678978455,858.84,25.570538860878116,64.9822145422123
Apartment Block,FI1DA,800,71338.90274951141,878.45496,27.163813083814237,62.29906536644476
Apartment Block,FI1DA,900,80154.25985774957,905.66,28.87684520070166,61.86773049989961
Apartment Block,FI1DB,800,1302772.4860015323,874.74,27.655340992918518,62.841168798271816
Apartment Block,FI1DC,800,227381.79048957443,891.88,29.760092312510167,62.60387452169677
Education,FI1D5,800,161463.26779469824,867.61,23.92645876638083,63.90245642488091
Education,FI1D5,900,23707.352659869008,900.46,23.09957455767463,63.83978755326733
Education,FI1D8,800,165724.40493307076,830.17505,28.808460333202497,64.09157124516085
Education,FI1D9,800,445887.4692788883,854.83,24.95782623751973,63.600524355560275
Education,FI1DA,800,147657.57612784975,894.305,27.27697235653121,61.693633084060245
Education,FI1DA,900,102326.87836331083,905.92,28.878353755943053,61.86596577973803
Education,FI1DB,800,700355.9938963442,872.74,27.629275536025666,62.88892310676684
Education,FI1DC,800,395025.10308732186,886.58,30.11172308645449,62.345482400193994
Education,FI1DC,900,10154.538992419839,900.92,29.626328046650862,62.31467055776866
Health,FI1D5,800,3841.3492063060403,867.61,23.920495120181386,63.89683154129499
Health,FI1D5,900,66478.6195691675,900.09,23.107560436137575,63.84539521424539
Health,FI1D8,800,36389.798483480234,835.62,27.71994634999675,64.22986259999412
Health,FI1D9,800,55466.1252350728,854.06995,24.839227327933703,64.26753120215884
Health,FI1DA,800,58352.021802065894,894.25,27.278540502079544,61.69206364415827
Health,FI1DA,900,26563.399777743965,903.985,26.863616682388564,61.41940614920324
Health,FI1DB,800,148830.55647042394,873.49,27.64525429423202,62.89825694228242
Health,FI1DC,800,92556.25458818302,893.7,29.780006381902805,62.591650985925234
