Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FI200,1000,35630.4376829993,1018.45,19.93906619993182,60.10173569997022
Education,FI200,900,1459.0800493359566,999.43,20.06864871810577,60.27890572125931
Education,FI200,1000,83743.72099777404,1018.15,19.927254870336906,60.10400271822165
Health,FI200,1000,49199.56600582879,1016.825,19.930925439000912,60.11604008857095
Hotels and Restaurants,FI200,900,116.62597740441561,999.66,20.023154325068283,60.1823036582314
Hotels and Restaurants,FI200,1000,39146.17276739236,1017.895,19.546589149993803,60.231772099992774
Industrial,FI200,1000,287407.15235356207,1015.29,19.949716658028432,60.12554422590803
Offices,FI200,1000,40049.39974951791,1018.41,19.940736358754823,60.10136846656445
Other non-residential buildings,FI200,900,2295.866653411649,999.52,20.056997049974076,60.27657197454915
Other non-residential buildings,FI200,1000,175058.77869342326,1018.91504,19.940820373281568,60.091900452864245
Single family- Terraced houses,FI200,900,66524.8219028553,999.0,20.100756849988453,60.27895774998908
Single family- Terraced houses,FI200,1000,2287367.847806745,1016.51,19.9556921135025,60.1152338297625
Sport,FI200,1000,28704.31489001587,1016.75,19.55099284866596,60.22967039924505
Trade,FI200,900,3640.1402092743665,999.07,20.0426392442174,60.24375988336887
Trade,FI200,1000,206979.78631399502,1017.35,19.945098569044042,60.10518659166816
