Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,36637743.00021441,3.0,365794063.8397185,109913229.00064324,153059536.116854,9.984077453613281
Apartment Block_AB_1_Before1945,Apartment Block,1900,32226335.82560074,4.0,398211775.92597955,128905343.30240296,81513743.31900372,12.356718991603085
Apartment Block_AB_2_Before1945,Apartment Block,1900,14809057.97927831,6.0,269312993.0015682,88854347.87566985,46140775.11344951,18.185693740844727
Apartment Block_AB_3_Before1945,Apartment Block,1900,11725736.058117399,7.0,257330335.5879931,82080152.40682179,51730770.31184377,21.945772471132035
Apartment Block_AB_0_1945to1969,Apartment Block,1955,19241100.485083234,3.0,192104637.53582707,57723301.4552497,80382514.68185088,9.984077453613281
Apartment Block_AB_1_1945to1969,Apartment Block,1955,16917227.65923477,4.0,209419429.0360102,67668910.63693908,45043727.376879536,12.379063121592054
Apartment Block_AB_2_1945to1969,Apartment Block,1955,7781947.661546785,6.0,141737387.06348738,46691685.96928071,24314894.898027703,18.213613510131836
Apartment Block_AB_3_1945to1969,Apartment Block,1955,6129028.845405057,7.0,134750852.8002703,42903201.9178354,25267937.01287889,21.985677698562835
Apartment Block_AB_0_1970to1979,Apartment Block,1975,1687946.7133196369,3.0,15261972.800872622,5063840.139958911,6562508.54977362,9.041738510131836
Apartment Block_AB_1_1970to1979,Apartment Block,1975,516833.67217430606,4.0,5501407.270826292,2067334.6886972243,1514510.7477036866,10.64444436772475
Apartment Block_AB_2_1970to1979,Apartment Block,1975,1403281.921582799,4.0,14975475.267841645,5613127.686331196,3199069.565367419,10.671751012761861
Apartment Block_AB_3_1970to1979,Apartment Block,1975,376101.77309392643,6.0,6765500.901448609,2256610.6385635585,1616757.5956215712,17.9884844620475
Apartment Block_AB_0_1980to1989,Apartment Block,1985,1878141.715889427,3.0,16981666.280042518,5634425.147668282,7301960.998502734,9.041738510131836
Apartment Block_AB_1_1980to1989,Apartment Block,1985,575069.6228898498,4.0,6121296.608419458,2300278.4915593993,1685163.2767666294,10.64444436772475
Apartment Block_AB_2_1980to1989,Apartment Block,1985,1561401.37320736,4.0,16662886.685853405,6245605.49282944,3559535.354603964,10.671751012761861
Apartment Block_AB_3_1980to1989,Apartment Block,1985,418480.2896286224,6.0,7527826.187657611,2510881.7377717346,1798931.127894532,17.9884844620475
Apartment Block_AB_0_1990to2000,Apartment Block,1995,3768733.266340477,3.0,35027918.573611826,11306199.79902143,14070970.524941169,9.294348020448979
Apartment Block_AB_1_1990to2000,Apartment Block,1995,3722245.9581616116,3.0,36440371.331444114,11166737.874484835,7258229.5205858415,9.789888078605566
Apartment Block_AB_2_1990to2000,Apartment Block,1995,1166388.2488502988,5.0,17874024.905384466,5831941.244251494,3787921.2741664797,15.324249813904396
