Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,5167987.679412731,3.0,48030546.367618024,15503963.038238194,19921220.78423709,9.293858528137207
Apartment Block_AB_1_Before1945,Apartment Block,1900,4119982.745329549,4.0,48212891.21823274,16479930.981318196,8790679.567208419,11.702207071834785
Apartment Block_AB_2_Before1945,Apartment Block,1900,2518652.0956485695,4.0,31081490.73219154,10074608.382594278,8206840.868700171,12.340525627136229
Apartment Block_AB_3_Before1945,Apartment Block,1900,1048076.5876535483,8.0,23827302.202917848,8384612.701228387,5891240.5480130315,22.73431396484375
Apartment Block_AB_0_1945to1969,Apartment Block,1955,2707605.6685441067,3.0,25164104.033431288,8122817.0056323195,10437101.182456456,9.293858528137207
Apartment Block_AB_1_1945to1969,Apartment Block,1955,2160742.9729354815,4.0,25285461.69830291,8642971.891741926,4610310.352320125,11.702207071834785
Apartment Block_AB_2_1945to1969,Apartment Block,1955,1323464.3543506917,4.0,16332245.781466013,5293857.417402767,4312410.344532416,12.340525627136229
Apartment Block_AB_3_1945to1969,Apartment Block,1955,550494.0951851282,8.0,12515105.595731284,4403952.761481025,3094328.3851584406,22.73431396484375
Apartment Block_AB_0_1970to1979,Apartment Block,1975,453692.42051026894,3.0,3992083.8060940104,1361077.2615308068,1659820.274560409,8.799097418475945
Apartment Block_AB_1_1970to1979,Apartment Block,1975,232563.4090351302,3.0,2338837.2341767005,697690.2271053906,694230.1576539634,10.056772232055662
Apartment Block_AB_2_1970to1979,Apartment Block,1975,388830.8053347227,3.0,4044759.2673911825,1166492.416004168,785455.4048121707,10.402363217876411
Apartment Block_AB_3_1970to1979,Apartment Block,1975,39287.78712193838,7.0,838801.1641071348,275014.5098535687,184265.7455276928,21.350175857543945
Apartment Block_AB_0_1980to1989,Apartment Block,1985,504813.7209659812,3.0,4441905.1089630015,1514441.1628979435,1846846.0372188461,8.799097418475945
Apartment Block_AB_1_1980to1989,Apartment Block,1985,258768.26362564348,3.0,2602373.4881676305,776304.7908769305,772454.8466071734,10.056772232055662
Apartment Block_AB_2_1980to1989,Apartment Block,1985,432643.6078576227,3.0,4500515.95282748,1297930.823572868,873959.2015006966,10.402363217876411
Apartment Block_AB_3_1980to1989,Apartment Block,1985,43714.66903334826,7.0,933315.871416316,306002.6832334378,205028.50045805384,21.350175857543945
Apartment Block_AB_0_1990to2000,Apartment Block,1995,698392.4205205411,3.0,6091332.899932833,2095177.2615616233,2424443.095606885,8.721934432496715
Apartment Block_AB_1_1990to2000,Apartment Block,1995,269302.01612453983,3.0,2578202.316342691,807906.0483736196,820421.8709989666,9.573646545410156
Apartment Block_AB_2_1990to2000,Apartment Block,1995,638394.2926603677,3.0,6322841.118431749,1915182.877981103,1390684.9684953857,9.904288291931152
Apartment Block_AB_3_1990to2000,Apartment Block,1995,88582.78722686351,6.0,1561459.3148420344,531496.7233611811,392879.8990166986,17.627118808568127
Apartment Block_AB_0_2000to2010,Apartment Block,2005,304491.98493200727,3.0,2601022.00171068,913475.9547960218,1074148.828330586,8.542169023895605
Apartment Block_AB_1_2000to2010,Apartment Block,2005,249089.2610502932,3.0,2261912.0744021,747267.7831508795,430617.7894314436,9.080728991947192
Apartment Block_AB_2_2000to2010,Apartment Block,2005,100594.26724752085,3.0,917946.5762417216,301782.80174256256,306557.41008715914,9.125237464904785
Apartment Block_AB_3_2000to2010,Apartment Block,2005,34418.161114964736,5.0,519234.1872743005,172090.8055748237,133493.44542143456,15.086052550568766
Apartment Block_AB_0_Post2010,Apartment Block,2020,227546.96474258404,3.0,1951831.6647051242,682640.8942277521,768333.5116175035,8.577709076072113
Apartment Block_AB_1_Post2010,Apartment Block,2020,205756.123975532,3.0,1823086.6829581633,617268.371926596,358081.26691131515,8.860424893963108
Apartment Block_AB_2_Post2010,Apartment Block,2020,73776.29273262361,3.0,666685.096274191,221328.87819787083,216321.20229846507,9.036576271057129
