Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FRB01,1200,14688000.51988768,1237.89,2.3955851208730983,47.07791506705862
Apartment Block,FRB02,1100,10264172.159790264,1180.05,0.8087058972527712,48.31896623682099
Apartment Block,FRB02,1200,1686108.8767150077,1205.9,1.3305686670879608,48.06833067265073
Apartment Block,FRB03,1200,7626094.862717618,1252.65,1.671454023418817,46.808096700082956
Apartment Block,FRB04,1200,25716655.606008656,1226.75,0.7167995556667495,47.36192083329223
Apartment Block,FRB05,1100,436801.010776033,1197.18,2.023470495854677,47.60006608144674
Apartment Block,FRB05,1200,7474867.676894565,1218.73,1.3183777787644093,47.58031016902471
Apartment Block,FRB06,1100,19323698.398953594,1197.55,1.9173369165819711,47.89250799898343
Apartment Block,FRB06,1200,6203509.181343162,1205.54,2.63464954289499,47.690596728348694
Education,FRB01,1200,255515.1673126648,1237.995,2.3895508231392575,47.08162555856006
Education,FRB02,1100,347992.6470188649,1175.66,1.534557518325906,48.64913114206756
Education,FRB02,1200,42024.205479797616,1206.1,1.3457634952269286,48.07406893415223
Education,FRB03,1200,272764.59728461923,1252.735,1.7086443434764278,46.810353220784854
Education,FRB04,1200,1215710.4003429161,1227.26,0.9900339559149253,47.32559997727445
Education,FRB05,1100,10678.021088323556,1197.56,1.6737434633876642,47.6562757421056
Education,FRB05,1200,372501.5598069241,1219.29,1.3011152817584934,47.594015312489354
Education,FRB06,1100,506070.7918159086,1196.96,1.9173617803444747,47.901682687303676
Education,FRB06,1200,472840.3845992499,1204.3401,2.5429082824540346,47.69811130625202
Health,FRB01,1200,164232.72730516386,1236.1699,2.838946448807109,47.33288075425382
Health,FRB02,1100,186168.06576613287,1183.755,1.4800546030468076,48.441163006219554
Health,FRB02,1200,23518.22116875497,1206.68,1.3576489174383852,48.07435118449935
Health,FRB03,1200,149130.80302401213,1251.05,1.6963291734282733,46.7989749000759
Health,FRB04,1200,566574.8939406908,1226.345,0.5964881764242643,47.401823654043596
Health,FRB05,1200,181510.93691892782,1223.54,1.3415231674866865,47.602280906110664
Health,FRB06,1100,367516.5387520419,1198.79,1.92057457029819,47.83669947393125
Health,FRB06,1200,63782.587571918964,1205.77,2.6356024370972526,47.689926073168444
Hotels and Restaurants,FRB01,1100,1421.209452449344,1199.72,2.193582199978847,47.5473304999896
Hotels and Restaurants,FRB01,1200,54437.05610253435,1245.065,2.405306516396983,47.05164144307329
Hotels and Restaurants,FRB02,1100,129972.24535091851,1188.85,1.474846505602747,48.443326177530714
Hotels and Restaurants,FRB02,1200,3308.1194779567886,1205.385,1.3326209669456428,48.07054416847901
Hotels and Restaurants,FRB03,1200,97962.50208352665,1250.44,1.6949769999996847,46.79458699999247
Hotels and Restaurants,FRB04,1200,291775.30767437967,1226.825,0.6789746217405728,47.36724422112277
Hotels and Restaurants,FRB05,1100,23773.8969202172,1199.39,2.1905009754419082,47.54093475281886
Hotels and Restaurants,FRB05,1200,136440.98438466399,1219.46,1.3633394769510228,47.566783412388226
Hotels and Restaurants,FRB06,1100,171514.14924097134,1197.5,1.907825529378178,47.89890669890298
Hotels and Restaurants,FRB06,1200,94879.13389765535,1204.73,2.8874192094386046,48.06558670521251
Industrial,FRB01,1200,7513053.220864677,1238.935,2.3559447438013708,47.07941142984167
Industrial,FRB02,1100,7845186.288645074,1188.44,1.507048499351141,48.46272699995456
Industrial,FRB02,1200,1786967.248957714,1207.05,1.3331503368870017,48.053702965648014
Industrial,FRB03,1200,5198540.306580164,1253.39,1.7254893809501748,46.812309067348444
Industrial,FRB04,1200,13354859.765426554,1228.22,0.893337959581076,47.359143038248035
Industrial,FRB05,1100,114214.27732199401,1197.69,2.0181018217908218,47.589226369855446
Industrial,FRB05,1200,7377091.825515082,1219.11,1.3839940729891944,47.56801236247987
Industrial,FRB06,1100,4851687.520974012,1193.985,1.92943784849789,47.745584149031096
Industrial,FRB06,1200,13026868.652895305,1205.75,1.7449520164200372,47.809678156882796
Offices,FRB01,1100,6799.575220875093,1199.31,2.1974690985777863,47.36860158061731
Offices,FRB01,1200,406810.9732173662,1239.265,2.3583340166896383,47.07745169122335
Offices,FRB02,1100,211718.8317010748,1180.93,0.8670942663108105,48.292269933517794
Offices,FRB02,1200,34783.712431746826,1205.23,1.3349743845034256,48.19988640911717
Offices,FRB03,1200,335918.9316831151,1252.52,1.6894846730039004,46.80907787024709
Offices,FRB04,1200,968508.9603280636,1227.44,0.7102420499994446,47.36116089384225
Offices,FRB05,1100,6899.000036483136,1197.14,2.0253496589295774,47.60162722212124
Offices,FRB05,1200,336844.2343986089,1217.41,0.7277543182045517,47.71431826037974
Offices,FRB06,1100,839457.4897355376,1196.61,2.437586824498201,48.25325289876979
Offices,FRB06,1200,220682.29724440456,1207.8,2.110980019741346,47.83500978941142
Other non-residential buildings,FRB01,1100,2779.353148859227,1199.57,2.1949187476294987,47.54701364421945
Other non-residential buildings,FRB01,1200,2602310.2605473436,1241.92,2.2528213113626467,46.95595014162073
Other non-residential buildings,FRB02,1100,2222968.8098135134,1180.575,0.8370183009703438,48.292894211420446
Other non-residential buildings,FRB02,1200,925286.1019558567,1206.72,1.7495436491556065,48.15082528842812
Other non-residential buildings,FRB03,1200,2029911.64388636,1252.6,2.081207341811651,46.88969607960452
Other non-residential buildings,FRB04,1200,5574306.438875986,1227.5,1.0035337616072668,47.32504456482778
