Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,2768174.019663826,3.0,24162950.401689634,8304522.058991478,9265580.212028839,8.728840827941895
Apartment Block_AB_1_Before1945,Apartment Block,1900,2553364.19744092,4.0,27846978.34048306,10213456.78976368,6122905.48932309,10.905995458224242
Apartment Block_AB_2_Before1945,Apartment Block,1900,1274615.619410614,4.0,14028788.485660702,5098462.477642456,3034714.05067638,11.0062894821167
Apartment Block_AB_3_Before1945,Apartment Block,1900,322419.8252777592,7.0,6424498.56487748,2256938.7769443146,1965433.665541689,19.92587943170952
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1692632.9136336648,3.0,14816116.740469873,5077898.740900994,5241799.574507054,8.7532958984375
Apartment Block_AB_1_1945to1969,Apartment Block,1955,688471.8563887988,4.0,7403136.825771338,2753887.425555195,1675464.1842133384,10.752998480725966
Apartment Block_AB_2_1945to1969,Apartment Block,1955,1186934.342588545,4.0,13719077.728473622,4747737.37035418,2521040.611790829,11.55841333106442
Apartment Block_AB_3_1945to1969,Apartment Block,1955,142236.36910627276,7.0,2937952.4655388943,995654.5837439094,684112.0496079808,20.65542367257551
Apartment Block_AB_0_1970to1979,Apartment Block,1975,279316.68070537783,3.0,2395288.196054218,837950.0421161335,954739.4590687649,8.575528643707315
Apartment Block_AB_1_1970to1979,Apartment Block,1975,306082.3155937007,3.0,3029038.7310616984,918246.9467811021,596551.4128924833,9.896157264709473
Apartment Block_AB_2_1970to1979,Apartment Block,1975,103344.29388312118,4.0,1099843.0195617569,413377.1755324847,240132.52275878598,10.642513275146484
Apartment Block_AB_3_1970to1979,Apartment Block,1975,42037.230825225044,6.0,733223.4857271584,252223.38495135028,127109.91477080049,17.442240398175255
Apartment Block_AB_0_1980to1989,Apartment Block,1985,310789.6154759702,3.0,2665185.2496809647,932368.8464279106,1062317.8988608262,8.575528643707315
Apartment Block_AB_1_1980to1989,Apartment Block,1985,340571.15717947617,3.0,3370345.7312721848,1021713.4715384286,663769.8248321336,9.896157264709473
Apartment Block_AB_2_1980to1989,Apartment Block,1985,114988.95546252458,4.0,1223771.4850051457,459955.8218500983,267190.252379513,10.642513275146484
Apartment Block_AB_3_1980to1989,Apartment Block,1985,46773.915438394186,6.0,815841.8774403923,280643.49263036513,141432.44662308425,17.442240398175255
Apartment Block_AB_0_1990to2000,Apartment Block,1995,302067.4805221969,3.0,2597734.0678068153,906202.4415665907,1006266.7329802029,8.599846839904785
Apartment Block_AB_1_1990to2000,Apartment Block,1995,318247.6410526988,3.0,2853948.765115906,954742.9231580964,618669.5167827343,8.967698097229004
Apartment Block_AB_2_1990to2000,Apartment Block,1995,102343.52947938978,4.0,1304418.43913383,409374.1179175591,346681.835959345,12.745490074157715
Apartment Block_AB_3_1990to2000,Apartment Block,1995,15924.805007181174,7.0,319085.1461326682,111473.63505026822,101870.86360755058,20.036989212036133
Apartment Block_AB_0_2000to2010,Apartment Block,2005,110286.96658926281,3.0,953388.7003327081,330860.8997677884,359445.5367156078,8.644618034362793
