Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FRC21,1100,497.1695006713271,1199.22,6.603725771089368,47.0623154135883
Apartment Block,FRC21,1200,13153612.745665837,1251.36,6.0715087232614495,47.279182296728344
Apartment Block,FRC22,1000,4956.015783561976,1084.36,5.859709731564197,46.38311123380517
Apartment Block,FRC22,1100,555486.4250624666,1170.93,6.02328478253742,46.51860717582138
Apartment Block,FRC22,1200,4772281.8576977635,1273.83,5.468672935867831,47.07475667562485
Apartment Block,FRC23,1200,4234616.936113844,1238.08,6.153406833153582,47.622409400115124
Apartment Block,FRC24,1200,2108425.677234823,1237.83,6.8515117417627724,47.63478179204798
Education,FRC21,1100,232.56564866751432,1199.58,6.881696732558376,47.443696719238986
Education,FRC21,1200,1128104.8186219214,1257.095,6.271316294512945,47.147498637327786
Education,FRC22,1100,28819.357056266745,1165.92,5.868504254830538,46.37997257020597
Education,FRC22,1200,329942.8112826753,1278.995,5.704788593150454,46.834305789160766
Education,FRC22,1300,3388.8492370047607,1300.48,5.563327506631851,46.392773396094725
Education,FRC23,1100,6204.706000562175,1195.98,6.733332741672636,47.721204714072336
Education,FRC23,1200,168607.414010786,1225.9951,6.08394213386578,47.74631049383768
Education,FRC24,1100,511.79332771431655,1184.8,6.8219222749497685,47.74474799445477
Education,FRC24,1200,125492.58787519424,1238.52,6.850473628085849,47.63152428690729
Health,FRC21,1200,391383.74098777457,1261.64,5.961980933609633,47.23445894291732
Health,FRC22,1200,108098.99304651399,1271.305,5.708371631081171,46.832432278903624
Health,FRC23,1200,61018.07991155307,1221.44,6.094935518281286,47.83041333166763
Health,FRC24,1200,58869.802989007905,1239.34,6.840458037924108,47.61405463283018
Hotels and Restaurants,FRC21,1100,211.91692030988634,1154.1951,6.220835943997996,47.067701531747645
Hotels and Restaurants,FRC21,1200,158783.25458943483,1251.0701,5.889625009723602,47.16026709895294
Hotels and Restaurants,FRC22,1100,42.00065951095894,1169.45,5.810394258610137,46.555436251861906
Hotels and Restaurants,FRC22,1200,56646.98312431411,1269.19,5.900262886695311,46.63737514827004
Hotels and Restaurants,FRC23,1200,20792.411073925556,1235.13,6.076968651913045,47.648684002964984
Hotels and Restaurants,FRC24,1100,5215.337500273483,1182.02,6.802812699988424,47.744353249990574
Hotels and Restaurants,FRC24,1200,22065.906226247054,1226.49,6.995713603972819,47.74013211656886
Industrial,FRC21,900,1002.6087453067303,978.01,6.873073137652062,47.18780993311343
Industrial,FRC21,1100,55466.623108300846,1180.52,6.803884670944573,47.323658917039374
Industrial,FRC21,1200,12817393.75001641,1252.1,6.05423835446354,47.078470369829155
Industrial,FRC22,1100,229947.36098700552,1182.76,5.51972562839742,46.265472569798696
Industrial,FRC22,1200,4912966.772379,1278.4,5.766013664684611,46.91700629297138
Industrial,FRC22,1300,210289.80982210673,1302.67,5.600625607795227,46.52794056779959
Industrial,FRC23,1100,108131.67010245915,1175.3401,6.616051026478261,47.7619202748163
Industrial,FRC23,1200,6300426.092187397,1237.825,6.111615909410053,47.57942535608511
Industrial,FRC24,1000,1055.3089608089067,1071.84,6.831918183806119,47.791876449659895
Industrial,FRC24,1100,80020.00088725169,1195.64,6.823429800023733,47.73948709997061
Industrial,FRC24,1200,2381417.0700860345,1238.97,6.832892899099315,47.60831711314187
Offices,FRC21,1100,2239.5238084620796,1179.6,6.601408949757368,47.153977758813916
Offices,FRC21,1200,871580.4559020906,1256.0,6.0543076811926655,47.26717020597379
Offices,FRC22,1100,1984.750944903586,1178.21,5.8102584162238475,46.55753478044243
Offices,FRC22,1200,308059.1356419177,1279.395,5.77972274809059,46.38709253877578
Offices,FRC22,1300,3173.172046985361,1302.905,5.512999540912517,46.45214450161425
Offices,FRC23,1100,4161.525373415556,1176.385,6.621377803950037,47.89453245683563
Offices,FRC23,1200,182552.59688024485,1230.74,5.743513590058621,47.65222998974645
Offices,FRC24,1100,2661.610385710839,1188.925,6.826927633708867,47.74342836609812
Offices,FRC24,1200,66499.43199757102,1238.4,6.8637165499268,47.63772129891455
Other non-residential buildings,FRC21,1000,2234.148054230958,1096.03,6.606260175786907,47.15809807726275
Other non-residential buildings,FRC21,1100,24967.171451940318,1189.6599,6.773452199538963,47.37871665131798
Other non-residential buildings,FRC21,1200,4810839.839661053,1252.85,6.0985497932042625,47.27390238308673
Other non-residential buildings,FRC22,1000,2434.6124153360724,1058.81,5.81410110001262,46.87737324998391
Other non-residential buildings,FRC22,1100,33356.64384554303,1160.175,6.023892808080649,46.51558032479546
Other non-residential buildings,FRC22,1200,1812465.6737237237,1278.01,5.77138092355828,46.90369813961657
Other non-residential buildings,FRC22,1300,64877.95665890572,1303.75,5.497718333679783,46.50476042343048
Other non-residential buildings,FRC23,1100,62476.72038426262,1185.855,6.5772722174266685,47.91664256667995
Other non-residential buildings,FRC23,1200,1632015.3513457675,1229.495,6.306788342366262,47.63906617807421
Other non-residential buildings,FRC24,1000,188.36032664496452,1077.23,6.833613201300197,47.784020671114355
Other non-residential buildings,FRC24,1100,40421.490735346015,1174.9651,6.849739492495531,47.75452231780294
Other non-residential buildings,FRC24,1200,1038897.9004754121,1235.64,6.853213105539874,47.65309199387082
Single family- Terraced houses,FRC21,1000,4873.029638540698,1095.0,6.205826864861263,47.300930488760926
Single family- Terraced houses,FRC21,1100,614557.6689418023,1189.55,6.68744366976786,47.058947101126385
Single family- Terraced houses,FRC21,1200,37302354.56653277,1240.59,6.032905430282931,47.09039474313924
Single family- Terraced houses,FRC22,1000,35969.95500132401,1071.9651,5.856976476994483,46.38124798662023
Single family- Terraced houses,FRC22,1100,410278.38047870237,1177.9451,5.822888835031734,46.29232699956365
Single family- Terraced houses,FRC22,1200,25879324.920114536,1276.64,5.798559306068633,46.40820938295035
Single family- Terraced houses,FRC22,1300,1043170.9543011833,1303.16,5.486058017025581,46.27611114807055
Single family- Terraced houses,FRC23,1000,572.8614071309566,1097.02,6.762185484928022,47.77653473750854
Single family- Terraced houses,FRC23,1100,1384622.3834523605,1182.04,6.60863411376815,47.76204523581843
Single family- Terraced houses,FRC23,1200,27013984.55143688,1229.73,5.874387131029043,47.664169281428364
Single family- Terraced houses,FRC24,1000,4188.71825874591,1084.915,6.8336711740936575,47.78287351957014
Single family- Terraced houses,FRC24,1100,592487.450712836,1185.625,6.820544764514801,47.743102119431065
Single family- Terraced houses,FRC24,1200,8857236.891658207,1238.83,6.990218539791384,47.45577680596854
Sport,FRC21,1200,146963.97545607458,1251.555,6.002238819523346,47.22686477808091
Sport,FRC22,1000,2153.4764390354976,1099.03,5.840884412559051,46.378624939686176
Sport,FRC22,1100,3699.758178579621,1178.895,6.024893482361255,46.51983126988612
Sport,FRC22,1200,98519.32410596265,1285.9,5.548591029699611,46.64790104199989
