Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FRD11,1100,17308227.38871969,1150.91,-0.36561058120115636,49.16100941222932
Apartment Block,FRD12,1100,9773077.915208276,1140.63,-1.2732946858343712,49.58653969067414
Apartment Block,FRD13,1100,4959618.906025105,1164.44,0.08379425248114687,48.43975864656341
Education,FRD11,1100,1638651.3964939856,1152.51,-0.13922387768350036,48.89627411730385
Education,FRD12,1100,429278.52416245895,1143.33,-1.2987634610452479,49.59143459827336
Education,FRD13,1100,254129.75500631356,1151.27,0.5379595216722515,48.617931519988446
Health,FRD11,1100,388556.2512881598,1149.845,-0.3401767576828895,49.15394002164667
Health,FRD12,1100,211393.4894861644,1151.94,-1.0962679587555888,48.56844726778223
Health,FRD13,1100,187753.50130861238,1163.37,0.551484036369062,48.522597847535735
Hotels and Restaurants,FRD11,1100,391272.5298139488,1150.12,-0.3380110335972048,49.15913040502764
Hotels and Restaurants,FRD12,1100,197459.25809000334,1160.24,-1.7758476833887353,49.612880256812254
Hotels and Restaurants,FRD13,1100,83419.97800273939,1148.63,-0.018258360178780252,48.74823332586763
Industrial,FRD11,1100,12986584.686191164,1150.33,-0.3149937066526512,49.060357178454176
Industrial,FRD12,1100,9201936.291534217,1146.68,-1.6906814718188459,49.65934746678806
Industrial,FRD13,1000,268.4460513815284,1092.34,-0.518770483302949,48.83807658346123
Industrial,FRD13,1100,5568278.592763795,1149.41,0.6852493319592382,48.59940061661829
Offices,FRD11,1100,997021.3791866899,1150.04,-0.40538837253091387,49.11557553387697
Offices,FRD12,1100,410328.70296694135,1145.4299,-0.8013079125669914,48.56678505314007
Offices,FRD13,1100,215500.56144396277,1151.38,-0.03733243523954982,48.74487967159544
Other non-residential buildings,FRD11,1000,88.486333925277,1097.19,-0.9075703654007578,48.946019803336654
Other non-residential buildings,FRD11,1100,4496834.985702328,1147.255,-0.5065617552528335,49.09804555360946
Other non-residential buildings,FRD12,1100,3695373.127547519,1149.79,-1.42219337932261,49.08336509695118
Other non-residential buildings,FRD13,1100,1379441.1030569393,1145.51,0.6184964496452158,48.57993911634047
Single family- Terraced houses,FRD11,1000,102.55577213398647,1097.46,-0.9078376333773186,48.9459899746116
Single family- Terraced houses,FRD11,1100,58236161.06090701,1143.47,-0.22949872115999526,48.87189769740204
Single family- Terraced houses,FRD12,1000,94.31700829043984,1097.34,-1.616923749683104,49.627558121034795
Single family- Terraced houses,FRD12,1100,61315289.09016325,1144.8,-0.8226783970582967,48.566315089263675
Single family- Terraced houses,FRD13,1000,9613.868421291932,1096.35,-0.5260978992821798,48.82671965862706
Single family- Terraced houses,FRD13,1100,38898435.37242811,1148.69,0.12189458398936436,48.53263850151655
Sport,FRD11,1100,271195.97528264136,1153.15,-0.30772599316228366,49.1848622883278
Sport,FRD12,1100,67127.94733641576,1142.45,-1.6478772563936763,49.630032535470505
Sport,FRD13,1100,7911.703449959168,1147.375,-0.008575562625242785,48.750011581838834
Trade,FRD11,1100,5138456.532104322,1150.48,-0.3139080745953979,49.05768769898854
Trade,FRD12,1100,2924301.8024228173,1145.41,-1.3995139496035938,49.19152032578341
Trade,FRD13,1100,1389336.428337064,1150.35,-0.027147519346440333,48.744129283784275
