Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,4110723.668740804,3.0,42407248.50010908,12332171.006222412,17253930.22670353,10.316248893737793
Apartment Block_AB_1_Before1945,Apartment Block,1900,3219531.4837352033,4.0,34877818.4420209,12878125.934940813,7701971.755276886,10.833196885391756
Apartment Block_AB_2_Before1945,Apartment Block,1900,1005537.5677850473,6.0,19394003.505741693,6033225.406710284,3958836.9725751504,19.28719933205671
Apartment Block_AB_3_Before1945,Apartment Block,1900,844344.6381090122,7.0,18397373.411423724,5910412.466763085,3145039.4021218102,21.788938522338867
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1909467.552346127,3.0,18490582.717143424,5728402.657038381,8085407.893935945,9.683632850646973
Apartment Block_AB_1_1945to1969,Apartment Block,1955,1753525.817344833,4.0,21147266.50573415,7014103.269379332,4557963.884257553,12.0598546634204
Apartment Block_AB_2_1945to1969,Apartment Block,1955,646869.2681367227,5.0,9338706.212742545,3234346.340683614,1995998.047499127,14.436775207519533
Apartment Block_AB_3_1945to1969,Apartment Block,1955,437713.55053243635,8.0,10228181.042153025,3501708.404259491,2234884.0729325544,23.367293586665134
Apartment Block_AB_0_1970to1979,Apartment Block,1975,430295.6120140466,3.0,4212392.947884957,1290886.8360421397,1845740.1548649762,9.789532661437988
Apartment Block_AB_1_1970to1979,Apartment Block,1975,350777.23046025384,4.0,3828565.097569026,1403108.9218410153,783624.7978275978,10.914520000473168
Apartment Block_AB_2_1970to1979,Apartment Block,1975,121793.8961175148,6.0,2366421.117063274,730763.3767050888,371000.2034563147,19.429718503955197
Apartment Block_AB_3_1970to1979,Apartment Block,1975,2868.1833505380855,13.0,111523.29601423757,37286.38355699511,59393.42619247595,38.88290335180812
Apartment Block_AB_0_1980to1989,Apartment Block,1985,478780.59935812483,3.0,4687038.315079219,1436341.7980743744,2053715.0575840957,9.789532661437988
Apartment Block_AB_1_1980to1989,Apartment Block,1985,390302.2200362597,4.0,4259961.3868148355,1561208.8801450387,871922.3247936332,10.914520000473168
Apartment Block_AB_2_1980to1989,Apartment Block,1985,135517.42791046956,6.0,2633065.476680465,813104.5674628173,412803.88368683186,19.429718503955197
Apartment Block_AB_3_1980to1989,Apartment Block,1985,3191.3654364543963,13.0,124089.55382595722,41487.750673907154,66085.77776860505,38.88290335180812
Apartment Block_AB_0_1990to2000,Apartment Block,1995,269869.64153395145,3.0,2446720.463062356,809608.9246018543,1059799.9804032282,9.06630493580191
Apartment Block_AB_1_1990to2000,Apartment Block,1995,393129.08966140775,3.0,3960471.8204914276,1179387.2689842233,754336.2620479767,10.074227333068848
Apartment Block_AB_2_1990to2000,Apartment Block,1995,116226.22360906917,3.0,1181766.5423473387,348678.6708272075,361134.68984863866,10.167813301086426
Apartment Block_AB_3_1990to2000,Apartment Block,1995,41232.18771652152,6.0,749290.2262731664,247393.1262991291,176485.61771037002,18.17245864868164
Apartment Block_AB_0_2000to2010,Apartment Block,2005,127876.77270325797,3.0,1130772.6430524783,383630.3181097739,495259.44717789354,8.84267423354882
Apartment Block_AB_1_2000to2010,Apartment Block,2005,147885.00309791413,3.0,1396360.4545829117,443655.0092937424,274044.38413404895,9.442204586886923
Apartment Block_AB_2_2000to2010,Apartment Block,2005,51348.65629703392,3.0,500756.7673051548,154045.96889110177,176977.38312840645,9.752090968232022
Apartment Block_AB_3_2000to2010,Apartment Block,2005,23336.06900825915,5.0,360114.57395773754,116680.34504129575,83550.42157509484,15.431672482211336
Apartment Block_AB_0_Post2010,Apartment Block,2020,169797.06011969075,3.0,1472631.264150651,509391.1803590722,443651.68968440633,8.67289023209581
Apartment Block_AB_1_Post2010,Apartment Block,2020,83056.97500787822,3.0,794656.8853815434,249170.92502363466,327116.44351026876,9.567611694335938
Apartment Block_AB_2_Post2010,Apartment Block,2020,66165.38137453809,4.0,810486.8775961585,264661.52549815236,169709.06824693573,12.249409899238515
Apartment Block_AB_3_Post2010,Apartment Block,2020,5531.823796179587,7.0,117487.23196393513,38722.766573257104,30443.40375366529,21.238426293526324
SFH_0_Before1945_1900,Single family- Terraced houses,1900,19330578.842023913,1.0,52387044.63541875,19330578.842023913,20571013.096063867,2.7100608348846436
SFH_1_Before1945_1900,Single family- Terraced houses,1900,4338984.3318008315,1.0,15242695.688341726,4338984.3318008315,4707979.419912112,3.512963984826253
SFH_2_Before1945_1900,Single family- Terraced houses,1900,6019557.073020017,2.0,37793755.12099286,12039114.146040034,14046427.56457079,6.278494358062744
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,9351871.757780522,1.0,24825882.794702645,9351871.757780522,9414531.570208814,2.6546432027415405
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,2201980.5390407788,1.0,8012790.22503271,2201980.5390407788,2457934.8079644404,3.638901472091675
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,3106947.115044322,2.0,19506949.932605095,6213894.230088644,7249953.288760377,6.278494358062744
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,6212005.045510915,1.0,16391374.872306596,6212005.045510915,6490738.717848739,2.6386609077453613
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,1369927.4314594918,1.0,4128094.3555386127,1369927.4314594918,1239104.4786391887,3.013367176055908
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,1332275.5945255866,2.0,7885456.107989078,2664551.189051173,2900490.748407676,5.918787479400635
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,6911963.347672535,1.0,18238327.481272276,6911963.347672535,7222104.262376628,2.6386609077453613
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,1524288.555119872,1.0,4593241.09883591,1524288.555119872,1378724.691551912,3.013367176055908
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,1482394.1723959295,2.0,8773976.067113493,2964788.344791859,3227313.1776904818,5.918787479400635
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,7889974.11445843,1.0,21010309.658701308,7889974.11445843,7566077.795175425,2.662912368774414
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,1789715.4543726481,1.0,5317161.32965203,1789715.4543726481,1382464.9326283783,2.9709534645080566
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,1805902.395476167,2.0,10494462.84022492,3611804.790952334,3467996.050965363,5.811201572418213
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,10889605.025939634,1.0,28510920.521931496,10889605.025939634,10952652.373818362,2.618177652359009
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,2151918.340017036,1.0,5978745.113890887,2151918.340017036,1462051.6640337263,2.7783327102661133
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,1567383.3718442474,2.0,8697234.072761675,3134766.743688495,3095864.430339345,5.548887546591842
SFH_0_Post2010_2020,Single family- Terraced houses,2020,9233579.232003247,1.0,24175150.79651716,9233579.232003247,9287038.717505174,2.618177652359009
SFH_1_Post2010_2020,Single family- Terraced houses,2020,1861525.9688432463,1.0,5187623.616853208,1861525.9688432463,1411964.6842701568,2.7867586612701416
SFH_2_Post2010_2020,Single family- Terraced houses,2020,1374048.6212078326,2.0,7624441.282631833,2748097.242415665,2713993.480069189,5.548887546591842
0_Trade_1900,Trade,1900,1227621.802163157,4.0,13543031.897091476,4910487.208652628,2728619.00124081,11.031925201416016
0_Trade_1955,Trade,1955,629155.2549459373,4.0,7045717.437950163,2516621.0197837492,739291.1962782702,11.198694412169528
0_Trade_1975,Trade,1975,228653.17696133666,3.0,2220847.3188749645,685959.53088401,241624.5159993158,9.712733268737793
0_Trade_1985,Trade,1985,254417.43316479478,3.0,2471088.6672465764,763252.2994943843,268850.3609141913,9.712733268737793
0_Trade_1995,Trade,1995,572610.960752218,3.0,4346237.449532755,1717832.882256654,512817.58337305614,7.590210015929946
0_Trade_2005,Trade,2005,520632.61032071593,2.0,3319218.33875442,1041265.2206414319,561664.708625456,6.375356197357177
0_Trade_2020,Trade,2020,459201.293085456,2.0,2989228.1354286526,918402.586170912,599075.7137665851,6.509624821270628
0_Other non-residential buildings_1900,Other non-residential buildings,1900,1639729.6408019653,4.0,18289170.602338776,6558918.563207861,2619776.9180776966,11.153772028780207
0_Other non-residential buildings_1955,Other non-residential buildings,1955,812533.4100012922,4.0,9463070.01255524,3250133.640005169,2048431.88778751,11.646376501047742
0_Other non-residential buildings_1975,Other non-residential buildings,1975,237023.54394831913,3.0,2094560.7574392806,711070.6318449574,524881.304126903,8.836931228637695
0_Other non-residential buildings_1985,Other non-residential buildings,1985,263730.9590548615,3.0,2330572.348030475,791192.8771645845,584024.0485035421,8.836931228637695
0_Other non-residential buildings_1995,Other non-residential buildings,1995,404417.03413881763,3.0,3323353.6612993786,1213251.102416453,498689.5770306535,8.217640160425649
0_Other non-residential buildings_2005,Other non-residential buildings,2005,570022.9678943759,3.0,4883596.12408361,1710068.9036831278,621063.4989237678,8.567367280169893
0_Other non-residential buildings_2020,Other non-residential buildings,2020,745650.1754153972,2.0,5587168.053830004,1491300.3508307943,801004.7567571623,7.4930151404006935
0_Health_1900,Health,1900,101255.70670207049,5.0,1391059.051078505,506278.5335103524,163954.93938292723,13.738080513046881
0_Health_1955,Health,1955,53127.972260199414,5.0,729876.3604055409,265639.8613009971,86025.70418167573,13.738080513046881
0_Health_1975,Health,1975,15955.59657439768,3.0,160636.25709033545,47866.78972319304,22001.010608374345,10.067706108093262
