Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,10362712.627362648,3.0,97153563.68248811,31088137.882087942,36633507.775037155,9.3753023147583
Apartment Block_AB_1_Before1945,Apartment Block,1900,8340987.673771209,4.0,96446679.08918144,33363950.695084836,24415389.375466604,11.562980651855469
Apartment Block_AB_2_Before1945,Apartment Block,1900,8467757.846266028,4.0,99091269.37001938,33871031.38506411,16424836.307700738,11.702185061151107
Apartment Block_AB_3_Before1945,Apartment Block,1900,3887296.103634931,6.0,70755116.55978635,23323776.621809587,14116825.346488373,18.201627731323242
Apartment Block_AB_0_1945to1969,Apartment Block,1955,7055449.019467466,3.0,69545825.8764361,21166347.058402397,22869550.990683176,9.857037544250488
Apartment Block_AB_1_1945to1969,Apartment Block,1955,6773155.178695464,3.0,69656241.55887917,20319465.53608639,16567207.449944519,10.284164428710938
Apartment Block_AB_2_1945to1969,Apartment Block,1955,2321040.8445747816,5.0,37217850.63426584,11605204.222873908,8512900.462441435,16.034983064283047
Apartment Block_AB_3_1945to1969,Apartment Block,1955,1782686.2867997193,6.0,30282756.29934619,10696117.720798315,4772042.902884103,16.98714828491211
Apartment Block_AB_0_1970to1979,Apartment Block,1975,869527.5025913323,3.0,7813063.291910396,2608582.507773997,3000458.7573272027,8.985412501187376
Apartment Block_AB_1_1970to1979,Apartment Block,1975,825722.9376787954,3.0,8478485.823171,2477168.8130363864,1517435.167230172,10.26795482635498
Apartment Block_AB_2_1970to1979,Apartment Block,1975,740407.8061947498,3.0,7622912.200497924,2221223.4185842494,2018235.1613248999,10.29555892944336
Apartment Block_AB_3_1970to1979,Apartment Block,1975,200995.06325357835,6.0,3346538.284248512,1205970.37952147,887949.616795409,16.64985313607663
Apartment Block_AB_0_1980to1989,Apartment Block,1985,967504.4021491472,3.0,8693426.150024766,2902513.2064474416,3338545.4140665457,8.985412501187376
Apartment Block_AB_1_1980to1989,Apartment Block,1985,918764.0123848156,3.0,9433827.375247935,2756292.037154447,1688417.2149769492,10.26795482635498
Apartment Block_AB_2_1980to1989,Apartment Block,1985,823835.7150799497,3.0,8481849.152785731,2471507.145239849,2245646.511852493,10.29555892944336
