Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FRE21,1000,1171.012558573857,1099.22,4.125429317759705,49.91596460651597
Apartment Block,FRE21,1100,20487677.730951447,1133.74,3.2685560000011753,49.85229749999424
Apartment Block,FRE22,1100,19041313.86673993,1141.36,2.480992305156466,49.26663295710625
Apartment Block,FRE23,1100,14645108.39661091,1113.98,2.298881882315344,49.87412916097514
Education,FRE21,1100,387601.5328421642,1135.52,3.1944984012794486,49.61080895212988
Education,FRE22,1100,473916.5145783879,1140.37,1.874190848882656,49.26256650120935
Education,FRE23,1100,582661.2352239823,1117.26,1.8444516299574036,50.103578925745
Health,FRE21,1100,209433.77605820232,1134.42,3.2353461657329885,49.62562890629998
Health,FRE22,1100,332817.1815334321,1141.14,2.496044600300531,49.353607771277616
Health,FRE23,1100,361616.8336793958,1118.68,1.8314627552855212,50.101644731607344
Hotels and Restaurants,FRE21,1100,61619.73459652788,1140.38,3.586738928759992,49.5307645242321
Hotels and Restaurants,FRE22,1100,69337.01047715527,1139.97,2.638498660979548,49.22468008000662
Hotels and Restaurants,FRE23,1100,66129.07914035046,1125.65,2.937592495842802,49.930419581340914
Industrial,FRE21,1000,34271.34155776282,1099.64,4.12475123832644,49.91494289483256
Industrial,FRE21,1100,13022841.946948,1140.62,3.7636711353805468,49.741988154245966
Industrial,FRE22,1100,21256757.58469911,1138.955,2.7340475534775637,49.538468418086595
Industrial,FRE23,1100,14291204.520284027,1124.84,3.0394128624775876,50.033138077108255
Offices,FRE21,1000,1860.370402995497,1096.77,4.133669043238976,49.918677685375116
Offices,FRE21,1100,334421.39669619757,1140.1,3.779896830226129,49.48162940837871
Offices,FRE22,1100,627869.5859403408,1139.165,2.561304582687333,49.16350113561754
Offices,FRE23,1100,560116.7374218886,1121.64,2.173472589587103,49.77547336338745
Other non-residential buildings,FRE21,1000,3912.0143331203144,1093.16,4.120763237977262,49.97355877680025
Other non-residential buildings,FRE21,1100,3041219.386324378,1135.17,3.3954716838509293,49.87468277179653
Other non-residential buildings,FRE22,1100,6456944.330517424,1138.77,2.963815544627633,49.692628818786055
Other non-residential buildings,FRE23,1100,4313058.047398662,1115.88,2.3816945959596048,49.84716347530708
Single family- Terraced houses,FRE21,1000,375840.21376061894,1096.85,4.1408858838530955,49.91988175258722
Single family- Terraced houses,FRE21,1100,44373674.82555841,1138.8,2.99391684820852,49.32062872643286
Single family- Terraced houses,FRE22,1000,328.97883433662355,1099.07,1.7557829521361998,49.716901886757896
Single family- Terraced houses,FRE22,1100,51079971.944813415,1139.09,2.5321407414860184,49.19908487856074
Single family- Terraced houses,FRE23,1000,5882.787297236762,1096.17,2.274062178603879,50.20025541355408
Single family- Terraced houses,FRE23,1100,49501070.82296352,1122.12,2.3736790921039925,49.78139430108755
Sport,FRE21,1100,21700.77438155352,1134.49,3.139855171710894,49.5692738375312
Sport,FRE22,1100,77876.15450377436,1142.32,2.4748465479499973,49.255523895094385
Sport,FRE23,1100,71153.83086673182,1118.62,2.217592381794897,49.81653242154747
Trade,FRE21,1000,953.86277346313,1097.14,4.1366426836390415,49.918865623479434
Trade,FRE21,1100,2461615.73753218,1138.14,3.4670275000137294,49.80130109999132
Trade,FRE22,1100,6018431.6415472515,1143.075,2.575560251862876,49.13385396215564
Trade,FRE23,1100,2953822.0750739314,1116.9,2.3636517086706017,49.86538067849078
