Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,2081389.216301717,3.0,19250015.717289373,6244167.6489051515,7937484.215192972,9.248638153076172
Apartment Block_AB_1_Before1945,Apartment Block,1900,2327999.545231009,4.0,25762409.282544848,9311998.180924036,4961856.761265206,11.066329173182217
Apartment Block_AB_2_Before1945,Apartment Block,1900,1336041.5213853365,4.0,14914341.222698817,5344166.085541346,3385958.2729711807,11.163082122802734
Apartment Block_AB_3_Before1945,Apartment Block,1900,584884.242690549,7.0,11712023.904704986,4094189.698833843,2279296.753635699,20.024516049240862
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1092086.4823127515,3.0,10100312.706776459,3276259.4469382544,4164727.647808911,9.248638153076172
Apartment Block_AB_1_1945to1969,Apartment Block,1955,1221480.737127292,4.0,13517307.915751869,4885922.948509168,2603442.284465242,11.066329173182217
Apartment Block_AB_2_1945to1969,Apartment Block,1955,701009.1499878236,4.0,7825422.710150214,2804036.5999512943,1776582.3088855818,11.163082122802734
Apartment Block_AB_3_1945to1969,Apartment Block,1955,306883.58052273456,7.0,6145195.183425998,2148185.063659142,1195926.8138458796,20.024516049240862
Apartment Block_AB_0_1970to1979,Apartment Block,1975,216748.45353315154,3.0,1951846.927544678,650245.3605994546,813319.5520371479,9.005125045776367
Apartment Block_AB_1_1970to1979,Apartment Block,1975,309191.17931135016,3.0,3060952.4552299185,927573.5379340504,663604.3543160012,9.899869918823242
Apartment Block_AB_2_1970to1979,Apartment Block,1975,162916.09285704946,3.0,1683828.1813047447,488748.27857114834,396207.5201344053,10.33555465132728
Apartment Block_AB_3_1970to1979,Apartment Block,1975,66442.65786537783,6.0,1102303.6006270477,398655.947192267,271928.20659874636,16.590299606323242
Apartment Block_AB_0_1980to1989,Apartment Block,1985,241171.30548187264,3.0,2171777.7633173945,723513.9164456179,904963.0340671838,9.005125045776367
Apartment Block_AB_1_1980to1989,Apartment Block,1985,344030.3224428448,3.0,3405855.4403149798,1032090.9673285345,738378.1791521148,9.899869918823242
Apartment Block_AB_2_1980to1989,Apartment Block,1985,181273.20475821118,3.0,1873559.114599732,543819.6142746336,440851.5184996924,10.33555465132728
Apartment Block_AB_3_1980to1989,Apartment Block,1985,73929.30503482331,6.0,1226509.32021498,443575.83020893985,302568.62050798174,16.590299606323242
Apartment Block_AB_0_1990to2000,Apartment Block,1995,130542.10471423995,3.0,1141908.5675345354,391626.31414271984,492101.34331108135,8.747434937058836
Apartment Block_AB_1_1990to2000,Apartment Block,1995,190050.88356245405,3.0,1748560.709561591,570152.6506873622,364706.4172170606,9.20048713684082
Apartment Block_AB_2_1990to2000,Apartment Block,1995,70377.17999278984,3.0,651790.5801710878,211131.53997836952,161487.29147922096,9.261390982671712
Apartment Block_AB_3_1990to2000,Apartment Block,1995,37911.4890112687,5.0,570106.9342487415,189557.44505634348,145016.07044090494,15.0378407474126
Apartment Block_AB_0_2000to2010,Apartment Block,2005,80832.78999317955,3.0,695637.350344899,242498.36997953866,293427.147455836,8.605880737304688
Apartment Block_AB_1_2000to2010,Apartment Block,2005,92540.37133071064,3.0,837939.3711900093,277621.1139921319,135806.9976349926,9.054852051495162
Apartment Block_AB_2_2000to2010,Apartment Block,2005,34399.15374633985,3.0,312402.57611915347,103197.46123901955,87101.0865239114,9.081693649291992
Apartment Block_AB_3_2000to2010,Apartment Block,2005,14192.66811888338,5.0,211043.06484276158,70963.3405944169,62682.383471647496,14.86986541748047
Apartment Block_AB_0_Post2010,Apartment Block,2020,60548.4790658668,3.0,521072.9896660392,181645.4371976004,219794.0649652918,8.605880737304688
Apartment Block_AB_1_Post2010,Apartment Block,2020,75813.32554240471,3.0,676319.0008057394,227439.97662721414,130643.47452427242,8.920845985412598
Apartment Block_AB_2_Post2010,Apartment Block,2020,30304.7586531913,3.0,275218.534204014,90914.2759595739,76733.78900545558,9.081693649291992
Apartment Block_AB_3_Post2010,Apartment Block,2020,12552.027068470841,5.0,178955.07549979386,62760.1353423542,49647.30163538091,14.257065773010254
SFH_0_Before1945_1900,Single family- Terraced houses,1900,19497348.736763608,1.0,52135060.32452971,19497348.736763608,16020870.206738725,2.6739563941955566
SFH_1_Before1945_1900,Single family- Terraced houses,1900,7128941.451631617,1.0,20831497.066508144,7128941.451631617,5393743.472188407,2.9221024198116248
SFH_2_Before1945_1900,Single family- Terraced houses,1900,8163699.311581739,2.0,49681393.091174774,16327398.623163478,15533807.45683923,6.085647106170654
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,12899507.40482632,1.0,34003198.87658755,12899507.40482632,9936058.717685066,2.63600754737854
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,1470714.4942048353,2.0,8570167.743825141,2941428.9884096705,2148137.5487100356,5.827213764190674
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,3169135.6199377235,2.0,19099076.091723226,6338271.239875447,6080894.644236897,6.026588439941406
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,5978581.205626665,1.0,15656170.444466833,5978581.205626665,4858336.015400313,2.618710009279832
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,2173648.3171258536,1.0,5907211.583726022,2173648.3171258536,1457563.8999892138,2.7176482677459717
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,1326571.0992518135,2.0,7735152.384671214,2653142.198503627,2455731.501003259,5.830936908721924
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,6652237.701293859,1.0,17420281.45248689,6652237.701293859,5405765.163277086,2.618710009279832
