Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FRF21,1000,924419.4478306806,1068.2,4.767604792583716,49.85167634338326
Apartment Block,FRF21,1100,6326217.436898237,1109.3,4.954180719871643,49.699064462027344
Apartment Block,FRF22,1100,743859.8247747468,1193.49,4.534842875651992,48.058152590487055
Apartment Block,FRF22,1200,10467070.638739932,1203.58,4.085760622679874,48.273760663524286
Apartment Block,FRF23,1100,25041245.79187017,1168.03,3.9307881769432016,49.0050080431899
Apartment Block,FRF23,1200,31767.849908152653,1203.32,3.813864177193447,48.58446369472721
Apartment Block,FRF24,1100,1885676.5173919573,1190.59,5.124590656039482,48.10277356330107
Apartment Block,FRF24,1200,516399.679199647,1208.72,5.3353370892220084,47.86551467393608
Education,FRF21,1000,73065.99782096769,1079.0449,4.745517808949596,49.81700466182103
Education,FRF21,1100,195680.20237258828,1112.69,4.8298114670117185,49.671648046422106
Education,FRF22,1100,14834.56518817856,1196.53,4.363183852069789,47.991760693130765
Education,FRF22,1200,239379.78106154047,1205.16,4.054281747575259,48.29466591735717
Education,FRF23,1100,1555693.7483004618,1169.12,4.030987547551987,49.235001619687594
Education,FRF23,1200,1762.951284300536,1203.04,3.8106813586598154,48.58493490236735
Education,FRF24,1100,81401.68992272008,1177.845,5.102117190548398,48.525772756017204
Education,FRF24,1200,21534.650454093935,1210.69,5.33033668017839,47.846697542662376
Health,FRF21,1000,14153.785693194717,1059.9,4.710473289244764,49.99022981961398
Health,FRF21,1100,106914.00243257443,1153.55,4.361994188774884,49.5118397635899
Health,FRF22,1100,25991.648250224534,1197.39,3.7162392672406996,48.51620970806554
Health,FRF22,1200,161369.86001206748,1204.24,4.06891962075769,48.27885111291166
Health,FRF23,1100,633805.0515900952,1169.88,4.018069733706211,49.229936021894204
Health,FRF24,1100,66225.64008444059,1191.84,5.13884641595324,48.120932948806995
Health,FRF24,1200,7458.736999330926,1205.35,5.336845847876747,47.86630147725867
Hotels and Restaurants,FRF21,1000,19627.088177461643,1072.995,4.740057575185644,49.8172449667133
Hotels and Restaurants,FRF21,1100,21195.452219840372,1116.355,4.403421030638627,49.703579781483164
Hotels and Restaurants,FRF22,1100,4899.564036227763,1192.5149,4.322570234279803,48.24093768626574
Hotels and Restaurants,FRF22,1200,59154.411665833904,1204.73,4.057033528047966,48.3079037200625
Hotels and Restaurants,FRF23,1100,203316.66633331246,1171.91,4.034975070372603,49.21450533201544
Hotels and Restaurants,FRF24,1100,15054.480617241701,1177.8049,4.963243582880154,48.62380800392472
Hotels and Restaurants,FRF24,1200,5664.08742584195,1210.52,5.325827939065955,47.84288355188525
Industrial,FRF21,1000,1920993.3632669272,1075.62,4.856003827446447,50.11190609347524
Industrial,FRF21,1100,5173441.883425632,1113.53,4.733831598257443,49.73495627378566
Industrial,FRF22,1100,2159861.0124217905,1192.08,3.4873501086799745,48.48767547461592
Industrial,FRF22,1200,5701432.090776173,1206.33,4.541319418268687,48.34559021155082
