Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,5542264.500490348,3.0,49314144.44894876,16626793.501471044,20190756.19823611,8.897833086924258
Apartment Block_AB_1_Before1945,Apartment Block,1900,3850442.190970689,3.0,40176009.60849754,11551326.572912067,10177533.790601937,10.434128761291504
Apartment Block_AB_2_Before1945,Apartment Block,1900,4762178.31032128,4.0,50461284.421258055,19048713.24128512,10752989.517420206,10.596261024475098
Apartment Block_AB_3_Before1945,Apartment Block,1900,2011285.0592097284,6.0,37262879.667758316,12067710.35525837,7890665.52341079,18.526901245117188
Apartment Block_AB_0_1945to1969,Apartment Block,1955,2903337.0101382677,3.0,25878623.131892677,8710011.030414803,10181274.205985846,8.9134065530547
Apartment Block_AB_1_1945to1969,Apartment Block,1955,2012792.2740707407,3.0,21001733.75738685,6038376.822212222,5320236.057784621,10.434128761291504
Apartment Block_AB_2_1945to1969,Apartment Block,1955,2497579.2527370057,4.0,26465001.69131477,9990317.010948023,5639529.176259539,10.596261024475098
Apartment Block_AB_3_1945to1969,Apartment Block,1955,1059864.1726575352,6.0,19551260.34537462,6359185.035945211,4107598.0734042637,18.446949005126953
Apartment Block_AB_0_1970to1979,Apartment Block,1975,299141.442685121,3.0,2540908.1148237204,897424.3280553629,1011640.9325999828,8.494002342224121
Apartment Block_AB_1_1970to1979,Apartment Block,1975,137811.95048550132,3.0,1273323.7741812982,413435.85145650397,371166.0218522577,9.239574432373047
Apartment Block_AB_2_1970to1979,Apartment Block,1975,241990.1733248018,3.0,2356922.153026685,725970.5199744054,507326.66946303676,9.739743232727053
Apartment Block_AB_3_1970to1979,Apartment Block,1975,25794.18697869999,7.0,516867.0209402647,180559.30885089992,145623.22395723872,20.03812026977539
Apartment Block_AB_0_1980to1989,Apartment Block,1985,332848.19836127217,3.0,2827213.3764857245,998544.5950838166,1125630.9349248512,8.494002342224121
Apartment Block_AB_1_1980to1989,Apartment Block,1985,153340.36975958437,3.0,1416799.7598812848,460021.1092787531,412988.3862213165,9.239574432373047
Apartment Block_AB_2_1980to1989,Apartment Block,1985,269257.2198933857,3.0,2622496.1853195033,807771.6596801572,564491.3870698381,9.739743232727053
Apartment Block_AB_3_1980to1989,Apartment Block,1985,28700.632673926444,7.0,575106.7293387833,200904.4287174851,162031.80441550314,20.03812026977539
Apartment Block_AB_0_1990to2000,Apartment Block,1995,802826.270136972,3.0,6819208.218942495,2408478.810410916,2715009.6935650324,8.494002342224121
Apartment Block_AB_1_1990to2000,Apartment Block,1995,347727.4120854821,3.0,3201513.93624352,1043182.2362564462,916592.2430884605,9.206964492797852
Apartment Block_AB_2_1990to2000,Apartment Block,1995,627689.7951479837,3.0,5911750.839451412,1883069.385443951,1149867.9976222685,9.418268203735352
Apartment Block_AB_3_1990to2000,Apartment Block,1995,89116.27838353721,6.0,1486304.532693227,534697.6703012233,345909.38594392553,16.678260803222656
Apartment Block_AB_0_2000to2010,Apartment Block,2005,431093.75839257956,3.0,3643906.528835751,1293281.2751777386,1393127.8134810398,8.452700735967031
Apartment Block_AB_1_2000to2010,Apartment Block,2005,140637.2272457944,3.0,1267976.130028987,421911.6817373832,416192.2094243988,9.015935217585886
Apartment Block_AB_2_2000to2010,Apartment Block,2005,316488.0156378897,3.0,2932584.805013263,949464.0469136691,590232.5535285482,9.266021650464594
Apartment Block_AB_3_2000to2010,Apartment Block,2005,37287.4091078181,6.0,683048.6107019158,223724.4546469086,223598.4835888219,18.318478731704104
Apartment Block_AB_0_Post2010,Apartment Block,2020,311796.9772322263,3.0,2635526.538923135,935390.9316966789,1007606.8898820919,8.452700735967031
Apartment Block_AB_1_Post2010,Apartment Block,2020,103914.44008831085,3.0,934696.4257219682,311743.3202649325,279469.7928048986,8.994865631067482
Apartment Block_AB_2_Post2010,Apartment Block,2020,255624.81182632982,3.0,2352052.1699334728,766874.4354789895,425659.9140373523,9.201188856156282
Apartment Block_AB_3_Post2010,Apartment Block,2020,28461.53144115594,6.0,497869.21031500323,170769.18864693565,150704.10726155902,17.492706298828125
SFH_0_Before1945_1900,Single family- Terraced houses,1900,59217403.39418147,1.0,158800345.27148774,59217403.39418147,54368503.80319644,2.681649923324585
SFH_1_Before1945_1900,Single family- Terraced houses,1900,17009183.20358664,1.0,52048042.85542778,17009183.20358664,14737283.902562814,3.0599966049194336
SFH_2_Before1945_1900,Single family- Terraced houses,1900,23765982.928719264,2.0,147362054.00936124,47531965.85743853,50631797.39385773,6.200545310974121
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,29702950.90033516,1.0,79329634.78572582,29702950.90033516,27087789.40926326,2.6707661151885986
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,8744304.125528516,1.0,27019855.21645761,8744304.125528516,7843209.643020437,3.0899949073791504
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,12420808.881140528,2.0,77015788.26646163,24841617.762281056,26461681.83423947,6.200545310974121
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,17531128.887228653,1.0,44885215.945974976,17531128.887228653,14621175.13612593,2.5603152104296973
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,3612173.8831315706,1.0,15386809.171057837,3612173.8831315706,5435078.814840944,4.259708881378174
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,2172040.871451211,2.0,13723182.76969532,4344081.742902422,4387213.781140016,6.318105220794678
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,19506507.065607425,1.0,49942806.742429055,19506507.065607425,16268664.609961132,2.5603152104296973
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,4019187.573530364,1.0,17120569.002892084,4019187.573530364,6047494.3733408265,4.259708881378174
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,2416782.7912449343,2.0,15269487.970891353,4833565.582489869,4881557.666402309,6.318105220794678
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,29961451.913459618,1.0,77842840.19892712,29961451.913459618,23173049.494596437,2.5980997324084183
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,4830612.266713754,2.0,22116272.60203101,9661224.533427509,8137992.607169536,4.578358059169303
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,6062054.52539664,2.0,39015564.2478158,12124109.05079328,12893323.941023119,6.43602991104126
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,33573621.43539216,1.0,89598259.03799805,33573621.43539216,30350442.426741887,2.6687099933624268
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,7632902.193140962,1.0,21003512.80294176,7632902.193140962,5641021.184593829,2.7517073154449463
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,7825287.3833740465,2.0,43987629.237913996,15650574.766748093,15353311.50702397,5.6212158203125
SFH_0_Post2010_2020,Single family- Terraced houses,2020,29250832.673925105,1.0,77564377.79014346,29250832.673925105,25689804.903567467,2.651698112487793
SFH_1_Post2010_2020,Single family- Terraced houses,2020,6739242.205256413,1.0,18397237.990024608,6739242.205256413,4969735.648216049,2.729867458343506
SFH_2_Post2010_2020,Single family- Terraced houses,2020,5882368.324849291,2.0,32795759.026208594,11764736.649698582,11418688.12729187,5.5752644538879395
0_Other non-residential buildings_1900,Other non-residential buildings,1900,7244734.814629611,2.0,51588886.50533439,14489469.629259221,13148237.989172015,7.120879897654596
0_Other non-residential buildings_1955,Other non-residential buildings,1955,3689094.1947943126,2.0,26750468.38978321,7378188.389588625,5461157.111274374,7.2512294284951695
0_Other non-residential buildings_1975,Other non-residential buildings,1975,786254.9921520528,2.0,4220023.705393818,1572509.9843041056,927391.774364749,5.367245674133301
0_Other non-residential buildings_1985,Other non-residential buildings,1985,874848.8849999916,2.0,4695528.893536546,1749697.7699999833,1031888.7229453202,5.367245674133301
0_Other non-residential buildings_1995,Other non-residential buildings,1995,2689803.9069163464,2.0,15546575.115709256,5379607.813832693,3471848.8344640397,5.779817285466066
0_Other non-residential buildings_2005,Other non-residential buildings,2005,2567702.9244945166,2.0,13400913.720618378,5135405.848989033,2155545.5460474435,5.2190281020365745
0_Other non-residential buildings_2020,Other non-residential buildings,2020,2195077.821342132,2.0,11105226.831004186,4390155.642684264,2256710.898429169,5.059149485740846
0_Hotels and Restaurants_1900,Hotels and Restaurants,1900,225101.44934415724,3.0,2236485.607609584,675304.3480324717,624938.4832989896,9.935456275939941
0_Hotels and Restaurants_1955,Hotels and Restaurants,1955,116438.08855918421,3.0,1156865.5377337974,349314.2656775526,323261.5457360171,9.935456275939941
0_Hotels and Restaurants_1975,Hotels and Restaurants,1975,25400.0897605129,2.0,162378.59849766578,50800.1795210258,49696.190492015,6.39283561706543
0_Hotels and Restaurants_1985,Hotels and Restaurants,1985,28262.129242655516,2.0,180675.14643655458,56524.25848531103,55295.87382547087,6.39283561706543
0_Hotels and Restaurants_1995,Hotels and Restaurants,1995,70949.91205762001,2.0,473850.4331987041,141899.82411524002,175191.79637085748,6.678661318337922
0_Hotels and Restaurants_2005,Hotels and Restaurants,2005,53152.69905426315,2.0,276598.12777210627,106305.3981085263,119780.20451244891,5.203839742733093
0_Hotels and Restaurants_2020,Hotels and Restaurants,2020,54522.75436118665,2.0,278091.208566396,109045.5087223733,94948.86311269643,5.100461483001709
0_Offices_1900,Offices,1900,661244.220041673,4.0,7892062.92314817,2644976.880166692,1608988.3991362182,11.935171127319336
0_Offices_1955,Offices,1955,346355.19630038954,4.0,4133808.5386814303,1385420.7852015581,842777.1100861242,11.935171127319336
0_Offices_1975,Offices,1975,74646.27066489568,2.0,515878.53856689244,149292.54132979136,142352.3901855692,6.910975377226682
0_Offices_1985,Offices,1985,83057.2871554658,2.0,574006.8664306701,166114.5743109316,158392.41858428155,6.910975377226682
0_Offices_1995,Offices,1995,116475.9105392031,3.0,896554.1867201838,349427.73161760933,218661.3132462002,7.697335720062256
0_Offices_2005,Offices,2005,163192.4267692872,2.0,1124321.0800098593,326384.8535385744,300347.39678937773,6.889542010422853
0_Offices_2020,Offices,2020,129837.73767449046,2.0,840547.8417226502,259675.47534898092,207207.04141071942,6.473833084106445
0_Sport_1900,Sport,1900,158334.3610060694,3.0,1474446.7238086488,475003.0830182082,398161.9293672386,9.312234656077774
0_Sport_1955,Sport,1955,82798.47838458109,3.0,771038.8598834025,248395.43515374325,208212.5553341683,9.312234656077774
0_Sport_1975,Sport,1975,32097.331367817813,2.0,205835.38365729403,64194.662735635626,35813.381938700535,6.412850379943848
0_Sport_1985,Sport,1985,35714.00479347323,2.0,229028.5692091412,71428.00958694646,39848.77370558161,6.412850379943848
0_Sport_1995,Sport,1995,68469.65231261963,2.0,475604.1750990105,136939.30462523925,85265.23931965449,6.946204033978306
0_Sport_2005,Sport,2005,51121.508216644674,2.0,315890.7393092882,102243.01643328935,29483.861390860755,6.179214000701904
0_Sport_2020,Sport,2020,35625.9638740467,2.0,217833.09566734682,71251.9277480934,21310.851181145135,6.114447778521353
0_Trade_1900,Trade,1900,3440368.1289815423,3.0,30654487.47577852,10321104.386944627,3177422.1507544797,8.91023469771917
0_Trade_1955,Trade,1955,1780599.1296005838,3.0,16044015.356955418,5341797.388801752,1964434.5034163382,9.010458946228027
0_Trade_1975,Trade,1975,482333.62729906786,3.0,3787144.608898932,1447000.8818972036,609235.9632456319,7.8517117500305185
0_Trade_1985,Trade,1985,536682.1708637075,3.0,4213873.707002459,1610046.5125911226,677883.6490290452,7.8517117500305185
0_Trade_1995,Trade,1995,1511203.8593257954,3.0,11397415.640939623,4533611.577977386,1738093.3992495984,7.541944503784179
