Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FRG01,1200,45958909.97639081,1238.08,-1.5412906190758977,47.21508387665735
Apartment Block,FRG01,1300,2614491.4746833104,1306.0,-2.098719936577735,47.11225202437976
Apartment Block,FRG02,1200,22987984.65508846,1224.21,-0.5964324532846974,47.46627705022489
Apartment Block,FRG03,1100,6373894.39917773,1183.14,-0.7703493152964627,48.06421869224841
Apartment Block,FRG03,1200,542609.3102048225,1206.54,-0.7033646749142487,47.82183800077205
Apartment Block,FRG04,1100,14747323.71707642,1194.81,0.2252787969888812,47.96938041554123
Apartment Block,FRG04,1200,2407394.8676143475,1213.59,0.4139832499993285,47.69013099998698
Apartment Block,FRG05,1200,5976959.918579912,1278.92,-1.4402011618825288,46.64776387681478
Apartment Block,FRG05,1300,4293687.340331042,1344.535,-1.7745721132683014,46.49191764812146
Education,FRG01,1100,362.3715234529227,1199.96,-1.4734023264190992,47.82869023212184
Education,FRG01,1200,2989381.7519171443,1237.82,-1.5731773026036449,47.216597471554905
Education,FRG01,1300,151245.546922337,1306.175,-2.0917319143134083,47.11717439303683
Education,FRG02,1200,1244090.5830882294,1224.5,-0.5980123374145103,47.52658194598527
Education,FRG03,1100,375214.5318297923,1175.01,-0.9715678839013474,48.11512781457272
Education,FRG03,1200,51145.70512160007,1206.25,-0.6818549673027081,47.83322007537743
Education,FRG04,1100,844290.803448393,1195.1,0.1785439116347025,48.02064526250846
Education,FRG04,1200,135526.2137358334,1206.34,-0.0997448506051429,47.87299370039002
Education,FRG05,1200,315424.11200037034,1265.24,-1.3712017700234966,46.90891502623885
Education,FRG05,1300,149178.61271010543,1315.335,-1.9981852126339728,46.97409665731936
Health,FRG01,1200,774470.4841716487,1238.905,-1.5582443616207788,47.20993587588066
Health,FRG01,1300,3733.1202388945967,1307.89,-2.5140290276437214,47.29187604251232
Health,FRG02,1200,407572.9564874027,1250.03,-0.8955934992134882,47.04230783453024
Health,FRG03,1100,107130.09361523698,1169.67,-0.6061422126929891,48.3050886202228
Health,FRG03,1200,71633.09339605016,1206.45,-0.7003871428418462,47.82798924037182
Health,FRG04,1100,429217.71382156713,1195.2,0.1756694535540513,48.01633747314708
Health,FRG04,1200,35310.091179471,1206.685,0.7430800644229885,47.918433448207786
Health,FRG05,1200,149324.12364612613,1279.2,-1.4305908811161625,46.64570557969012
Health,FRG05,1300,17985.861037833616,1306.6,-1.1729211515499465,46.45065817978707
Hotels and Restaurants,FRG01,1200,561982.1898109473,1237.11,-1.5286873902955134,47.22203845376357
Hotels and Restaurants,FRG01,1300,55557.5425251252,1306.425,-2.0755745499958245,47.11885764998789
Hotels and Restaurants,FRG02,1200,302307.7530026211,1249.03,-0.839579679351628,47.040086167301816
Hotels and Restaurants,FRG03,1100,104681.06247282136,1183.22,-0.7616820211271872,48.07554071435776
Hotels and Restaurants,FRG03,1200,830.0939062573016,1205.415,-0.6965997686741305,47.83194695476096
Hotels and Restaurants,FRG04,1100,166346.14240295324,1194.64,0.1980085819843622,47.99421985491421
Hotels and Restaurants,FRG04,1200,51367.24767246157,1206.975,-0.3205757583279019,47.84071271492395
Hotels and Restaurants,FRG05,1200,109671.70765117454,1265.36,-1.3726342466096983,46.90886797832805
Hotels and Restaurants,FRG05,1300,133400.11770065696,1331.19,-1.9752037704631635,46.73357354856154
Industrial,FRG01,1200,30654255.79961733,1242.54,-1.4827119511309914,47.18710638200978
Industrial,FRG01,1300,611750.4520135504,1307.07,-2.06643299992354,47.11504173335656
Industrial,FRG02,1200,14404741.854881069,1230.72,-0.507538200329311,47.40027471884676
Industrial,FRG03,1100,5390740.316294716,1178.6,-0.3942994098416896,48.151194989482086
Industrial,FRG03,1200,1142223.6047774742,1206.01,-0.6956234739274406,47.83457193790161
Industrial,FRG04,1100,9960946.731598234,1194.595,0.1812517968204608,47.977666864596905
Industrial,FRG04,1200,3076875.857859917,1209.525,0.3999270000194131,47.717150249975184
Industrial,FRG05,1200,12496467.951612843,1271.64,-1.0351314317179496,46.705209746741815
Industrial,FRG05,1300,3166419.7688920754,1332.77,-1.9461347017672344,46.70405021805274
Offices,FRG01,1100,165.51321898400784,1199.99,-1.4734680406638965,47.82849132607038
Offices,FRG01,1200,2637207.8998900624,1238.28,-1.545933048114632,47.21433305030738
Offices,FRG01,1300,104021.03940788866,1306.305,-2.148262246590085,47.18211488967727
Offices,FRG02,1200,1157531.3625162046,1224.58,-0.5626961491680182,47.44500103536581
Offices,FRG03,1100,301634.7295183061,1180.41,-0.2178674578491249,48.21427446059274
Offices,FRG03,1200,27535.34967640124,1206.2,-0.718166038273428,47.83344712618908
Offices,FRG04,1100,499352.5252160523,1194.51,0.190927112919562,47.99689819958724
Offices,FRG04,1200,43795.59829655147,1206.33,-0.1000204982966493,47.87260620840093
Offices,FRG05,1200,374364.9170390157,1272.76,-1.1780345903489629,46.72191032353376
Offices,FRG05,1300,132377.38542838165,1333.9299,-1.5483521347401406,46.41624196316329
Other non-residential buildings,FRG01,1100,1400.260267786216,1199.915,-1.4733340481480572,47.828860151280765
Other non-residential buildings,FRG01,1200,19345205.69956692,1237.45,-1.545546277549931,47.21940057429792
Other non-residential buildings,FRG01,1300,406507.3835920589,1303.18,-2.038081825671437,47.08593960477568
Other non-residential buildings,FRG02,1200,10143162.210910622,1226.89,-0.5342775004021586,47.43400689996632
Other non-residential buildings,FRG03,1100,1317755.3184382652,1176.47,-0.9784925834474004,48.10878071773506
Other non-residential buildings,FRG03,1200,513753.27539213904,1206.23,-0.847719971575394,47.864001258847935
Other non-residential buildings,FRG04,1100,2218843.1236197087,1193.62,0.1708587804795483,47.99343919809637
Other non-residential buildings,FRG04,1200,913461.040559144,1209.12,0.0402944479358506,47.62258356051405
Other non-residential buildings,FRG05,1200,3602058.719980439,1270.2,-1.3009131662271765,46.769028239025744
Other non-residential buildings,FRG05,1300,1595456.9650025154,1335.17,-2.033021481283949,46.785379883293885
Single family- Terraced houses,FRG01,1100,40330.21004151076,1199.76,-1.479705622486969,47.82986253237615
Single family- Terraced houses,FRG01,1200,98445973.40412718,1241.41,-1.4532140332053645,47.19490654685013
Single family- Terraced houses,FRG01,1300,11687077.196618324,1306.98,-1.9830267864583115,47.08064274053342
Single family- Terraced houses,FRG02,1200,82065123.43148528,1233.37,-0.8366403998723323,47.37621949332195
Single family- Terraced houses,FRG03,1100,37055175.541101485,1173.93,-0.4135828480240629,48.168459150791385
Single family- Terraced houses,FRG03,1200,9790711.680005398,1206.33,-0.4602256672868772,47.86662905469456
Single family- Terraced houses,FRG04,1100,34794512.629669435,1191.8,0.3392214922464614,47.91252778812374
Single family- Terraced houses,FRG04,1200,19957229.747873597,1207.63,0.0323576698345198,47.63008083534179
Single family- Terraced houses,FRG05,1200,64306698.50023756,1272.62,-1.5759192458006748,46.743502362334816
Single family- Terraced houses,FRG05,1300,38589446.02955907,1334.21,-1.680594075214646,46.51488186332033
Sport,FRG01,1200,554963.7664120274,1238.07,-1.561311885209142,47.216441673309305
Sport,FRG01,1300,31785.04859288037,1302.8301,-2.4329582497425783,47.33758760503783
Sport,FRG02,1200,295691.52282735123,1227.13,-0.6840438872370035,47.543783042041454
Sport,FRG03,1100,51506.19125199318,1182.64,-0.7543665402385263,48.08279974378448
Sport,FRG03,1200,4786.694055876229,1206.48,-0.9341720512453466,47.83799008921696
Sport,FRG04,1100,133516.11612727668,1195.37,0.1994630656331383,48.02234961524889
Sport,FRG04,1200,21033.37015001313,1214.36,-0.0708723257920709,47.70688986438069
Sport,FRG05,1200,38746.84147291677,1258.37,-0.9857596926312148,46.8270134413788
Sport,FRG05,1300,37425.88841082063,1331.385,-1.814092504356104,46.64706994955092
Trade,FRG01,1200,11365092.1305007,1238.2,-2.0476355033238662,47.4160473799229
Trade,FRG01,1300,1295225.9474621876,1309.09,-2.4256437196296736,47.274438854408686
Trade,FRG02,1200,7228028.586432862,1247.21,-0.8079775863314778,47.05625288853032
Trade,FRG03,1100,1772393.737238314,1182.47,-0.74775008612865,48.090911236735415
Trade,FRG03,1200,286032.2980667672,1206.6,-0.688024631830159,47.82586490500535
Trade,FRG04,1100,2424512.8149623773,1195.22,0.227662279157042,48.02183819494986
Trade,FRG04,1200,877060.2629918652,1207.92,-0.3041438002350404,47.824068789653
Trade,FRG05,1200,4052586.9607985904,1274.95,-1.4246659186099295,46.68745755391633
Trade,FRG05,1300,1435369.167642644,1341.21,-1.7969398261603895,46.49462218405049
