Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,4123264.691404587,3.0,37190075.95846235,12369794.074213762,14930210.548278794,9.019570350646973
Apartment Block_AB_1_Before1945,Apartment Block,1900,2666908.5456875977,3.0,27518509.929077428,8000725.637062793,6260491.309952004,10.31850528717041
Apartment Block_AB_2_Before1945,Apartment Block,1900,3472346.2695929897,4.0,36690920.04904456,13889385.078371959,6876952.259358761,10.566607475280763
Apartment Block_AB_3_Before1945,Apartment Block,1900,918267.347092098,7.0,17956737.51863459,6427871.429644686,4120113.715341415,19.555021286010742
Apartment Block_AB_0_1945to1969,Apartment Block,1955,2160408.357922115,3.0,19485955.17040422,6481225.073766345,7822770.078592908,9.019570350646973
Apartment Block_AB_1_1945to1969,Apartment Block,1955,1397424.6133969617,3.0,14419333.261758616,4192273.840190885,3280414.1944166715,10.31850528717041
Apartment Block_AB_2_1945to1969,Apartment Block,1955,1821775.7599672177,4.0,19249989.363554895,7287103.039868871,3608011.400896397,10.566607475280763
Apartment Block_AB_3_1945to1969,Apartment Block,1955,481908.2425910669,7.0,9423725.941772342,3373357.6981374687,2162242.5823188876,19.555021286010742
Apartment Block_AB_0_1970to1979,Apartment Block,1975,260409.31061176665,3.0,2258219.6296258327,781227.9318352999,890174.9853091808,8.671808332508196
Apartment Block_AB_1_1970to1979,Apartment Block,1975,225182.92496576722,3.0,2190744.3525287206,675548.7748973017,470339.2237708863,9.728732109069824
Apartment Block_AB_2_1970to1979,Apartment Block,1975,114733.24315520492,3.0,1151346.4362833693,344199.7294656148,302769.299824821,10.034985542297363
Apartment Block_AB_3_1970to1979,Apartment Block,1975,31128.71791516637,7.0,628750.52353592,217901.02540616458,140758.9413281968,20.198407311519357
Apartment Block_AB_0_1980to1989,Apartment Block,1985,289751.7946547587,3.0,2512672.02724634,869255.3839642762,990478.4085644518,8.671808332508196
Apartment Block_AB_1_1980to1989,Apartment Block,1985,250556.15899891223,3.0,2437593.7491779216,751668.4769967367,523336.25807764236,9.728732109069824
Apartment Block_AB_2_1980to1989,Apartment Block,1985,127661.19242312257,3.0,1281078.2202784766,382983.5772693677,336884.836354398,10.034985542297363
Apartment Block_AB_3_1980to1989,Apartment Block,1985,34636.24960271925,7.0,699597.0772191739,242453.7472190347,156619.4225841402,20.198407311519357
Apartment Block_AB_0_1990to2000,Apartment Block,1995,482045.68551623594,3.0,4104210.031683247,1446137.056548708,1698163.8783975337,8.514151573181152
Apartment Block_AB_1_1990to2000,Apartment Block,1995,456802.81940217596,3.0,4253602.002464732,1370408.4582065279,752687.6558033278,9.311680711672224
Apartment Block_AB_2_1990to2000,Apartment Block,1995,162941.5640124959,3.0,1541316.87261282,488824.6920374877,416417.28070853616,9.459322929382324
Apartment Block_AB_3_1990to2000,Apartment Block,1995,44174.81494099388,6.0,737681.176318451,265048.88964596327,242150.99041139206,16.699134502403737
Apartment Block_AB_0_2000to2010,Apartment Block,2005,342496.331846641,3.0,2896097.486922988,1027488.9955399231,1189206.1542282975,8.455849647521973
Apartment Block_AB_1_2000to2010,Apartment Block,2005,306836.60277872434,3.0,2728977.8634987706,920509.808336173,496810.10595111165,8.893912391106667
Apartment Block_AB_2_2000to2010,Apartment Block,2005,127574.88983693912,3.0,1139051.6905005067,382724.6695108174,358427.733025099,8.928494407923022
Apartment Block_AB_3_2000to2010,Apartment Block,2005,53460.89842999294,5.0,792576.7118520675,267304.49214996473,236371.34212034603,14.825353391506258
