Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,6222834.905085765,3.0,54365623.71676393,18668504.715257294,20974467.638987646,8.736472129821777
Apartment Block_AB_1_Before1945,Apartment Block,1900,4466992.023988153,4.0,46985124.11760979,17867968.09595261,9127977.53525508,10.518291473388672
Apartment Block_AB_2_Before1945,Apartment Block,1900,3426570.6153527927,4.0,36785548.04801303,13706282.46141117,6852247.025909616,10.735383033752441
Apartment Block_AB_3_Before1945,Apartment Block,1900,1418634.9056951867,6.0,23778451.329763453,8511809.43417112,4515531.229367026,16.761501662128552
Apartment Block_AB_0_1945to1969,Apartment Block,1955,3292779.0254171533,3.0,28767272.185218673,9878337.07625146,11098524.734201912,8.736472129821777
Apartment Block_AB_1_1945to1969,Apartment Block,1955,2325704.031947583,4.0,24565459.045980915,9302816.127790332,4284347.730837882,10.562590384903531
Apartment Block_AB_2_1945to1969,Apartment Block,1955,1802283.4324989128,4.0,19348202.983261943,7209133.729995651,3604096.5374692413,10.735383033752441
Apartment Block_AB_3_1945to1969,Apartment Block,1955,734444.476857651,6.0,12344740.510380177,4406666.861145906,2621613.232129542,16.80826924207753
Apartment Block_AB_0_1970to1979,Apartment Block,1975,1054234.2531124318,3.0,9083734.938068401,3162702.759337296,3714525.5012433827,8.616429328918457
Apartment Block_AB_1_1970to1979,Apartment Block,1975,913031.3206247113,3.0,9213709.54642224,2739093.961874134,1841349.3214316005,10.091340065002441
Apartment Block_AB_2_1970to1979,Apartment Block,1975,603852.26631625,3.0,6224552.117109315,1811556.79894875,1309847.1760690853,10.308071136474608
Apartment Block_AB_3_1970to1979,Apartment Block,1975,196044.73216526423,5.0,3185152.9218099304,980223.6608263211,784913.9668857838,16.247072219848633
Apartment Block_AB_0_1980to1989,Apartment Block,1985,1173023.5993030726,3.0,10107274.944548486,3519070.7979092174,4133072.000181797,8.616429328918457
Apartment Block_AB_1_1980to1989,Apartment Block,1985,1015910.1573807579,3.0,10251894.873619378,3047730.4721422736,2048829.4724091198,10.091340065002441
Apartment Block_AB_2_1980to1989,Apartment Block,1985,671893.3261657765,3.0,6925924.20223936,2015679.9784973294,1457438.5573921027,10.308071136474608
Apartment Block_AB_3_1980to1989,Apartment Block,1985,218134.72353983525,5.0,3544050.607008419,1090673.6176991763,873356.755257526,16.247072219848633
Apartment Block_AB_0_1990to2000,Apartment Block,1995,2252133.5617699455,3.0,19117344.46940934,6756400.685309837,7760823.789342746,8.488548278808594
Apartment Block_AB_1_1990to2000,Apartment Block,1995,785469.4969070674,3.0,7669073.177360703,2356408.490721202,1988637.7855089938,9.763680458068848
Apartment Block_AB_2_1990to2000,Apartment Block,1995,1661374.0015715205,3.0,16335651.929560198,4984122.004714562,3577235.1896231077,9.832615602572353
Apartment Block_AB_3_1990to2000,Apartment Block,1995,285648.27181337064,5.0,4450706.52040698,1428241.3590668533,873165.5514263556,15.581072807312013
Apartment Block_AB_0_2000to2010,Apartment Block,2005,1037079.8697436774,3.0,8679198.251330972,3111239.6092310324,3402195.1134326514,8.368881225585938
Apartment Block_AB_1_2000to2010,Apartment Block,2005,246976.79440923865,3.0,2236706.347090778,740930.383227716,617966.803350095,9.056342124938965
Apartment Block_AB_2_2000to2010,Apartment Block,2005,823498.8884842353,3.0,7673379.302167774,2470496.6654527057,1586673.9099127387,9.318020229865398
Apartment Block_AB_3_2000to2010,Apartment Block,2005,124284.13545528016,5.0,1781215.2609733315,621420.6772764008,428425.3028379849,14.331799102502886
Apartment Block_AB_0_Post2010,Apartment Block,2020,950622.8722648481,3.0,7961262.573679083,2851868.6167945443,3209809.8710386334,8.374785423278809
Apartment Block_AB_1_Post2010,Apartment Block,2020,211663.4846307519,3.0,1903595.582954933,634990.4538922557,554178.4038608525,8.99350016029343
Apartment Block_AB_2_Post2010,Apartment Block,2020,771786.2059399816,3.0,7294047.86119312,2315358.617819945,1387631.8586584097,9.450865803321115
Apartment Block_AB_3_Post2010,Apartment Block,2020,106188.60782330902,5.0,1584330.998744879,530943.0391165451,393752.83213986526,14.919971466064451
SFH_0_Before1945_1900,Single family- Terraced houses,1900,62821969.908528484,1.0,165938941.11660025,62821969.908528484,53964034.47008921,2.641415755637949
SFH_1_Before1945_1900,Single family- Terraced houses,1900,14897644.831772085,1.0,41743958.05002706,14897644.831772085,11625713.43541189,2.802050828933716
SFH_2_Before1945_1900,Single family- Terraced houses,1900,12902579.054651802,2.0,80244890.35074921,25805158.109303605,26749339.342888076,6.219290733337402
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,30768038.738639396,1.0,80314654.57821557,30768038.738639396,26331455.924739826,2.610327400470739
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,7500962.517412226,1.0,21130432.511164848,7500962.517412226,5998798.919406079,2.8170294761657715
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,6741549.090407513,2.0,41927653.78631064,13483098.180815026,13976429.328757605,6.219290733337402
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,15807629.549535587,1.0,41137790.12426396,15807629.549535587,13738770.893558089,2.6024009479316614
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,3626637.5563480216,1.0,9986386.566872688,3626637.5563480216,2862269.205718856,2.7536213397979736
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,3136892.5419839667,2.0,19010992.20349864,6273785.083967933,6349630.65834574,6.060453760865809
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,17588806.715302482,1.0,45773127.26888995,17588806.715302482,15286832.538387528,2.6024009479316614
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,4035280.989168696,1.0,11111635.843855998,4035280.989168696,3184784.8957233676,2.7536213397979736
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,3490352.328584954,2.0,21153118.89651942,6980704.657169908,7065096.383567719,6.060453760865809
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,20946535.204377856,1.0,56493470.21328026,20946535.204377856,18554844.73589459,2.6970317363739014
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,5548430.453080037,1.0,16633105.275128474,5548430.453080037,4870433.367331574,2.9978036880493164
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,8900579.093915405,2.0,53770615.92813456,17801158.18783081,18017508.011349637,6.041249154776133
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,26492135.453872513,1.0,70567103.95729798,26492135.453872513,24707307.621842053,2.6637001037597656
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,5458047.0016313465,1.0,15565465.15437086,5458047.0016313465,4670674.463295949,2.8518378734588623
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,7485522.679904026,2.0,43442753.31515605,14971045.359808052,15117938.568811521,5.803569793701172
SFH_0_Post2010_2020,Single family- Terraced houses,2020,25173258.138752434,1.0,67336825.83693303,25173258.138752434,24203850.574443027,2.6749348640441895
SFH_1_Post2010_2020,Single family- Terraced houses,2020,5135828.353966032,1.0,14601322.532695236,5135828.353966032,4475792.501090808,2.843031644821167
SFH_2_Post2010_2020,Single family- Terraced houses,2020,7123666.021909209,2.0,41138703.16845964,14247332.043818418,14004067.006136322,5.77493428831944
0_Other non-residential buildings_1900,Other non-residential buildings,1900,3670427.143418251,3.0,30194735.478723753,11011281.430254754,6438684.539639362,8.22649089571726
0_Other non-residential buildings_1955,Other non-residential buildings,1955,1795665.945522654,3.0,15497480.9552926,5386997.836567963,3584725.375075175,8.630492210388184
0_Other non-residential buildings_1975,Other non-residential buildings,1975,573432.4800994297,3.0,4358917.486300319,1720297.4402982893,1241751.0905475027,7.6014485359191895
0_Other non-residential buildings_1985,Other non-residential buildings,1985,638045.8894952864,3.0,4850072.9925532015,1914137.6684858592,1381669.519247923,7.6014485359191895
0_Other non-residential buildings_1995,Other non-residential buildings,1995,1839239.449104851,2.0,13214360.01295705,3678478.898209702,2826175.4855926125,7.18468713760376
0_Other non-residential buildings_2005,Other non-residential buildings,2005,1654709.1096595488,2.0,10903277.9435229,3309418.2193190977,2793599.4451564727,6.5892415046691895
0_Other non-residential buildings_2020,Other non-residential buildings,2020,1490418.9589409037,2.0,9351957.53622769,2980837.9178818073,2538854.5402150527,6.274717239824445
0_Offices_1900,Offices,1900,329191.08437651343,4.0,3673726.714820901,1316764.3375060537,583159.3724776026,11.159860911114663
0_Offices_1955,Offices,1955,170976.1080401,4.0,1950413.496833544,683904.4321604,399922.97023058886,11.407520730183556
0_Offices_1975,Offices,1975,64965.627366232016,3.0,621968.5931924345,194896.88209869605,128050.62477935212,9.573810311816104
0_Offices_1985,Offices,1985,72285.84521811437,3.0,692050.9703475261,216857.5356543431,142479.15425649105,9.573810311816104
0_Offices_1995,Offices,1995,120193.18433530074,3.0,1046062.6488606962,360579.5530059022,303705.3757201979,8.703177760417049
0_Offices_2005,Offices,2005,117687.2713997701,2.0,815129.483968971,235374.5427995402,211097.97673399423,6.926233179458039
0_Offices_2020,Offices,2020,98907.57712718793,2.0,674456.4992774205,197815.15425437587,176956.21880865414,6.819057941436768
0_Sport_1900,Sport,1900,84044.56431379741,4.0,917782.429555551,336178.25725518964,127222.8600740671,10.920187843782786
0_Sport_1955,Sport,1955,43500.88929108682,4.0,478355.33560044196,174003.5571643473,97318.4982571129,10.99644957599649
0_Sport_1975,Sport,1975,21444.86400327046,3.0,180461.8224474433,64334.592009811386,27261.60524848264,8.415153503417969
0_Sport_1985,Sport,1985,23861.235285625316,3.0,200795.95770971035,71583.70585687595,30333.39717140095,8.415153503417969
0_Sport_1995,Sport,1995,52395.153169627825,3.0,456633.01125416224,157185.45950888348,45867.56547995132,8.715176569401864
0_Sport_2005,Sport,2005,34419.99750170279,3.0,289645.91869480227,103259.99250510837,53251.0874741144,8.415047638526795
0_Sport_2020,Sport,2020,31631.671128933416,4.0,337514.82696384715,126526.68451573366,27986.821395945542,10.670154782151966
0_Trade_1900,Trade,1900,2777781.160255996,3.0,25361147.073335472,8333343.480767989,3866972.291603944,9.130001828869135
0_Trade_1955,Trade,1955,1437774.35250937,3.0,13193705.722181858,4313323.05752811,1497657.4707950512,9.176478700676972
0_Trade_1975,Trade,1975,528899.8894441059,3.0,4554890.633623146,1586699.6683323178,699097.4150382181,8.612009048461914
0_Trade_1985,Trade,1985,588495.4412694051,3.0,5068128.065190704,1765486.323808215,777870.5383841735,8.612009048461914
0_Trade_1995,Trade,1995,1542210.7026144501,3.0,12883293.091831604,4626632.107843351,2016182.400792464,8.353782702967276
0_Trade_2005,Trade,2005,1199935.0917911052,3.0,9062496.346115272,3599805.2753733154,1608156.400200331,7.5524888038635245
0_Trade_2020,Trade,2020,1383705.5438421068,2.0,9856975.965402951,2767411.0876842136,1572839.0903843539,7.1236080604499765
0_Education_1900,Education,1900,681174.3519682793,3.0,6822504.449877987,2043523.055904838,1421573.30574967,10.01579761505127
0_Education_1955,Education,1955,345645.6758268254,3.0,3528749.9785482185,1036937.0274804761,510980.2815601886,10.20915412902832
0_Education_1975,Education,1975,92224.45525679918,3.0,808223.1037126534,276673.36577039753,170776.30633224364,8.763652780188883
0_Education_1985,Education,1985,102616.15208357149,3.0,899292.3264994766,307848.4562507145,190019.09389503422,8.763652780188883
0_Education_1995,Education,1995,227047.46036955537,3.0,1940700.6482594456,681142.3811086661,530560.4027922294,8.547554969787598
0_Education_2005,Education,2005,173981.8605999078,2.0,1279014.598862793,347963.7211998156,288739.21261224564,7.351424995988753
0_Education_2020,Education,2020,107901.85495146336,3.0,839862.7398794036,323705.5648543901,182866.92685622198,7.783580182724314
0_Hotels and Restaurants_1900,Hotels and Restaurants,1900,121067.5292888832,3.0,1194115.8302601923,363202.5878666496,379415.30185153964,9.863221272244463
0_Hotels and Restaurants_1955,Hotels and Restaurants,1955,60436.353541741126,3.0,608902.8379287145,181309.06062522338,134717.91409455115,10.075108808610832
0_Hotels and Restaurants_1975,Hotels and Restaurants,1975,20827.22042000505,3.0,193686.54853295028,62481.66126001516,71903.23870253384,9.299683041089326
0_Hotels and Restaurants_1985,Hotels and Restaurants,1985,23173.996660064204,3.0,215510.82373385975,69521.98998019261,80005.17495555051,9.299683041089326
0_Hotels and Restaurants_1995,Hotels and Restaurants,1995,45384.63433237309,3.0,408716.1215285565,136153.90299711926,126766.43382888573,9.005605697631836
0_Hotels and Restaurants_2005,Hotels and Restaurants,2005,46521.54656721886,2.0,318617.02062764764,93043.09313443772,103502.17867120022,6.8488054275512695
0_Hotels and Restaurants_2020,Hotels and Restaurants,2020,39219.29733564121,2.0,273970.9778010417,78438.59467128242,99288.95235711451,6.985616683959961
0_Health_1900,Health,1900,184883.68084356465,4.0,2210861.399509768,739534.7233742586,349525.1694125356,11.95812085427075
0_Health_1955,Health,1955,97006.82941378963,4.0,1160019.3898197229,388027.3176551585,183392.7598710936,11.95812085427075
0_Health_1975,Health,1975,34096.41760531764,3.0,348935.7428605063,102289.25281595293,28163.136630245794,10.233794849054366
0_Health_1985,Health,1985,37938.34471290402,3.0,388253.2367045661,113815.03413871206,31336.511596110977,10.233794849054366
0_Health_1995,Health,1995,53422.55601334368,3.0,513685.2301225084,160267.66804003104,68843.5991741137,9.615512031925281
0_Health_2005,Health,2005,34943.13313140933,3.0,275648.5677783638,104829.399394228,32557.891489148387,7.888490329179773
0_Health_2020,Health,2020,37123.90643517275,3.0,317588.50822333223,111371.71930551826,46713.01797763237,8.554824605484823
