Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FRI11,1200,1126.0092176282778,1298.56,1.2250321522593983,45.12495008387203
Apartment Block,FRI11,1300,4411775.316171811,1317.28,0.5546723242276048,45.14889331998389
Apartment Block,FRI12,1300,81551716.11708063,1336.44,-0.5753276718484762,44.760142993749355
Apartment Block,FRI13,1300,8675822.368105542,1315.37,-0.5104762979159488,43.88562056017411
Apartment Block,FRI14,1300,11807228.85947479,1357.41,0.6443370320557289,44.20054121741492
Apartment Block,FRI15,1100,349.4085940076038,1185.08,-0.35874825000181626,43.035726899987516
Apartment Block,FRI15,1200,3620515.8661783617,1281.33,-1.7746456500032646,43.3575259999963
Apartment Block,FRI15,1300,26533494.0485537,1318.64,-1.5672825874263108,43.46563212241933
Education,FRI11,1200,13309.42457497702,1293.98,0.6641248678458439,45.52949633036765
Education,FRI11,1300,296664.27609804954,1318.38,0.7848000726353788,45.18368969115684
Education,FRI12,1300,2523735.35198069,1336.26,-0.6113284597955229,44.79558452556831
Education,FRI13,1300,357334.5598507697,1322.07,-1.3853449854353532,43.541228352558036
Education,FRI14,1300,400314.90638119867,1355.24,0.34011809264805254,44.298757610162646
Education,FRI15,1100,420.8449516631663,1180.63,-1.282061840341248,43.10788636570187
Education,FRI15,1200,117536.08161414438,1277.55,-1.7814885534957623,43.351169157988245
Education,FRI15,1300,1308478.1271178056,1317.845,-0.36549190476965243,43.31622639409018
Health,FRI11,1300,221041.05995638832,1318.76,0.14116802181059207,45.204843010541886
Health,FRI12,1300,855164.122150047,1337.0,-0.6048904721366355,44.826868784678744
Health,FRI13,1300,134080.15371634695,1315.64,-0.4875156247677512,43.89452827044395
Health,FRI14,1300,145077.27249859227,1356.91,0.6372336870546296,44.21690984149846
Health,FRI15,1200,45329.75671382295,1287.19,-1.7602448932220756,43.375292516033944
Health,FRI15,1300,319442.7496886619,1318.91,-0.34857920821663024,43.32613511128609
Hotels and Restaurants,FRI11,1200,987.2134972198983,1296.06,0.7956344708923929,45.481348077317996
Hotels and Restaurants,FRI11,1300,71610.15854496136,1331.93,1.0482854853050512,44.85264121459184
Hotels and Restaurants,FRI12,1300,472791.9255595527,1337.72,-0.25374384955732043,44.55590976661797
Hotels and Restaurants,FRI13,1300,124985.81410193513,1331.17,-0.4735096381804998,43.783842421452746
Hotels and Restaurants,FRI14,1300,114695.03026706123,1340.21,0.26865430152769276,44.17601738127425
