Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FRJ11,1300,46622.14869633701,1379.19,1.9946970381503233,42.82023398425484
Apartment Block,FRJ11,1400,9546583.903563468,1446.48,2.3741622188043574,43.20978010206976
Apartment Block,FRJ11,1500,12380080.311311848,1520.05,3.162513273536186,43.156695907871224
Apartment Block,FRJ12,1300,20503.83587773738,1395.24,4.101312418925732,44.289625604372276
Apartment Block,FRJ12,1400,1570788.6009940668,1487.17,4.070395767602606,44.127158742559345
Apartment Block,FRJ12,1500,38078596.97853682,1542.64,4.171633391452626,43.71944784115681
Apartment Block,FRJ13,1400,1724733.7644585199,1489.85,3.0431101947852173,43.45537292024806
Apartment Block,FRJ13,1500,80788424.19780202,1535.84,3.226868125645923,43.27032177109001
Apartment Block,FRJ14,1200,6995.19144951948,1293.54,3.49956333765462,44.5149006211716
Apartment Block,FRJ14,1300,563036.5578661081,1369.7,3.498216587722382,44.51790782469483
Apartment Block,FRJ14,1400,158690.15116727925,1403.83,3.4939544062496757,44.52257032587234
Apartment Block,FRJ15,1400,1215073.748510164,1485.51,2.5862682253849916,42.64997890521125
Apartment Block,FRJ15,1500,23380304.328006968,1531.63,2.895100819935518,42.60553440295431
Apartment Block,FRJ15,1600,26011.35747920802,1601.71,2.039124883011678,42.459499404954
Education,FRJ11,1300,6070.694605844095,1392.6,2.0046748885361554,42.9846653642515
Education,FRJ11,1400,182885.41333205695,1443.39,2.3311846552940216,43.205653298243725
Education,FRJ11,1500,167263.2329839703,1511.16,2.9086022822946123,43.25478664827721
Education,FRJ12,1400,72866.48472403619,1461.64,3.9734745639545945,44.303530338215594
Education,FRJ12,1500,918519.1865744402,1540.685,4.364266493715117,43.843313288941154
Education,FRJ13,1300,1459.4921756363474,1390.95,2.8313370918399867,43.52367859474918
Education,FRJ13,1400,57813.090435017424,1482.04,3.1571513560563167,43.61365640046805
Education,FRJ13,1500,2158843.3981673634,1536.24,3.679728580462136,43.41055070288986
Education,FRJ14,1200,1014.1489127228269,1273.24,3.411216380713784,44.36704241179265
Education,FRJ14,1300,81460.57807427697,1366.27,3.3391173244950028,44.46553403094073
Education,FRJ14,1400,13322.993095098995,1413.495,3.5781344765796255,44.240674663571916
Education,FRJ15,1400,17641.667100849387,1487.24,2.4415565666725487,42.72718507064761
Education,FRJ15,1500,291012.4046624939,1531.37,2.897086641683087,42.60364063035075
Education,FRJ15,1600,20450.718385059386,1608.395,1.9820428655732636,42.41582933022283
Health,FRJ11,1300,239.4306323332712,1369.96,1.9597547181237551,42.81750900839572
Health,FRJ11,1400,97501.30756929517,1445.58,2.328641317055725,43.21312422756982
Health,FRJ11,1500,58234.239218386065,1520.85,3.0005167752590247,43.18070655422686
Health,FRJ12,1400,678.7621826343238,1462.84,3.580230345031858,43.975081989891464
Health,FRJ12,1500,501242.5553603921,1537.6,4.321922066400622,43.82436987650041
Health,FRJ13,1400,27160.33772048331,1477.12,3.1507727649191613,43.607965539598574
Health,FRJ13,1500,834754.0319807185,1534.83,3.850372403774803,43.63005751190597
Health,FRJ14,1300,21250.783473724237,1358.44,3.5978904953581794,44.32515859364347
Health,FRJ14,1400,31374.80690980982,1411.6,3.29198919930509,44.564723719086814
Health,FRJ15,1400,7951.967275622301,1498.66,2.832388237288368,42.51337756749888
Health,FRJ15,1500,189680.85610183422,1530.72,2.8886831543797573,42.72566091475217
Hotels and Restaurants,FRJ11,1300,8906.280964254976,1385.745,2.1902074478894806,42.89775157323617
Hotels and Restaurants,FRJ11,1400,70944.70462913832,1414.8,2.256936700004838,43.123827449997854
Hotels and Restaurants,FRJ11,1500,24054.299317174213,1510.8,3.0415020712129572,42.85405533606618
Hotels and Restaurants,FRJ12,1300,100.318877723068,1388.21,4.033106450010508,44.435418699982904
Hotels and Restaurants,FRJ12,1400,4600.745041758288,1481.25,4.070180138535845,44.146385312256605
Hotels and Restaurants,FRJ12,1500,258171.18708556396,1545.21,4.220738614091304,43.74398820816176
Hotels and Restaurants,FRJ13,1300,553.2448310032487,1366.64,2.6807794470663686,43.60295097954203
Hotels and Restaurants,FRJ13,1400,5411.3549129233,1489.395,2.759474482703801,43.3002055464774
Hotels and Restaurants,FRJ13,1500,499064.64543283824,1518.345,3.370027343454936,43.505705714036765
Hotels and Restaurants,FRJ14,1200,1607.7817658739223,1237.47,3.3580323668798457,44.33541167616364
Hotels and Restaurants,FRJ14,1300,19450.08708256543,1373.23,3.3843773008559634,44.78000994793269
Hotels and Restaurants,FRJ14,1400,48059.948370700906,1406.63,3.4989526564376887,44.52534768668981
