Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,6296249.849067421,3.0,57088400.059948124,18888749.547202263,18728008.62999109,9.067048072814941
Apartment Block_AB_1_Before1945,Apartment Block,1900,3367367.3314121556,4.0,37408816.571070164,13469469.325648623,8780369.315217864,11.109217643737793
Apartment Block_AB_2_Before1945,Apartment Block,1900,3813108.113321357,4.0,49458573.23644932,15252432.453285428,9799336.385708345,12.970671632325969
Apartment Block_AB_3_Before1945,Apartment Block,1900,1689934.961107232,6.0,32159637.528194305,10139609.766643392,8330938.493611361,19.03010368347168
Apartment Block_AB_0_1945to1969,Apartment Block,1955,2105612.4070989382,3.0,20436809.291837197,6316837.221296814,5692177.004305535,9.705874273411286
Apartment Block_AB_1_1945to1969,Apartment Block,1955,4160215.6553978766,3.0,40922442.80686559,12480646.96619363,11010702.95442042,9.836615742207679
Apartment Block_AB_2_1945to1969,Apartment Block,1955,1073850.9845916233,5.0,16424594.927733663,5369254.922958116,3119761.8048951346,15.29504108428955
Apartment Block_AB_3_1945to1969,Apartment Block,1955,1022094.4377526472,6.0,17889235.735489026,6132566.626515883,3833929.3246028493,17.502527236938477
Apartment Block_AB_0_1970to1979,Apartment Block,1975,450249.91998537653,3.0,3933243.3467515265,1350749.7599561296,1520003.3895051123,8.735689163208008
Apartment Block_AB_1_1970to1979,Apartment Block,1975,414198.5416979023,3.0,4191124.1306843604,1242595.6250937069,847790.6090013682,10.118635651163583
Apartment Block_AB_2_1970to1979,Apartment Block,1975,288068.16216252116,3.0,2922176.364351873,864204.4864875635,656943.2423518534,10.144044876098633
Apartment Block_AB_3_1970to1979,Apartment Block,1975,126450.83501968895,6.0,2117965.142053619,758705.0101181337,532419.4899959096,16.749317169189453
Apartment Block_AB_0_1980to1989,Apartment Block,1985,500983.3252599128,3.0,4376434.605420933,1502949.9757797385,1691274.8202272684,8.735689163208008
Apartment Block_AB_1_1980to1989,Apartment Block,1985,460869.738176436,3.0,4663372.963254511,1382609.214529308,943318.2318731485,10.118635651163583
Apartment Block_AB_2_1980to1989,Apartment Block,1985,320527.1991750246,3.0,3251442.292441654,961581.5975250737,730966.5042720042,10.144044876098633
Apartment Block_AB_3_1980to1989,Apartment Block,1985,140699.10287183154,6.0,2356613.899420721,844194.6172309892,592411.6245040105,16.749317169189453
Apartment Block_AB_0_1990to2000,Apartment Block,1995,1511370.2839860658,3.0,13127586.24536595,4534110.851958198,4943573.666736699,8.685883522033691
Apartment Block_AB_1_1990to2000,Apartment Block,1995,1385076.649092534,3.0,14271106.826666286,4155229.9472776023,2915749.929828056,10.303478032075944
Apartment Block_AB_2_1990to2000,Apartment Block,1995,550402.2073748029,4.0,6047630.967745599,2201608.8294992116,1360080.1372263976,10.98765754699707
Apartment Block_AB_3_1990to2000,Apartment Block,1995,380336.8097986995,6.0,6491798.622109537,2282020.858792197,1443368.774950751,17.068552017211914
Apartment Block_AB_0_2000to2010,Apartment Block,2005,693740.492684002,3.0,5926625.1824912075,2081221.478052006,2301439.775349284,8.543000221252441
Apartment Block_AB_1_2000to2010,Apartment Block,2005,187519.22800070778,3.0,1740686.6270893528,562557.6840021233,519347.9932545264,9.282710075378418
Apartment Block_AB_2_2000to2010,Apartment Block,2005,638076.3605444324,3.0,6032312.145673744,1914229.0816332973,1040557.0082008464,9.453903198242188
Apartment Block_AB_3_2000to2010,Apartment Block,2005,126770.15801708835,5.0,1970287.0596475047,633850.7900854418,474007.09809255024,15.542199287800162
Apartment Block_AB_0_Post2010,Apartment Block,2020,573529.1993358283,3.0,4865995.736582353,1720587.5980074848,1854219.6393678633,8.48430340114747
Apartment Block_AB_1_Post2010,Apartment Block,2020,514458.28661889763,3.0,4905079.046536532,1543374.8598566928,972220.5840174907,9.534454345703125
Apartment Block_AB_2_Post2010,Apartment Block,2020,171918.7933168529,3.0,1642897.2635069836,515756.37995055877,459007.49157986214,9.55624008178711
Apartment Block_AB_3_Post2010,Apartment Block,2020,101182.6172753344,5.0,1556343.4436765078,505913.08637667197,291558.5823069329,15.381529808044434
SFH_0_Before1945_1900,Single family- Terraced houses,1900,62115482.25634185,1.0,164783802.5031913,62115482.25634185,56020920.80965654,2.6528620002200376
SFH_1_Before1945_1900,Single family- Terraced houses,1900,17386053.63321775,1.0,47356202.37890675,17386053.63321775,12992359.55037318,2.723803997039795
SFH_2_Before1945_1900,Single family- Terraced houses,1900,11647099.718906416,2.0,72032718.12725063,23294199.43781283,23634745.29046888,6.184605598449707
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,30021483.977393247,1.0,78093619.39546914,30021483.977393247,25727325.78735496,2.601257801055908
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,8756982.40499368,1.0,23852303.67672894,8756982.40499368,6543972.909677068,2.723803997039795
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,6117738.774551417,2.0,37835801.47494354,12235477.549102833,12414352.17176316,6.184605598449707
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,14204619.678932784,1.0,36827931.429035194,14204619.678932784,11969873.183000237,2.592672824859619
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,3999245.07794983,1.0,10720769.86077349,3999245.07794983,3017401.2763934787,2.6806983947753906
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,2194020.4706793483,2.0,13035508.367493019,4388040.941358697,4323103.803896074,5.941379554884806
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,15805172.383007348,1.0,40977640.9296449,15805172.383007348,13318618.402761027,2.592672824859619
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,4449873.300911898,1.0,11928768.214708393,4449873.300911898,3357396.9877445116,2.6806983947753906
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,2441239.014823053,2.0,14504327.571256813,4882478.029646106,4810223.884526121,5.941379554884806
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,20565320.280475076,1.0,54848303.6072461,20565320.280475076,16786470.6227534,2.6670289039611816
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,5761358.052241096,1.0,16325951.734685889,5761358.052241096,4520433.964198829,2.8336985111236572
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,6877949.149411429,2.0,41453415.5807265,13755898.298822857,14322950.470233425,6.027002334594727
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,22839282.432333235,1.0,61005595.14521996,22839282.432333235,19843132.764606375,2.671081953908291
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,5569431.6310982965,1.0,15382567.474891962,5569431.6310982965,4485477.89022318,2.761963606663129
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,5790078.614222088,2.0,33327947.609259907,11580157.228444176,11611564.45469325,5.756044059125025
SFH_0_Post2010_2020,Single family- Terraced houses,2020,20597272.622807935,1.0,54641721.84921968,20597272.622807935,18576337.75964802,2.6528620002200376
SFH_1_Post2010_2020,Single family- Terraced houses,2020,5031041.779618196,1.0,13749962.313904658,5031041.779618196,3966880.181911144,2.733024871629696
SFH_2_Post2010_2020,Single family- Terraced houses,2020,5067596.785060411,2.0,29019201.80723947,10135193.570120823,10352526.170826629,5.726422807116357
0_Other non-residential buildings_1900,Other non-residential buildings,1900,2707048.151968446,3.0,23228928.079181198,8121144.455905338,8111759.3173915995,8.580906867980957
0_Other non-residential buildings_1955,Other non-residential buildings,1955,1345425.1566856361,3.0,11896256.944263674,4036275.4700569087,3632429.477058022,8.842005729675293
0_Other non-residential buildings_1975,Other non-residential buildings,1975,516648.60176078614,2.0,3329666.308692304,1033297.2035215723,1136361.2177357273,6.4447407722473145
0_Other non-residential buildings_1985,Other non-residential buildings,1985,574863.6990527607,2.0,3704847.519770237,1149727.3981055215,1264404.4924564082,6.4447407722473145
0_Other non-residential buildings_1995,Other non-residential buildings,1995,1399764.3421913693,2.0,10408072.394960431,2799528.6843827385,2652774.434962695,7.435589035413139
0_Other non-residential buildings_2005,Other non-residential buildings,2005,1346349.4808795678,2.0,9437467.443699284,2692698.9617591356,2936255.3465073663,7.0096713949291996
0_Other non-residential buildings_2020,Other non-residential buildings,2020,1256081.314664787,2.0,8426928.691900184,2512162.629329574,2399910.6491086776,6.708903789520264
0_Hotels and Restaurants_1900,Hotels and Restaurants,1900,140239.10994182157,3.0,1439960.4128560044,420717.32982546475,355379.9634545631,10.267894693950742
0_Hotels and Restaurants_1955,Hotels and Restaurants,1955,73048.08933308926,3.0,750050.088866467,219144.2679992678,185111.18138433993,10.267894693950742
0_Hotels and Restaurants_1975,Hotels and Restaurants,1975,18691.828130580074,3.0,144963.28464851822,56075.484391740225,52104.99694935706,7.755436420440674
0_Hotels and Restaurants_1985,Hotels and Restaurants,1985,20797.991951556425,3.0,161297.5042531327,62393.975854669276,57976.10055143223,7.755436420440674
0_Hotels and Restaurants_1995,Hotels and Restaurants,1995,52976.3444310493,3.0,468255.36030800734,158929.0332931479,117598.63330703492,8.838951900833008
0_Hotels and Restaurants_2005,Hotels and Restaurants,2005,70812.02769828067,2.0,467176.80434215587,141624.05539656134,193741.3707339556,6.597421646118164
0_Hotels and Restaurants_2020,Hotels and Restaurants,2020,64649.371381826844,2.0,395555.29590241716,129298.74276365369,154589.32125003546,6.118470875242092
0_Offices_1900,Offices,1900,479537.072751181,4.0,5747902.659960026,1918148.291004724,1025671.1276515671,11.986357231951613
0_Offices_1955,Offices,1955,250405.7159134545,4.0,3001452.3638612567,1001622.863653818,535587.1894071788,11.986357231951613
0_Offices_1975,Offices,1975,77613.5769304956,3.0,750717.5182679365,232840.73079148683,215195.87692949205,9.672502517700195
0_Offices_1985,Offices,1985,86358.94451068113,3.0,835307.1082054947,259076.83353204338,239443.78715239168,9.672502517700195
0_Offices_1995,Offices,1995,226448.34073711815,3.0,2220664.9187883125,679345.0222113545,548768.2282731336,9.806496755771166
0_Offices_2005,Offices,2005,153209.8331228067,3.0,1290449.1081318175,459629.4993684201,283205.12014718715,8.422756436902105
0_Offices_2020,Offices,2020,124112.38400803169,3.0,1006551.7467829104,372337.15202409506,227041.74364545668,8.110002517700195
0_Trade_1900,Trade,1900,2624526.577477565,3.0,24878608.515946247,7873579.732432695,4084800.5018019886,9.47927474975586
0_Trade_1955,Trade,1955,1369121.467481009,3.0,13027771.773757393,4107364.4024430267,2044893.8384968524,9.515424367515514
0_Trade_1975,Trade,1975,394496.2202475795,3.0,3168277.6106070145,1183488.6607427385,534302.1494597779,8.031198901268697
0_Trade_1985,Trade,1985,438947.3922139026,3.0,3525273.8140630545,1316842.1766417078,594506.4188763703,8.031198901268697
0_Trade_1995,Trade,1995,1213887.9426671502,3.0,9249772.845094314,3641663.8280014503,1574894.5436529403,7.619956109598342
0_Trade_2005,Trade,2005,1662175.9094875369,2.0,11616629.343957698,3324351.8189750738,1919543.109248757,6.988808631896973
0_Trade_2020,Trade,2020,1289515.550854346,2.0,8754151.27990139,2579031.101708692,1481767.359162161,6.78871322963223
0_Sport_1900,Sport,1900,66086.91433679043,4.0,772773.0294044036,264347.65734716173,98749.16313276779,11.69328356694364
0_Sport_1955,Sport,1955,34415.672995586225,4.0,409488.27045571565,137662.6919823449,45252.33985354214,11.898307800292969
0_Sport_1975,Sport,1975,12935.284178943037,4.0,140217.70530246754,51741.13671577215,21451.888861777174,10.839940071105957
0_Sport_1985,Sport,1985,14392.81028935951,4.0,156017.20099145427,57571.24115743804,23869.051693397883,10.839940071105957
0_Sport_1995,Sport,1995,35158.03371620834,3.0,319901.942099663,105474.10114862502,62443.85143453935,9.098971366882324
0_Sport_2005,Sport,2005,25112.173704528122,3.0,191234.15441089918,75336.52111358437,37064.65677432711,7.615197181294451
0_Sport_2020,Sport,2020,31161.34648448112,2.0,221651.65818762052,62322.69296896224,56851.07998152006,7.1130321116902575
0_Education_1900,Education,1900,598540.0743273315,4.0,6507468.232888636,2394160.297309326,1059004.5044556297,10.872234812684924
0_Education_1955,Education,1955,310538.71164680575,4.0,3391885.079972953,1242154.846587223,484036.36645597836,10.922583731946267
0_Education_1975,Education,1975,84084.1911589441,3.0,750937.2477433379,252252.5734768323,153165.2656581891,8.930778037976763
0_Education_1985,Education,1985,93558.65668996928,3.0,835551.5964293855,280675.97006990784,170423.67071658716,8.930778037976763
0_Education_1995,Education,1995,273012.32428273384,3.0,2512823.6414496414,819036.9728482015,332464.6342072751,9.204066695712024
0_Education_2005,Education,2005,212915.14606726554,2.0,1584271.1553128103,425830.2921345311,403637.7006411041,7.440857001372261
0_Education_2020,Education,2020,121570.19003100753,3.0,938715.806422389,364710.5700930226,200117.3149869166,7.721595287322997
0_Health_1900,Health,1900,178475.0393125681,5.0,2568680.4143556114,892375.1965628405,365530.58837692457,14.392379036583446
0_Health_1955,Health,1955,93644.27197802799,5.0,1347763.8569126886,468221.35989013995,191790.6614062131,14.392379036583446
0_Health_1975,Health,1975,18552.934834501957,4.0,207954.9563713898,74211.73933800783,46648.78436466702,11.208736419677734
0_Health_1985,Health,1985,20643.448391997805,4.0,231386.97181912354,82573.79356799122,51905.09109052712,11.208736419677734
0_Health_1995,Health,1995,65800.29884607637,4.0,831798.1320404616,263201.1953843055,101781.91193206987,12.641251584377283
0_Health_2005,Health,2005,47404.89313524354,3.0,395478.42773150187,142214.67940573063,48884.5306871506,8.342565536499023
0_Health_2020,Health,2020,30189.238937637856,3.0,230123.693009026,90567.71681291357,40044.867700904026,7.62270600740861
