Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,2761951.823416158,3.0,23221224.278898116,8285855.470248475,6096268.951222986,8.407541392295766
Apartment Block_AB_1_Before1945,Apartment Block,1900,1817220.7422472276,3.0,16213359.45101331,5451662.226741683,4398751.761119361,8.922063827514648
Apartment Block_AB_2_Before1945,Apartment Block,1900,1022886.1719408382,4.0,11244364.329799633,4091544.687763353,1990648.656909776,10.992781639099121
Apartment Block_AB_3_Before1945,Apartment Block,1900,50477.32415474037,6.0,909646.5078375243,302863.9449284422,200514.53616514336,18.020893996856184
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1446869.042040076,3.0,12164611.360183263,4340607.126120228,3193575.913487477,8.407541392295766
Apartment Block_AB_1_1945to1969,Apartment Block,1955,955502.6228952053,3.0,8525055.388828682,2866507.8686856157,2312882.9357389337,8.922063827514648
Apartment Block_AB_2_1945to1969,Apartment Block,1955,536817.543011237,4.0,5901118.030360229,2147270.172044948,1044705.8043353151,10.992781639099121
Apartment Block_AB_3_1945to1969,Apartment Block,1955,26485.004794374752,6.0,477283.46390565526,158910.02876624852,105208.20072386754,18.020893996856184
Apartment Block_AB_0_1970to1979,Apartment Block,1975,247287.52514309445,3.0,2071843.1725861751,741862.5754292833,603180.6047209445,8.378276143882674
Apartment Block_AB_1_1970to1979,Apartment Block,1975,111716.67546932316,3.0,997652.1066296943,335150.0264079695,311352.92054624995,8.930198669433594
Apartment Block_AB_2_1970to1979,Apartment Block,1975,84401.4819004397,4.0,923265.5559931593,337605.9276017588,194303.56436032295,10.938973288197081
Apartment Block_AB_3_1970to1979,Apartment Block,1975,5804.418809480546,6.0,105933.27818298673,34826.51285688327,30953.98825928836,18.25045394897461
Apartment Block_AB_0_1980to1989,Apartment Block,1985,275151.4684233712,3.0,2305294.983845818,825454.4052701136,671145.9828692436,8.378276143882674
Apartment Block_AB_1_1980to1989,Apartment Block,1985,124304.72295346954,3.0,1110065.8715233852,372914.1688604086,346435.64505177893,8.930198669433594
Apartment Block_AB_2_1980to1989,Apartment Block,1985,93911.69921966881,4.0,1027297.5692131558,375646.79687867523,216197.36386904772,10.938973288197081
Apartment Block_AB_3_1980to1989,Apartment Block,1985,6458.45097866801,6.0,117869.66216789052,38750.70587200806,34441.83170248701,18.25045394897461
Apartment Block_AB_0_1990to2000,Apartment Block,1995,328285.2753821114,3.0,2725681.407660412,984855.8261463342,1097416.7375755317,8.302783012390137
Apartment Block_AB_1_1990to2000,Apartment Block,1995,227741.54998446463,3.0,1992224.747292142,683224.6499533938,378340.4532795868,8.747743867678258
Apartment Block_AB_2_1990to2000,Apartment Block,1995,114741.29855983448,3.0,1000948.7013725307,344223.89567950345,271289.33392251376,8.723526000976562
Apartment Block_AB_3_1990to2000,Apartment Block,1995,56523.55880869666,4.0,704919.4984397641,226094.23523478664,234005.0362987265,12.471251161406098
Apartment Block_AB_0_2000to2010,Apartment Block,2005,137411.41390740915,3.0,1132321.1698612615,412234.2417222275,434922.09265830513,8.240372016143029
Apartment Block_AB_1_2000to2010,Apartment Block,2005,43397.911144810605,3.0,376005.8152382579,130193.73343443181,111292.22653807599,8.664145469665527
Apartment Block_AB_2_2000to2010,Apartment Block,2005,95261.28501831356,3.0,833005.7810318047,285783.8550549407,163175.4280531114,8.744431495666504
Apartment Block_AB_3_2000to2010,Apartment Block,2005,22527.58381765603,4.0,272619.2359961896,90110.33527062411,79960.50766400421,12.101574594188119
Apartment Block_AB_0_Post2010,Apartment Block,2020,110743.08539526483,3.0,919206.8906341256,332229.2561857945,347022.9487447555,8.300354711567655
Apartment Block_AB_1_Post2010,Apartment Block,2020,80451.21047878223,3.0,690901.5160611931,241353.6314363467,144623.54328246426,8.5878324508667
Apartment Block_AB_2_Post2010,Apartment Block,2020,37898.85015184669,3.0,332076.75629300764,113696.55045554007,87616.26085949747,8.762185527067412
Apartment Block_AB_3_Post2010,Apartment Block,2020,18518.71040460075,4.0,215592.00447285446,74074.841618403,57444.57254601122,11.641847610473633
SFH_0_Before1945_1900,Single family- Terraced houses,1900,31931563.19635753,1.0,83408531.55312206,31931563.19635753,25852345.29212654,2.61210298538208
SFH_1_Before1945_1900,Single family- Terraced houses,1900,8551601.847018141,1.0,22841178.103667054,8551601.847018141,6407203.47496209,2.670982409176539
SFH_2_Before1945_1900,Single family- Terraced houses,1900,7013153.114811372,2.0,43855696.15074827,14026306.229622744,13933927.542993946,6.253349304199218
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,15667017.028828131,1.0,40383637.623473264,15667017.028828131,13150431.683055108,2.5776213524990275
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,4308734.395629794,1.0,11508553.776541086,4308734.395629794,3228276.8171666185,2.670982409176539
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,3676093.421532362,2.0,22987896.23971072,7352186.843064724,7303764.588959259,6.253349304199218
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,8281696.049230102,1.0,21164405.649789874,8281696.049230102,7204948.999096769,2.5555641651153564
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,2094209.5251157747,1.0,5425460.941102082,2094209.5251157747,1570446.3937217107,2.590696334838867
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,947750.3105624497,2.0,5622312.134375052,1895500.6211248995,1955542.199905015,5.932271476691416
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,9214863.659875682,1.0,23549175.355602033,9214863.659875682,8016790.5593693685,2.5555641651153564
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,2330181.5394382724,1.0,6036792.773731922,2330181.5394382724,1747401.6574943399,2.590696334838867
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,1054541.2248315606,2.0,6255824.829063497,2109082.4496631213,2175889.4127650675,5.932271476691416
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,10948143.779052103,1.0,28246732.212257233,10948143.779052103,8727974.798007455,2.580047611934345
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,2817809.3675121125,1.0,7435828.577102855,2817809.3675121125,1939132.2000364338,2.638868570327759
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,2048185.0694934402,2.0,12150389.866741162,4096370.1389868804,4226126.113567639,5.932271476691416
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,11764321.57414964,1.0,30352509.78341247,11764321.57414964,9378640.277934259,2.580047611934345
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,2619024.3015755685,1.0,6762284.575031598,2619024.3015755685,1838825.9351102065,2.58198618888855
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,1241890.9960373868,2.0,7055494.935212372,2483781.9920747736,2493506.1979172765,5.681251380133179
