Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FRK21,1100,40292.67051431432,1192.69,5.602690248524107,46.15311841581475
Apartment Block,FRK21,1200,4086916.7137839375,1291.55,5.653774261618255,46.25356912748325
Apartment Block,FRK21,1300,14924107.171692934,1329.66,4.7835133940810834,45.941134736366365
Apartment Block,FRK22,1300,2659375.80614027,1360.27,4.667128821524255,45.231287297979925
Apartment Block,FRK22,1400,6291492.657215912,1449.69,4.132651773347319,44.40475399994296
Apartment Block,FRK22,1500,558668.2726205913,1519.91,4.64434332966918,44.36962909127666
Apartment Block,FRK23,1200,1955.790349369403,1266.655,5.753007560174565,44.67288392534809
Apartment Block,FRK23,1300,487335.83688684495,1389.94,4.817950169269518,45.289091937265404
Apartment Block,FRK23,1400,13505070.319164727,1449.75,5.01101663199197,44.902124749092124
Apartment Block,FRK23,1500,5468458.106535133,1515.21,4.76905597526761,44.53606634458025
Apartment Block,FRK24,900,6765.203262258321,980.09,5.659823099909146,45.20341329996425
Apartment Block,FRK24,1000,7029.642892481759,1054.37,5.8695145338623185,45.06528907519577
Apartment Block,FRK24,1100,28222.474104462424,1162.23,5.661557455940811,45.205153651712465
Apartment Block,FRK24,1200,355718.4865645718,1285.78,5.832845713233659,45.197942885139064
Apartment Block,FRK24,1300,41212624.4095068,1362.43,5.691970376873096,45.15827064241639
Apartment Block,FRK24,1400,942258.4306140351,1415.02,5.7864900951556155,44.90662831006117
Apartment Block,FRK25,1200,2115487.0318784253,1295.455,4.44026000368133,45.43221467701343
Apartment Block,FRK25,1300,35894388.59651877,1316.03,4.288277839550858,45.38089775003037
Apartment Block,FRK26,1200,2748913.720960037,1286.06,4.4479032312243865,45.89215317733479
Apartment Block,FRK26,1300,121421423.11259528,1336.68,4.801947096456415,45.68971124941194
Apartment Block,FRK27,1100,28303.67570463242,1164.015,5.818098212533663,45.539484466053665
Apartment Block,FRK27,1200,700376.3349771077,1274.665,6.588324346589865,45.738971124482596
Apartment Block,FRK27,1300,18209888.240825657,1363.18,6.351029550576742,45.27216438963897
Apartment Block,FRK27,1400,541977.0632618302,1408.98,6.348675299514257,45.27597903518567
Apartment Block,FRK28,1000,2335.8213055059314,1069.12,6.75506955000942,46.03646909999291
Apartment Block,FRK28,1100,598480.8082151866,1179.98,6.871488671381027,45.923546327185704
Apartment Block,FRK28,1200,2055918.9879797841,1269.05,6.707964430598945,46.18165198290523
Apartment Block,FRK28,1300,22919295.098826222,1352.46,6.147174458201887,45.907338154031045
Education,FRK21,1200,61835.18886502122,1285.935,5.8105410965897795,45.914300436271624
Education,FRK21,1300,1253281.190708487,1324.965,5.508011389123581,46.00300493094961
Education,FRK22,1200,196.74230791255832,1281.73,4.553638069548132,45.20100890708655
Education,FRK22,1300,174920.39670279803,1364.745,4.588504843062505,44.98900833988461
Education,FRK22,1400,361987.2352925491,1444.67,4.870759234397692,44.931830821220906
Education,FRK22,1500,47184.199082588355,1519.29,4.644790937420193,44.37455771322422
Education,FRK23,1200,672.998152911663,1294.92,5.430817388312679,44.93657753632326
Education,FRK23,1300,26924.18821347109,1394.12,4.8369231960335775,45.1591223987545
Education,FRK23,1400,875091.6919452227,1449.65,4.902144276813521,44.94284078781066
Education,FRK23,1500,215036.25972216943,1533.99,4.697288808559871,44.383094594187774
Education,FRK24,1100,3071.70649150759,1187.24,6.086922634595338,45.32019282105985
Education,FRK24,1200,112278.44391194347,1283.1499,5.667537030092081,45.20074251202004
Education,FRK24,1300,5035166.059019184,1360.05,5.14749059789145,45.605921232448594
Education,FRK24,1400,50286.123694407084,1411.08,5.757479846229004,45.11626985451219
Education,FRK25,1200,146840.44757803367,1291.26,4.433134660768074,45.42285366777979
Education,FRK25,1300,1079722.189833867,1316.755,4.27975682012865,45.38030318077446
Education,FRK26,1200,72477.1351821511,1287.025,4.435303176269122,45.89698728688306
Education,FRK26,1300,6591908.652833785,1338.07,4.867264886375368,45.783692970153226
Education,FRK27,1100,932.891048819758,1166.95,6.447618592208903,45.583540114572656
Education,FRK27,1200,66219.99170251843,1275.31,6.5281231761992435,45.483133569812914
Education,FRK27,1300,958099.8410669301,1356.12,6.380568462074777,45.66335386685707
Education,FRK27,1400,14698.139650762198,1407.57,6.3480203236608785,45.27542849072943
Education,FRK28,1100,15216.101007283665,1172.75,6.86422672567869,45.91656329559923
Education,FRK28,1200,146697.37765766575,1261.97,6.158295297575517,46.13706145563437
Education,FRK28,1300,1790764.6255830366,1352.94,6.078833303297129,46.143331141948416
Health,FRK21,1200,45920.799058478326,1296.39,5.629951793811498,46.25961103322716
Health,FRK21,1300,170802.71787683386,1319.08,5.210480138303006,46.22234322179921
Health,FRK22,1300,43271.30791152222,1358.075,4.763607224852601,45.319356133043016
Health,FRK22,1400,65235.96148815856,1441.28,4.583727234302761,44.7307295404923
Health,FRK23,1300,9111.426553416997,1393.045,4.820485416593385,45.17367140430613
Health,FRK23,1400,117222.61029394576,1450.81,5.3717863791783,44.75540630645203
Health,FRK23,1500,100679.03393709706,1515.25,4.783046264133893,44.568609508196616
Health,FRK24,1200,11929.382600532379,1268.57,5.738296487634568,45.38746321500292
Health,FRK24,1300,684943.0822213456,1370.29,5.322800860026807,45.15244786680511
Health,FRK24,1400,9314.13847168954,1419.9551,5.795850630265906,44.90443422309752
Health,FRK25,1200,82991.98501086721,1294.97,4.079827441660238,46.04298799129945
Health,FRK25,1300,257106.6911951413,1312.74,4.04885349488631,45.61220824026728
Health,FRK26,1200,26658.626412433572,1273.5349,4.591686170555035,46.15356443738953
Health,FRK26,1300,2036402.9139248042,1340.45,4.851912150979849,45.72222161835103
Health,FRK27,1200,19054.617929714732,1260.4299,6.535173481995347,45.483449452181084
Health,FRK27,1300,314768.726745164,1367.89,5.913361279032013,45.563822718076864
Health,FRK27,1400,18432.351611591876,1401.335,6.341467028731787,45.2781154778685
Health,FRK28,1100,6769.875790151302,1166.17,6.86241293697142,45.91401796323487
Health,FRK28,1200,7573.670138478279,1299.29,6.57345798015884,46.066215929869195
Health,FRK28,1300,404699.5428469365,1343.15,6.32267999266416,46.060793627734434
Hotels and Restaurants,FRK21,1100,559.9854956716299,1138.14,5.598794012318926,46.15427552728821
Hotels and Restaurants,FRK21,1200,6626.617276644567,1271.74,5.676331498972372,46.19054023096731
Hotels and Restaurants,FRK21,1300,102153.34527519789,1319.4,5.594884771033822,45.969092197252046
Hotels and Restaurants,FRK22,1300,30773.57468216284,1365.87,4.727380697541173,45.31718154980211
Hotels and Restaurants,FRK22,1400,23823.814910484594,1449.5,4.7015455618768085,44.71784645489353
Hotels and Restaurants,FRK22,1500,3707.4331662371987,1513.56,4.632351891243144,44.38325715015545
Hotels and Restaurants,FRK23,1300,3197.6036985761893,1352.17,5.297499361840192,45.030362910344685
Hotels and Restaurants,FRK23,1400,97101.006917983,1467.93,4.884274053017805,44.83860330189845
Hotels and Restaurants,FRK23,1500,41581.421011850995,1513.5,5.378834137516132,44.48591529493578
Hotels and Restaurants,FRK24,1100,3153.699345957546,1189.375,5.827359700064015,45.04313730503411
Hotels and Restaurants,FRK24,1200,12882.131226629688,1293.35,5.619037176608882,45.32942698165536
Hotels and Restaurants,FRK24,1300,487288.01807103644,1358.81,5.146743666901033,45.618758001168274
Hotels and Restaurants,FRK24,1400,13637.785987507814,1412.5149,5.9286302370156045,44.81656959205849
Hotels and Restaurants,FRK25,1200,33045.299237169194,1290.325,4.082614264941953,46.149017853422556
Hotels and Restaurants,FRK25,1300,171140.7558109503,1339.435,4.214121172538138,45.5241704679543
Hotels and Restaurants,FRK26,1200,6562.714781627408,1289.855,4.593678203962229,45.97080766629939
Hotels and Restaurants,FRK26,1300,1067853.8626616616,1335.4099,4.842742135287341,45.75126274883079
Hotels and Restaurants,FRK27,1100,164.80846045259386,1119.0901,6.542933123449279,45.72058284413359
Hotels and Restaurants,FRK27,1200,15351.37891027215,1274.2749,6.482573746550445,45.51770359423786
Hotels and Restaurants,FRK27,1300,344567.2397722342,1361.98,5.982497646697938,45.64693118348555
Hotels and Restaurants,FRK27,1400,49246.3413022646,1416.58,6.571111340249834,45.33117734211813
Hotels and Restaurants,FRK28,1000,917.2188801071607,1083.2,6.788911494344942,46.36945762612234
Hotels and Restaurants,FRK28,1100,40702.66421944517,1191.95,6.728103831854293,45.81234383462102
Hotels and Restaurants,FRK28,1200,90225.33310578414,1249.49,6.701191502338906,46.3597074319017
Hotels and Restaurants,FRK28,1300,290661.03743336024,1335.795,6.1815795510266245,45.82934743275239
Industrial,FRK21,1000,1176.018317276612,1093.27,5.613354759125938,46.14417245586532
Industrial,FRK21,1100,69120.89392749593,1156.025,5.639780708141887,46.144391166740455
Industrial,FRK21,1200,4248466.868244405,1290.69,5.663244322137453,46.28054953554115
Industrial,FRK21,1300,17972056.723101526,1324.48,4.940539250503222,46.115946331146674
Industrial,FRK22,1200,4657.1271349233575,1273.95,4.521116332740709,45.186049949246964
Industrial,FRK22,1300,1846107.8880931505,1359.84,4.802718254372139,45.254792857010024
Industrial,FRK22,1400,5345512.758695081,1454.5,4.843667232643993,44.86640130560194
Industrial,FRK22,1500,85103.56106465796,1518.47,4.645287814988115,44.37858535723333
Industrial,FRK23,1300,1042432.6768416587,1393.46,4.8099564308465625,45.21614251259547
Industrial,FRK23,1400,9324134.37896331,1453.24,4.9213284667754955,44.93869658437342
Industrial,FRK23,1500,8310959.9896348175,1539.725,4.705468929470794,44.36774042168317
Industrial,FRK24,900,6776.726912845857,977.98,5.860182933565745,45.05756840588834
Industrial,FRK24,1000,33197.78266297351,1035.98,5.74967369051849,45.3718437504923
Industrial,FRK24,1100,195531.80660916376,1164.575,5.620961337926384,45.25613838831792
Industrial,FRK24,1200,787107.069211494,1274.18,5.626990687351048,45.25896494014675
Industrial,FRK24,1300,28652804.054026514,1357.32,4.779009419998868,45.401824034686385
Industrial,FRK24,1400,296879.89181887987,1405.78,5.735806099959533,45.13189684997883
Industrial,FRK25,1200,3661697.080704501,1293.56,4.049292347401145,46.04972954824152
Industrial,FRK25,1300,19558464.027727015,1319.08,4.304246021103017,45.39084915720887
Industrial,FRK26,1200,1374505.3026771965,1282.39,4.413942487523604,45.89163240439021
Industrial,FRK26,1300,52124635.26647121,1340.445,4.81426693645022,45.625842114444765
Industrial,FRK27,1000,955.74129057955,1048.85,6.707891802840016,45.407695660713124
Industrial,FRK27,1100,306440.0837039374,1176.395,6.3501579847635945,45.30472694856
Industrial,FRK27,1200,866603.9449298624,1271.49,6.43722094594728,45.638296381330846
Industrial,FRK27,1300,8685764.519480076,1357.67,6.755228257360778,45.600640469743134
Industrial,FRK27,1400,17881.858686049876,1405.62,6.716843351884352,45.216010527449924
Industrial,FRK27,1500,365.24283980671316,1503.1,6.8910198141561585,45.42384695709512
Industrial,FRK28,900,4617.884561039275,985.96,6.584499178076751,46.05104452802468
Industrial,FRK28,1000,88209.50109144376,1067.74,6.586432511739524,46.05067401000017
Industrial,FRK28,1100,623408.2867238119,1166.6799,6.577367037166923,46.05678244857681
Industrial,FRK28,1200,1552106.1873646798,1269.55,6.436941066477245,45.90585101202281
Industrial,FRK28,1300,12228583.042549815,1350.85,6.02902305000044,46.1236069499958
Offices,FRK21,1100,11631.421779630706,1167.965,5.602448830971228,46.15202379614856
Offices,FRK21,1200,61426.9431976324,1288.95,5.331218057000761,46.14442936728544
Offices,FRK21,1300,537905.9834125189,1324.4,6.056181125454035,46.25447683119323
Offices,FRK22,1200,945.1882229503244,1282.46,4.554145538338574,45.201830277538974
Offices,FRK22,1300,81798.18630917446,1362.82,4.625141470366684,45.08671218067349
Offices,FRK22,1400,264212.08846901334,1442.85,4.254522634188794,44.63538844175414
Offices,FRK22,1500,7709.547686928301,1511.1951,4.642276127786175,44.397056202870445
Offices,FRK23,1200,677.2538742746692,1292.19,5.430760970120495,44.93564603758073
Offices,FRK23,1300,157681.70518092532,1390.71,4.812191277386531,45.19989985163015
Offices,FRK23,1400,537924.7237189848,1452.19,4.887612086140499,44.92426030123974
Offices,FRK23,1500,82974.13998380263,1524.21,4.782434915872225,44.51560060739099
Offices,FRK24,1000,36.57170943822712,1051.76,5.871776634642231,45.065884684878256
Offices,FRK24,1100,12801.543716560118,1167.575,6.087730542599709,45.319186616277115
Offices,FRK24,1200,26393.294333834478,1279.4451,5.553159846794354,44.961445927490665
Offices,FRK24,1300,3753297.9491189513,1368.56,5.783288211962089,45.20922264902274
