Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,21964380.283531744,3.0,208507111.46264693,65893140.85059523,80479454.83115338,9.492965827903623
Apartment Block_AB_1_Before1945,Apartment Block,1900,7914563.494074386,4.0,98081461.48187737,31658253.976297542,20604552.66036052,12.392529487609863
Apartment Block_AB_2_Before1945,Apartment Block,1900,15395456.03727789,4.0,198793112.52395156,61581824.14911156,41887494.04163044,12.912453651428223
Apartment Block_AB_3_Before1945,Apartment Block,1900,5975207.370861471,6.0,114093081.82504234,35851244.225168824,22051484.657235973,19.09441375732422
Apartment Block_AB_0_1945to1969,Apartment Block,1955,12073261.912588395,3.0,115195060.7571763,36219785.737765186,42799606.09611518,9.541337013244629
Apartment Block_AB_1_1945to1969,Apartment Block,1955,4146955.8728310834,4.0,50711221.46792371,16587823.491324333,11142678.204994155,12.228541374206543
Apartment Block_AB_2_1945to1969,Apartment Block,1955,7932202.867783741,4.0,105208222.20546623,31728811.471134964,23093476.259965073,13.26343059539795
Apartment Block_AB_3_1945to1969,Apartment Block,1955,2939926.460555233,6.0,56632079.61095747,17639558.7633314,9973423.084240528,19.26309394836426
Apartment Block_AB_0_1970to1979,Apartment Block,1975,1351739.684690761,3.0,11920509.004066577,4055219.0540722827,4876058.585050653,8.818642479075878
Apartment Block_AB_1_1970to1979,Apartment Block,1975,475499.73979314725,3.0,4929477.509417442,1426499.2193794418,1309922.4687996916,10.366940498352053
Apartment Block_AB_2_1970to1979,Apartment Block,1975,856049.968360735,4.0,9174503.861563262,3424199.87344294,2339493.2378363134,10.717252731323242
Apartment Block_AB_3_1970to1979,Apartment Block,1975,277561.0364277032,5.0,4433001.821969199,1387805.182138516,1170734.4033680842,15.971268442513797
Apartment Block_AB_0_1980to1989,Apartment Block,1985,1504051.4435719566,3.0,13263691.950999053,4512154.33071587,5425484.682329674,8.818642479075878
Apartment Block_AB_1_1980to1989,Apartment Block,1985,529078.2523837676,3.0,5484922.761434609,1587234.7571513029,1457522.3339812208,10.366940498352053
Apartment Block_AB_2_1980to1989,Apartment Block,1985,952508.2419824376,4.0,10208271.55799418,3810032.96792975,2603103.4092185576,10.717252731323242
Apartment Block_AB_3_1980to1989,Apartment Block,1985,308836.14814779937,5.0,4932505.026820464,1544180.7407389968,1302650.7909531048,15.971268442513797
Apartment Block_AB_0_1990to2000,Apartment Block,1995,4907547.548476799,3.0,43111765.459680475,14722642.6454304,16975787.65030964,8.784788131713867
Apartment Block_AB_1_1990to2000,Apartment Block,1995,1487409.4394549085,3.0,15346073.906393051,4462228.318364725,4193556.3908552886,10.317316469375731
Apartment Block_AB_2_1990to2000,Apartment Block,1995,2716131.9345141076,4.0,29250007.730436705,10864527.73805643,7364056.8427177,10.768993714463756
Apartment Block_AB_3_1990to2000,Apartment Block,1995,723016.0368611767,5.0,11484912.436525133,3615080.1843058835,2867409.027695571,15.884727102851665
Apartment Block_AB_0_2000to2010,Apartment Block,2005,2581779.0110625303,3.0,22522662.5765994,7745337.0331875915,9220874.91843436,8.723698844902378
Apartment Block_AB_1_2000to2010,Apartment Block,2005,622443.8144712026,3.0,6058945.981019144,1867331.4434136075,1859535.6612547366,9.734125137329102
