Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,386632.6477804295,3.0,3654498.4939760305,1159897.9433412885,985698.08056527,9.45212080499585
Apartment Block_AB_1_Before1945,Apartment Block,1900,126519.503042728,3.0,1316360.4665084747,379558.509128184,277557.4447559241,10.404407501220703
Apartment Block_AB_2_Before1945,Apartment Block,1900,196834.62480923109,5.0,2868891.7364226696,984173.1240461554,554605.6349586546,14.575137576547585
Apartment Block_AB_3_Before1945,Apartment Block,1900,120063.30032952475,5.0,1929477.3885240448,600316.5016476237,331542.92980987654,16.070501004290378
Apartment Block_AB_0_1945to1969,Apartment Block,1955,174637.95155118697,3.0,1581456.841491626,523913.8546535609,363142.65429898904,9.055630963628749
Apartment Block_AB_1_1945to1969,Apartment Block,1955,70578.9921218017,4.0,849363.9593838538,282315.9684872068,128997.38913682276,12.034231913060815
Apartment Block_AB_2_1945to1969,Apartment Block,1955,127261.35218830637,4.0,1674037.0148223694,509045.40875322546,285415.04810423293,13.154323650005907
Apartment Block_AB_3_1945to1969,Apartment Block,1955,52349.40512826582,6.0,907989.302565825,314096.4307695949,195441.63206212927,17.34478740190231
Apartment Block_AB_0_1970to1979,Apartment Block,1975,32495.5305995072,3.0,280639.0154222738,97486.59179852161,89280.18842065106,8.636234283447266
Apartment Block_AB_1_1970to1979,Apartment Block,1975,11894.069268579435,3.0,118301.42003809061,35682.207805738304,25343.24777653889,9.946252822875977
Apartment Block_AB_2_1970to1979,Apartment Block,1975,23585.79707102958,4.0,254579.86606177178,94343.18828411833,46481.29682857565,10.793778361405138
Apartment Block_AB_3_1970to1979,Apartment Block,1975,9181.78259841386,6.0,152356.51708033157,55090.695590483156,27349.659809510194,16.59334834465052
Apartment Block_AB_0_1980to1989,Apartment Block,1985,36157.072446242986,3.0,312260.9486493302,108471.21733872897,99340.13020204875,8.636234283447266
Apartment Block_AB_1_1980to1989,Apartment Block,1985,13234.273030494254,3.0,131631.42548826488,39702.819091482765,28198.882399332157,9.946252822875977
Apartment Block_AB_2_1980to1989,Apartment Block,1985,26243.40509807016,4.0,283265.498077139,104973.62039228065,51718.73133998376,10.793778361405138
Apartment Block_AB_3_1980to1989,Apartment Block,1985,10216.37045069631,6.0,169523.79370639808,61298.22270417785,30431.373572572367,16.59334834465052
Apartment Block_AB_0_1990to2000,Apartment Block,1995,64260.98223018001,3.0,557042.705271559,192782.94669054003,181331.87909892993,8.66844367980957
Apartment Block_AB_1_1990to2000,Apartment Block,1995,46894.98281826859,4.0,498200.45090299664,187579.93127307435,96994.02189486272,10.623747381114633
Apartment Block_AB_2_1990to2000,Apartment Block,1995,20769.074303040776,4.0,227265.61042700414,83076.2972121631,53235.173479524725,10.942500715774822
