Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,FRM01,1600,3198059.6832050285,1619.35,8.735481718181784,41.92079272401662
Apartment Block,FRM02,1400,1335780.8349331906,1497.615,9.4321320771839,42.578131618883084
Apartment Block,FRM02,1500,1666756.8051084704,1510.81,9.451267626190598,42.69243268522421
Apartment Block,FRM02,1600,481315.3389868468,1629.27,8.748701232587626,42.55865230055043
Education,FRM01,1400,674.0633058203384,1471.4651,9.129034286019397,41.90769490387096
Education,FRM01,1500,19997.214783195173,1562.78,9.202840992033327,41.58985541190048
Education,FRM01,1600,185884.17891051565,1618.77,8.735621524198324,41.930610894976134
Education,FRM02,1400,82912.33592742495,1486.21,9.444725846941443,42.70401809280015
Education,FRM02,1500,289881.7585921022,1542.635,9.153753175024274,42.29945229197952
Education,FRM02,1600,28507.319205890642,1618.9851,8.93785588789413,42.629011220687666
Health,FRM01,1600,55538.81922269054,1617.74,8.733786314216495,41.92294602565786
Health,FRM02,1500,28445.634875753894,1512.79,9.429157545341102,42.681988022237896
Health,FRM02,1600,2279.7153943297453,1626.03,8.765636136854232,42.548159162453814
Hotels and Restaurants,FRM01,1400,423.4845969034359,1481.15,8.911482041126707,42.189917211946025
Hotels and Restaurants,FRM01,1500,13420.056149490643,1592.9299,8.866934103937187,41.63974303983664
Hotels and Restaurants,FRM01,1600,41003.24313483172,1607.05,9.318887631702337,41.63189610578597
Hotels and Restaurants,FRM02,1300,224.8963200505823,1374.05,8.880846374709847,42.49552044275741
Hotels and Restaurants,FRM02,1400,16947.221478730207,1490.585,9.441997508398678,42.70523209824087
Hotels and Restaurants,FRM02,1500,34979.21083376778,1556.405,9.330472934488288,42.717057603099235
Hotels and Restaurants,FRM02,1600,13520.798413256533,1626.71,8.785007002496739,42.53693808016332
Industrial,FRM01,1500,62823.275086950045,1569.9,8.904695081451322,41.937888547780894
Industrial,FRM01,1600,894459.0749445697,1617.61,8.901895116530333,41.65589514799676
Industrial,FRM02,1400,6113.273989642505,1490.45,9.511962822439552,42.37014447191267
Industrial,FRM02,1500,1441146.5776281003,1514.64,9.443055217480826,42.66466545120561
Industrial,FRM02,1600,101453.6680956122,1631.06,8.803750249957915,42.536687099925416
Offices,FRM01,1400,630.7609862904064,1483.42,8.91097781883839,42.189090502616494
Offices,FRM01,1500,7675.783630453516,1565.9,9.14806476765482,41.721270063369914
Offices,FRM01,1600,108849.18691629427,1619.7949,8.735339151037492,41.920176070617224
Offices,FRM02,1400,54276.41545152129,1486.32,9.451220641991833,42.29879205410113
Offices,FRM02,1500,35747.46441735793,1540.96,9.370250924614458,41.927016346846706
Offices,FRM02,1600,4310.504687245237,1632.8,8.75285699993902,42.56317349995584
Other non-residential buildings,FRM01,1300,113.1412883659359,1321.5,9.065007123344149,42.153207165457474
Other non-residential buildings,FRM01,1400,9278.23888229212,1486.585,9.05289043827119,42.08005741376489
Other non-residential buildings,FRM01,1500,94249.30249415661,1563.51,9.385630273623036,41.86598479600366
Other non-residential buildings,FRM01,1600,477763.8718686483,1619.14,8.737059040977066,41.9222226764485
Other non-residential buildings,FRM02,1100,119.80003306921571,1138.25,9.03214705210615,42.230039065916046
Other non-residential buildings,FRM02,1200,387.3207861511037,1252.46,9.08498929364405,42.22957846400516
Other non-residential buildings,FRM02,1300,2302.0079511434305,1385.405,9.259283617953814,41.986530795877904
Other non-residential buildings,FRM02,1400,113609.41139453277,1477.41,9.362353032649727,42.426074779032696
Other non-residential buildings,FRM02,1500,549178.2418967114,1543.73,9.389256152096406,42.90385855561353
Other non-residential buildings,FRM02,1600,179476.66094587406,1621.135,8.945426485307241,42.63202757055381
Single family- Terraced houses,FRM01,1300,1070.2165891111363,1397.2,9.071768580979501,41.71674134665708
Single family- Terraced houses,FRM01,1400,183784.3329646153,1481.7,8.910792460087023,42.18879100665278
Single family- Terraced houses,FRM01,1500,3740205.8895250056,1565.53,9.141618599988405,41.76844174996993
Single family- Terraced houses,FRM01,1600,6855630.674593148,1619.42,8.877212510798312,41.609371048449795
Single family- Terraced houses,FRM02,1000,40.281740540638566,1094.02,9.032192641099414,42.22993413405999
Single family- Terraced houses,FRM02,1100,643.9805160751566,1128.1,9.03228979999935,42.23037454999118
Single family- Terraced houses,FRM02,1200,444.2453681874322,1273.26,8.90095820000185,42.42606249999608
Single family- Terraced houses,FRM02,1300,24193.74066168233,1386.645,9.48876403206768,42.32835649324822
Single family- Terraced houses,FRM02,1400,1910129.2230676115,1481.56,9.407630753416445,42.34326763525923
Single family- Terraced houses,FRM02,1500,8405393.727464609,1546.47,9.382290265411719,41.94923339812304
Single family- Terraced houses,FRM02,1600,2045094.9039310138,1616.51,9.55399341951568,42.15543245263139
Sport,FRM01,1600,23047.435030022636,1617.16,8.915102770786412,41.67170975903035
Sport,FRM02,1500,31832.32375249546,1518.76,9.45240645596804,42.548569381650275
Sport,FRM02,1600,8186.222098179162,1626.125,8.796949553443612,42.548999346643164
Trade,FRM01,1400,1281.736257108394,1496.35,8.722727877384369,42.25371188021813
Trade,FRM01,1500,36775.18788725627,1589.95,9.353468026911987,41.70360402352576
Trade,FRM01,1600,1305061.8488102113,1614.3999,8.919229931339919,41.66799829173558
Trade,FRM02,1400,32572.34029555926,1492.1,9.474090583620365,42.329476935234226
Trade,FRM02,1500,750372.9485601913,1546.65,9.539408993040654,42.31897626459158
Trade,FRM02,1600,97440.45477226865,1616.14,9.022501366534774,42.637686699724746
