Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,HR061,1300,443336.3876780465,1309.26,16.43506247498187,46.384538661927046
Apartment Block,HR062,1200,1858.0879837889224,1299.26,15.946848200040261,46.258133067622026
Apartment Block,HR062,1300,880343.3254436648,1308.89,16.340927635736584,46.29676956505742
Apartment Block,HR063,1300,609083.7017511602,1319.93,16.822558099782118,46.16395249988544
Apartment Block,HR064,1200,32064.71703775646,1293.47,15.87261338243356,46.16260116832284
Apartment Block,HR064,1300,41157.79418563109,1302.965,16.11855621312629,46.0044697537853
Apartment Block,HR065,1200,13810.171281519346,1298.4,15.700905949994636,45.821988299985165
Apartment Block,HR065,1300,803415.4344548418,1304.75,15.71796100119818,45.8001426400425
Education,HR061,1300,112210.0521031688,1308.91,16.671348291184525,46.38324399498411
Education,HR062,1200,16147.328171612695,1295.64,16.037514663885364,46.24302434115136
Education,HR062,1300,170390.8767667408,1308.89,16.34323214037659,46.3016665425564
Education,HR063,1300,142135.52540987637,1318.47,16.58560185000751,46.002182949978305
Education,HR064,1200,60432.49611085036,1293.27,15.673996599990323,46.21314019995904
Education,HR064,1300,50926.892317972146,1302.485,16.11969373299756,46.00209133131552
Education,HR065,1200,26083.56510455627,1294.36,15.47994500220872,45.68483289609312
Education,HR065,1300,278077.7991512781,1311.59,16.314701035215823,45.93164620147048
Health,HR061,1300,24765.43328794092,1309.26,16.433943749404495,46.393898446629365
Health,HR062,1300,60895.49583277851,1309.22,16.338567286913186,46.164844548120165
Health,HR063,1300,30008.54247713834,1320.47,16.8364311506909,46.163077077144294
Health,HR064,1200,14898.792962083593,1285.62,15.838474139835107,46.09337920593853
Health,HR064,1300,11634.197016457096,1303.83,15.939248269181995,46.01786632838867
Health,HR065,1300,20213.32112872321,1303.05,15.80236413375195,45.85757721875112
Hotels and Restaurants,HR061,1200,42.540437006391585,1299.04,16.362844533975952,46.54740135237521
Hotels and Restaurants,HR061,1300,5679.057517502457,1309.62,16.44742138977067,46.39078161383353
Hotels and Restaurants,HR062,1300,12168.131248550955,1308.035,16.337336823292514,46.3031524353851
Hotels and Restaurants,HR063,1300,2021.3002702014055,1319.47,16.815992424410783,46.167585295580395
Hotels and Restaurants,HR064,1200,11110.097939981148,1294.71,15.83702512609612,46.092229045895
Hotels and Restaurants,HR064,1300,5078.038343504071,1301.46,15.938604561351474,45.97606813607609
Hotels and Restaurants,HR065,1200,583.6200333777815,1298.64,15.709680106650284,45.8036575287539
Hotels and Restaurants,HR065,1300,12650.708267247071,1308.21,15.651630602770885,45.672855273716145
Industrial,HR061,1300,833976.941058669,1308.53,16.686740749893055,46.383556949983465
Industrial,HR062,1300,1331486.451704432,1308.89,16.355957730484494,46.281042488538134
Industrial,HR063,1300,870102.3943721277,1319.84,17.170556649951582,45.98012954996415
Industrial,HR064,1200,332950.2021999387,1282.04,15.726920765988519,46.21706346248088
Industrial,HR064,1300,411427.42565256404,1303.36,15.897916958328553,46.021566494583276
Industrial,HR065,1200,76370.25896139513,1293.2,15.765256649981344,45.798117099965815
Industrial,HR065,1300,2550471.9431845304,1309.365,15.80498705071611,45.76291028237978
Offices,HR061,1300,24996.616210949607,1309.1,16.66960202320198,46.38261089865276
Offices,HR062,1200,5313.9092826824635,1295.47,16.042006969130572,46.21006021332724
Offices,HR062,1300,9294.760568925645,1308.9451,16.33434916858917,46.165967893847544
Offices,HR063,1300,5771.7877430431545,1319.5,16.836858162971122,46.18168909557256
Offices,HR064,1200,1190.4703791351058,1298.705,15.834529939877667,46.09103405910392
Offices,HR065,1200,808.3934418153949,1293.56,15.702741599995228,45.79622449999368
Offices,HR065,1300,38311.722447434906,1309.62,15.660367201153372,45.65224511928755
Other non-residential buildings,HR061,1200,5167.786525251693,1298.89,16.365250723196993,46.547005352356194
Other non-residential buildings,HR061,1300,317089.2583168472,1308.29,16.356486634425497,46.32446596724614
Other non-residential buildings,HR062,1100,179.41376451775432,1176.83,16.05976665216341,46.19719719554628
Other non-residential buildings,HR062,1200,13212.6297695986,1295.83,16.19179685324167,46.21010103024103
Other non-residential buildings,HR062,1300,250471.23952144023,1308.89,16.353858379986622,46.28171931293202
Other non-residential buildings,HR063,1300,372142.8619518897,1319.84,16.80456780790525,46.151175654747995
Other non-residential buildings,HR064,1200,63468.645324052544,1294.51,15.684563181540994,46.211333900926
Other non-residential buildings,HR064,1300,139622.14602944814,1303.63,15.712760231921301,46.00389183724236
Other non-residential buildings,HR065,1200,21539.555260199355,1289.3,15.670528318293469,45.74804154529507
