Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,HU231,1200,6173.27149025118,1295.64,18.210905640691283,46.089006630163205
Apartment Block,HU231,1300,10294022.922940021,1314.52,18.1999473688302,46.07136245457279
Apartment Block,HU232,1200,918403.2494859018,1295.55,18.036838391832955,46.90065952019161
Apartment Block,HU232,1300,2081066.8425939307,1322.64,17.785934049995458,46.347199749988526
Apartment Block,HU233,1300,1441681.0284211878,1318.92,18.700361099836947,46.348488524879556
Education,HU231,1300,878231.4228729389,1319.55,18.222813762857786,46.04208457431173
Education,HU232,1200,90258.02983466117,1295.06,17.83483825572798,46.82991579424553
Education,HU232,1300,418373.1125769238,1317.015,17.285559410863993,46.412959645844616
Education,HU233,1300,339954.6285287724,1318.38,18.13039668471347,46.37287625231231
Health,HU231,1300,223429.59386241063,1315.325,18.220099482611147,46.07343643463194
Health,HU232,1200,38594.45806342363,1296.035,18.043185909696955,46.9006990160853
Health,HU232,1300,77175.24485752732,1322.57,17.797760447947876,46.358836158497546
Health,HU233,1300,54949.46121738944,1317.68,18.70012323402727,46.343834328866464
Hotels and Restaurants,HU231,1200,68.06368074938655,1297.82,18.154704300000997,46.14493944999284
Hotels and Restaurants,HU231,1300,192934.11329417,1321.07,18.248029149998196,46.02704839999452
Hotels and Restaurants,HU232,1200,112295.7492202589,1293.83,17.78605204999265,46.80922004999289
Hotels and Restaurants,HU232,1300,72071.88174377696,1322.39,17.47055796549269,45.965150092163846
Hotels and Restaurants,HU233,1300,98328.28000526968,1317.65,18.149033399980677,46.37635049999249
Industrial,HU231,1200,432.22685282770544,1282.1,18.41136469716663,46.22103113090993
Industrial,HU231,1300,5032604.389769097,1326.01,18.086247207086686,46.02536592412877
Industrial,HU232,1200,444357.4755157451,1296.08,18.08232530000748,46.91070864998222
Industrial,HU232,1300,2807039.236490569,1320.74,17.462367249690246,46.05868779969075
Industrial,HU233,1300,3758230.4158685305,1318.63,18.0596822249556,46.488891005725755
Offices,HU231,1300,196307.85569119966,1320.2,18.22344073288124,46.03892604768225
Offices,HU232,1200,40375.8562844377,1294.5901,17.882661335560364,46.85539879205063
Offices,HU232,1300,91667.25384269003,1319.65,17.491782224779573,46.305914152657586
Offices,HU233,1300,131855.27961813915,1310.42,18.770272272937177,46.70846438630521
Other non-residential buildings,HU231,1200,500.8575037876144,1297.71,18.452082649993457,46.22171624999072
Other non-residential buildings,HU231,1300,1535283.8678037005,1325.08,18.240586151807868,46.0188040950935
Other non-residential buildings,HU232,1200,179920.1042099417,1294.61,18.053899629941025,46.907096178799854
Other non-residential buildings,HU232,1300,820687.3447483047,1318.99,17.956993592870276,46.36134295776328
Other non-residential buildings,HU233,1300,974598.1371914016,1318.99,18.125446149968564,46.348714449926355
Single family- Terraced houses,HU231,1200,122464.47916108102,1293.26,18.24056515000521,46.09923049997873
Single family- Terraced houses,HU231,1300,19949085.71481575,1326.84,17.936521850051548,45.81040244998155
Single family- Terraced houses,HU232,1200,5708889.152200648,1295.5,17.327354081812057,46.71231797873276
Single family- Terraced houses,HU232,1300,20512269.900878824,1316.71,17.56305306137328,46.12328605573388
Single family- Terraced houses,HU233,1200,13927.035106006195,1297.89,18.4794147499927,46.625494699989495
Single family- Terraced houses,HU233,1300,15809497.417171728,1317.45,18.15441307663578,46.37919873231444
Sport,HU231,1300,11499.352475247346,1318.04,18.115636849854877,46.14235480017425
Sport,HU232,1200,6935.916950643063,1298.65,18.04639852030603,46.89594095422798
Sport,HU232,1300,2993.532482601702,1314.61,17.934393827340767,46.54637275837779
Sport,HU233,1300,23878.95149855502,1318.1599,18.13937955876346,46.36405892892677
Trade,HU231,1200,1063.7006074069068,1288.97,18.410577296930953,46.220764287677106
Trade,HU231,1300,897268.3212856366,1319.48,18.419283614063392,46.15818873210778
Trade,HU232,1200,181006.76984339068,1295.3201,17.648322435889607,46.77519717712655
Trade,HU232,1300,549087.6069436385,1322.03,17.369510798766278,46.224096996137845
Trade,HU233,1300,474145.0620869092,1319.96,18.69782553713677,46.31966622569081
