Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1060918.975499816,3.0,9462938.294890579,3182756.9264994483,3356724.993507671,8.919567387728584
Apartment Block_AB_1_Before1945,Apartment Block,1900,427015.6394111962,4.0,4942312.149606801,1708062.557644785,1224634.5979627785,11.574077606201172
Apartment Block_AB_2_Before1945,Apartment Block,1900,830938.4896432476,4.0,10002621.77686604,3323753.9585729903,2263535.056363776,12.037740340034714
Apartment Block_AB_3_Before1945,Apartment Block,1900,294350.1805981211,6.0,5473469.477528559,1766101.0835887266,1252798.9811091397,18.595094680786133
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1009480.1495931474,3.0,9004126.220870411,3028440.4487794423,3193973.646284139,8.919567387728584
Apartment Block_AB_1_1945to1969,Apartment Block,1955,406311.7179597497,4.0,4702683.355975065,1625246.8718389987,1165257.9939632006,11.574077606201172
Apartment Block_AB_2_1945to1969,Apartment Block,1955,790650.3043105528,4.0,9517643.063059865,3162601.217242211,2153787.1977744014,12.037740340034714
Apartment Block_AB_3_1945to1969,Apartment Block,1955,280078.5650977479,6.0,5208087.4360513445,1680471.3905864875,1192056.8224961646,18.595094680786133
Apartment Block_AB_0_1970to1979,Apartment Block,1975,114500.90215378896,3.0,1029165.6531439847,343502.7064613669,332045.2803233271,8.988275496394667
Apartment Block_AB_1_1970to1979,Apartment Block,1975,24906.68630698478,3.0,232895.31736886577,74720.05892095434,65452.36556727474,9.350714683532715
Apartment Block_AB_2_1970to1979,Apartment Block,1975,28371.158985111473,5.0,393540.73771675775,141855.79492555736,92614.87048770487,13.87115478515625
Apartment Block_AB_3_1970to1979,Apartment Block,1975,5025.078311658805,5.0,76795.99217289049,25125.391558294028,10132.560123637339,15.282546342554355
Apartment Block_AB_0_1980to1989,Apartment Block,1985,181131.6949924667,3.0,1628061.5757212213,543395.0849774001,525270.3106079656,8.988275496394667
Apartment Block_AB_1_1980to1989,Apartment Block,1985,39400.47827195681,3.0,368422.63071579824,118201.43481587042,103540.65071508022,9.350714683532715
Apartment Block_AB_2_1980to1989,Apartment Block,1985,44881.00983668923,5.0,622551.4343588365,224405.04918344613,146509.66199737185,13.87115478515625
Apartment Block_AB_3_1980to1989,Apartment Block,1985,7949.290660069467,5.0,121485.40290294612,39746.45330034733,16028.93737328319,15.282546342554355
Apartment Block_AB_0_1990to2000,Apartment Block,1995,190037.82753407117,3.0,1645115.5295701756,570113.4826022135,593993.7709713558,8.656779289245605
Apartment Block_AB_1_1990to2000,Apartment Block,1995,130768.80914414929,4.0,1437867.7665081914,523075.23657659715,323507.17115983315,10.995494842529297
Apartment Block_AB_2_1990to2000,Apartment Block,1995,52263.88010673092,4.0,578536.532221109,209055.52042692367,141040.6476258697,11.069528918244265
Apartment Block_AB_3_1990to2000,Apartment Block,1995,33387.99050240523,6.0,611513.0361998134,200327.94301443137,151221.85504377694,18.315359115600586
Apartment Block_AB_0_2000to2010,Apartment Block,2005,61727.13368366577,3.0,531492.321961798,185181.40105099732,199501.60696123447,8.6103515625
Apartment Block_AB_1_2000to2010,Apartment Block,2005,78141.97609100767,3.0,751709.8399939352,234425.92827302302,152129.38423446528,9.619795628388767
Apartment Block_AB_2_2000to2010,Apartment Block,2005,20652.621122162243,3.0,205331.61705171832,61957.86336648673,46318.87848515071,9.942157745361328
Apartment Block_AB_3_2000to2010,Apartment Block,2005,12298.626106999656,5.0,194643.84173638228,61493.13053499828,57964.58311469785,15.826470375061033
Apartment Block_AB_0_Post2010,Apartment Block,2020,45675.57736435841,3.0,391325.20937892055,137026.73209307523,146945.52490424569,8.567493438720703
Apartment Block_AB_1_Post2010,Apartment Block,2020,66735.6399528536,3.0,637680.826386125,200206.91985856078,128485.38974636648,9.555326461791992
Apartment Block_AB_2_Post2010,Apartment Block,2020,9867.468172672745,4.0,105588.07134540976,39469.87269069098,21622.49537938069,10.700624465942383
Apartment Block_AB_3_Post2010,Apartment Block,2020,8456.451990351054,5.0,135920.83911308204,42282.259951755266,37794.63509299483,16.073033852515202
SFH_0_Before1945_1900,Single family- Terraced houses,1900,12690152.044755325,1.0,34985347.962124884,12690152.044755325,13196777.561916744,2.756889581680298
SFH_1_Before1945_1900,Single family- Terraced houses,1900,625211.0052461714,2.0,3419302.4536149283,1250422.0104923428,1036234.1475767816,5.4690375328063965
SFH_2_Before1945_1900,Single family- Terraced houses,1900,3728438.6402348015,2.0,22186819.093923707,7456877.280469603,7728591.755644285,5.950699806213379
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,11820441.024766611,1.0,32502219.4106365,11820441.024766611,12267589.140850578,2.749662160873413
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,535154.1513800299,2.0,3040921.220991846,1070308.3027600597,991497.3879941028,5.6823276305529244
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,3515518.86732315,2.0,21016741.28427052,7031037.7346463,7369956.8946995605,5.978275775909424
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,2518881.5994245056,1.0,6648691.030942888,2518881.5994245056,2479666.584924166,2.639540910720825
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,462221.1975532311,2.0,2083879.1321431526,924442.3951064622,752248.5869659147,4.508402347564697
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,282584.2410896716,2.0,1874919.9463630535,565168.4821793432,568353.703703385,6.634906246481348
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,3984678.5921066077,1.0,10517722.159938851,3984678.5921066077,3922643.4298328618,2.639540910720825
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,731198.6840227186,2.0,3296537.863584242,1462397.3680454371,1189999.8956323967,4.508402347564697
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,447026.7186016081,2.0,2965980.3675938696,894053.4372032163,899092.2147387963,6.634906246481348
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,4679339.152689166,1.0,12810946.919565614,4679339.152689166,4718232.146504817,2.7377684116363525
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,140444.8908536086,2.0,657354.2377527356,280889.7817072172,205026.3183591098,4.680513714364466
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,1096104.666668196,2.0,6306980.184931654,2192209.333336392,2161254.6962547046,5.753994464874268
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,4110046.2686656523,1.0,10971235.904924205,4110046.2686656523,3923745.6595699554,2.669370412826538
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,195161.77304628657,1.0,786078.0962682939,195161.77304628657,228060.7092097751,4.027828216552734
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,625237.0657027921,2.0,3458174.668951029,1250474.1314055843,1160006.5339593883,5.530981540679932
SFH_0_Post2010_2020,Single family- Terraced houses,2020,3220535.99498079,1.0,8557422.74537792,3220535.99498079,3062091.4544128096,2.657142400741577
SFH_1_Post2010_2020,Single family- Terraced houses,2020,140742.597449583,1.0,562524.4352084632,140742.597449583,178693.07098137995,3.9968314170837402
SFH_2_Post2010_2020,Single family- Terraced houses,2020,466053.3813271769,2.0,2549830.808793537,932106.7626543537,836891.3305748963,5.471113204956055
0_Trade_1900,Trade,1900,250462.9156017971,4.0,2647404.6213468537,1001851.6624071884,645510.3433827,10.570046327959691
0_Trade_1955,Trade,1955,237757.2360645496,4.0,2513105.0000099377,951028.9442581984,612764.3875940245,10.570046327959691
0_Trade_1975,Trade,1975,21057.647273642026,3.0,172878.19868651207,63172.94182092608,48972.889835742004,8.209758499607156
0_Trade_1985,Trade,1985,33311.592061565774,3.0,273480.1260628859,99934.77618469732,77471.37688673449,8.209758499607156
0_Trade_1995,Trade,1995,105529.57065302866,3.0,827637.5229743584,316588.71195908595,106384.01415619887,7.842707194323315
0_Trade_2005,Trade,2005,108028.95494292423,2.0,612456.6039604241,216057.90988584846,86084.15573546026,5.6693745143050585
0_Trade_2020,Trade,2020,63392.55575294836,2.0,351552.4737309988,126785.11150589673,86317.76886061551,5.545642852783203
0_Education_1900,Education,1900,319670.4559100735,3.0,3344031.2416678923,959011.3677302204,651457.1445555907,10.46087049911363
0_Education_1955,Education,1955,304171.1828187266,3.0,3181895.353028916,912513.5484561797,619871.1408943183,10.46087049911363
0_Education_1975,Education,1975,22601.080288109544,3.0,170123.35625349,67803.24086432863,44850.508452549664,7.527222331181758
0_Education_1985,Education,1985,35753.185383182965,3.0,269122.175427176,107259.5561495489,70950.0839248667,7.527222331181758
0_Education_1995,Education,1995,56691.24375807381,3.0,493386.14947188075,170073.73127422144,105917.76800962347,8.703039777666088
0_Education_2005,Education,2005,25706.0674433486,3.0,197259.438259581,77118.2023300458,44700.26496812929,7.673652871809513
0_Education_2020,Education,2020,19181.855220337784,3.0,144386.08896802194,57545.56566101335,38065.25832961874,7.527222331181758
0_Other non-residential buildings_1900,Other non-residential buildings,1900,575318.9064006556,2.0,4262068.072598192,1150637.8128013113,1597037.5854068007,7.408183574676514
0_Other non-residential buildings_1955,Other non-residential buildings,1955,348557.1135756529,3.0,2640489.452698978,1045671.3407269587,879341.0657573573,7.575485766483634
